incident,case_number,date_reported,date_occurred,location,disposition
Information,2016-0264,11/15/16 12:00,10/31/16 12:00,Garage 44,Closed
Information,2016-0258,11/11/16 9:52,11/10/16 21:20,11800 UNF Dr G301,Closed
Petit Theft,2016-0256,11/10/16 6:37,4/1/16 12:00,Lot 9,Suspended
Battery,2016-0254,11/9/16 21:50,11/9/16 20:30,Lot 2,Open
Information,2016-0255,11/9/16 4:30,11/9/16 3:40,Bldg 12,Open
Petit Theft,2016-0250,11/4/16 12:50,8/20/16,Lot 44 Suspended,NA
Petit Theft,2016-0249,11/1/16 10:50,11/1/16 10:40,Osprey Crossings Suspended,NA
Criminal Mischief,2016-0247,11/1/16 7:59,10/28/16 11:30,Bldg 3 Suspended,NA
Criminal Mischief,2016-0246,10/28/16 14:38,10/27/16 10:30,Lot 44 Suspended,NA
No Valid Driver's license,A0Y5GHP,10/27/16 15:20,10/27/16 15:20,Citation Issued,NA
License,,,,,NA
Damaged Property,2016-0243,10/27/16 12:50,10/27/16 8:45,Garage 44 Closed,NA
Grand Theft,2016-0241,10/26/16 18:16,10/19/16 21:00,Student Union Unfounded,NA
Grand Theft,2016-0241,10/24/16 18:00,10/19/16 21:00,Osprey Landing Suspended,NA
Information,2016-0240,10/24/16 11:50,10/24/16 11:45,Osprey Fountains Closed,NA
Petit Theft,2016-0239,10/24/16 11:00,10/13/16 11:53,Osprey Fountains Cleared by arrest,NA
Petit Theft,2016-0238,10/24/16 10:10,10/20/16 8:30,Garage 38 Suspended,NA
Driving While License suspended,A0Y5FOP,10/21/16 14:05,10/21/16 14:05,1 UNF Dr & Alumni Dr Citation Issued,NA
Suspended,,,,,NA
Battery,2016-0233,10/18/16 12:21,10/17/16 23:15,The Cove Case Not Closed--,NA
,,,,Patrol Follow-up,NA
Disorderly Intoxication,2016-0231,10/17/16 4:50,10/17/16 4:50,Osprey Hall Cleared by arrest,NA
Property-Lost,2016-0229,10/14/16 15:00,10/14/16 9:00,Unknown Information,NA
,,,,Report Closed,NA
Property-Lost,2016-0228,10/14/16 13:30,10/13/16 11:00,1 UNF Drive Information,NA
,,,,Report Closed,NA
Burglary/Dwelling-,2016-0164,10/13/16 16:22,8/5/16 7:30,Osprey Flats Suspended,NA
Unoccupied,,,,,NA
Burglary/Dwelling-,2016-0165,10/13/16 16:19,8/4/16 22:50,Osprey Flats Suspended,NA
Unoccupied,,,,,NA
Possible Stalking,2016-0214,9/29/16 10:21,9/26/16 22:30,Osprey Fountains Suspended,NA
Fraudulent Use of,2016-0215,9/27/16 16:30,9/27/16 16:30,Bdlg 58-Bkstr,Cleared by arrest
Credit Cards,,,,,
Possible Stalking,2016-0214,9/27/16 16:00,9/26/16 22:30,Osprey Fountains,Open
Criminal Mischief,2016-0212,9/26/16 17:50,9/22/16 19:00,Osprey Fountains,Suspended
Petit Theft,2016-0189,9/26/16 1:29,9/1/16 14:00,Bldg 42,Suspended
Petit Theft,2016-0210,9/21/16 18:10,9/20/16 18:00,Lot 44,Suspended
Warrant-VOP,2016-0207,9/20/16 15:54,9/20/16 15:54,1 UNF Dr,Cleared by arrest
Driving w/Suspended license,A0Y5FFP,9/20/16 13:25,9/20/16 13:25,Bldg 14,Citation Issued
License,,,,,
Petit Theft,2016-0195,9/19/16 13:57,9/8/16 12:40,Bldg 58,Suspended
Grand Theft,2016-0203,9/17/16 0:47,9/16/16 9:46,Lot 10,Cleared by arrest
Petit Theft,2016-0204,9/16/16 16:10,9/15/16 20:30,Bldg 42,Suspended
Lost Property,2016-0206,9/16/16 10:15,9/16/16 12:30,Garage 38,Closed
Petit Theft,2016-0199,9/14/16 17:06,9/11/16 21:15,Osprey Landing,Suspended
Grand Theft,2016-0152,9/14/16 9:00,5/10/16 11:26,Bldg 39,Suspended
Possess Marijuana,2016-0197,9/13/16 20:00,9/13/16 19:18,Osprey Landing,Cleared by arrest
Petit Theft,2016-0189,9/13/16 15:32,9/1/16 14:00,Bldg 42,Open
Driving While License suspended,A0Y5C3P,9/11/16 9:45,9/11/16 9:45,UNF Dr @ Lot 11,Suspended
Suspended,,,,,
Petit Theft,2016-0195,9/9/16 13:00,9/8/16 12:40,Bldg 58,Open
Leaving Scene of accident,A0Y5C2P,9/8/16 12:10,9/8/16 12:10,1 unf Dr/Lot 14,Citation Issued
Accident,,,,,
Petit Theft,2016-0191,9/7/16 9:30,8/31/16 14:00,Bldg 12,Suspended
Petit Theft,2016-0186,9/3/16 10:47,8/31/16 17:00,Lot 18,Suspended
Harassing Phone Calls,2016-0184,9/1/16 10:00,9/1/16 5:59,Bldg 1,Suspended
Petit Theft,2016-0183,8/31/16 9:45,8/30/16 19:30,The Green,Suspended
Petit Theft,2016-0179,8/29/16 16:40,8/26/16 14:00,Bldg 17,Suspended
Petit Theft,2016-0179,8/29/16 16:40,8/26/16 14:00,Bldg 17,Open
Damaged Property,2016-0178,8/29/16 11:45,8/28/16 21:00,Lot 55,Suspended
Burglary to Vehicle,2016-0176,8/28/16 15:00,8/27/16 21:00,Osprey Fountains,Suspended
Criminal Mischief,2016-0175,8/28/16 8:15,8/28/16 8:15,Bldg 12,Suspended
Strong Arm Robbery,2016-0174,8/28/16 3:45,8/28/16 2:50,Osprey Cove,Cleared by arrest
Petit Theft,2016-0173,8/25/16 20:40,8/25/16 15:30,Bldg 58,Suspended
Criminal Mischief,2016-0169,8/19/16 8:45,8/17/16 9:00,Bldg 15,Suspended
Threatening/Harassing phone calls,2016-0168,8/17/16 11:14,8/17/16 8:03,Alumni Hall,Suspended
Phone Calls,,,,,
Driving While License suspended,A0Y52YP,8/11/16 17:20,8/11/16 17:20,UNF Dr/Lot 11,Citation Issued
Suspended,,,,,
Criminal Mischief,2016-0166,8/8/16 7:41,8/5/16 5:00,Bldg 15,Suspended
Burglary/Dwelling,2016-0165,8/6/16 12:30,8/4/16 22:50,4850 First Coast,Suspended
,,,,Technological,
,,,,Parkway #1105,
Burglary/Dwelling,2016-0164,8/5/16 20:26,8/5/16 7:30,4850 First Coast,Suspended
,,,,Technological,
,,,,Parkway #2208,
Grand Theft,2016-0163,8/1/16 17:16,8/1/16 13:00,Bldg 58,Suspended
Driving While License,A0Y52XP,7/25/16 13:45,,1 UNF Dr & Lot 11,Citation Issued
Criminal Mischief,2016-0157,7/25/16 9:20,7/22/16 17:00,B-46,Suspended
Burglary/Structure,2016-0154,7/22/16 11:59,7/20/16 18:00,Bldg 50,Detective Follow-
Not Occupied,,,,,up
Petit Theft,2016-0156,7/21/16 13:48,7/21/16 10:50,Building 39,Case Not Cleared
Information,2016-0155,7/21/16 12:10,7/19/16 7:00,Building 57,Information
,,,,,Report Closed
Burglary/Structure,2016-0154,7/21/16 8:36,7/20/16 18:00,Building 50,Detective Follow-
Not Occupied,,,,,up
Grand Theft,2016-0152,7/13/16 14:57,5/10/16 11:26,Bldg 39,Suspended
Possess Marijuana &,2016-0151,7/12/16 11:53,7/12/16 11:25,Lot 11,Cleared by arrest
Parphernalia,,,,,
Possession of marijuana,2016-0149,7/10/16 14:03,7/10/16 13:40,Lot 11,Cleared by arrest
Marijuana &,,,,,
Paraphernalia,,,,,
Petit Theft,2016-0150,7/7/16 18:30,7/7/16 20:30,Lot 18,Suspended
Driving with revoked license,2016-0144,6/30/16 8:53,6/30/16 7:37,Kernan Boulevard,Cleared by arrest
license,,,,,
No Valid Driver's license,A0Y5BZP,6/29/16 6:45,6/29/16 6:45,UNF Dr/Eco Rd,Citation Issued
License,,,,,
Grand Theft,2016-0141,6/23/16 11:49,12/18/14 9:00,Bldg 12,Suspended
Petit Theft,2016-0140,6/18/16 11:15,6/18/16 11:11,Bldg 61,Cleared by arrest
Petit Theft,2016-0138,6/15/16 11:11,6/13/16 17:00,Bldg 39A/4984,Suspended
Grand Theft,2016-0136,6/15/16 10:29,6/10/16 12:00,Bldg 39A-30,Suspended
Criminal Mischief,2016-0137,6/14/16 15:52,6/14/16 10:15,Bldg 44,Suspended
Theft of Intellectual,2016-0103,6/14/16 11:47,4/13/16 18:01,Bldg 58,Suspended
Possession of marijuana,2016-0120,5/5/16 16:30,5/5/16 14:56,UNF Dr-Lot 2,Cleared by arrest
Marijuana and,,,,,
Paraphernalia,,,,,
Criminal Traffic violation,AY058AP,5/5/16 14:56,5/5/16 14:56,1 UNF DR/Lot 2,Citation Issued
Violation,,,,,
Hit & Run,2016-0119,5/2/16 12:51,5/2/16 12:45,Parking Lot 4,Suspended
Petit Theft,2016-0118,5/1/16 23:41,5/1/16 19:45,Osprey Cove,Suspended
Petit Theft,2016-0170,5/1/16 8:00,7/27/16,Osprey Flats,Suspended
Property--Found,2016-0117,4/30/16 15:48,4/30/16 13:48,4850 First Coast Tech,Referred to
,,,,Pkwy (The Flats),Conduct
Paraphernalia possession,2016-0115,4/28/16 22:30,4/28/16 22:15,Osprey Crossings,Referred to
Possession,,,,,Conduct
Criminal Mischief,2016-0114,4/28/16 16:45,4/28/16 9:45,Lot 1,Suspended
Petit Theft,2016-0113,4/28/16 15:21,3/24/16 0:01,Lot 18,Suspended
Criminal Traffic,,4/28/16 7:20,4/28/16 7:20,Lot 10,Citation Issued
Violation,,,,,
Battery,2016-0112,4/28/16 2:11,4/27/16 23:40,4654 Osprey Ridge,Arrest
,,,,Rd (Osprey,
Violation of Probation,2016-0111,4/27/16 9:28,4/27/16 11:37,4892 First Coast Tech,Arrested
,,,,Pkwy Parking Lot,
Petit Theft,2016-0109,4/25/16 12:55,4/21/16 18:00,4850 First Coast Tech,Suspended
,,,,Pkwy (Osprey Flats),
Theft of Intellectual,2016-0103,4/20/16 14:12,4/13/16 18:01,Bldg 58,Suspended
Property,,,,,
Criminal Mischief,2016-0104,4/20/16 13:45,4/18/16 18:45,Bldg 57,Suspended
Petit Theft,2016-0097,4/14/16 12:45,4/11/16 14:00,Osprey Cove,Suspended
Grand Theft,2016-0095,4/13/16 16:30,4/13/16 16:00,Bldg 46,Cleared by arrest
Burglary to Vechicle,2016-0094,4/13/16 16:00,4/10/16 12:00,Bldg 3,Suspended
Petit Theft,2016-0093,4/13/16 10:30,4/7/16 11:00,Lot 18,Suspended
Grand Theft,2016-0091,4/11/16 12:50,3/13/16 17:00,Lot 55,Suspended
Petit Theft,2016-0084,4/5/16 12:40,4/3/16 17:30,Bldg 61,Suspended
Criminal Mischief,2016-0088,4/4/16 1:00,4/1/16 19:00,Bldg 34,Suspended
Criminal Mischief,2016-0086,4/2/16 1:00,4/1/16 19:00,Osprey Cove,Suspended
Disorderly Intoxication,2016-0085,4/1/16 21:55,4/1/16 21:45,Bldg 34,Cleared by arrest
Disorderly Intoxication,2016-0085,4/1/16 21:55,4/1/16 21:45,Bldg 34,Cleared by arrest
Possess Drugs,2016-0079,3/30/16 10:40,3/30/16 9:50,Lot 12,Cleared by arrest
Battery,2016-0074,3/24/16 20:09,3/24/16 19:50,Osprey Ridge Rd,Suspended
Grand theft,2016-0072,3/21/16 13:20,3/21/16 12:35,Osprey Plaza,Suspended
Petit Theft,2016-0067,3/4/16 18:33,3/2/16 18:00,Bldg 16,Suspended
Petit Theft,2016-0062,3/3/16 10:13,2/16/16 10:30,Bldg 44,Suspended
Petit Theft,2016-0059,3/1/16 14:08,2/29/16 23:30,Bldg 44,Suspended
Possess Drugs,2016-0054,2/22/16 15:14,2/22/16 15:14,Osprey Fountains,Open
Theft of Motor Vehicle,2015-0250,2/11/16 11:35,9/5/15 20:30,Bldg 38,Exceptionally
,,,,,Cleared
Burglary to vehicle,2016-0032,2/2/16 20:30,2/2/16 15:50,Lot 18,Open
Burglary to vehicle,2016-0026,1/26/16 23:55,1/26/16 18:30,Osprey Flats,Open
Petit Theft,2015-0392,12/27/15 8:32,12/27/15 8:32,Bldg 10,Suspended
Petit Theft,2015-0391,12/26/15 16:53,12/25/15 20:39,Bldg 2,Suspended
Annoying/Abusive/Thr,2015-0355,12/23/15 10:47,11/1/15 11:06,The Flats,Exceptionally
Information,2015-0388,12/18/15 7:24,12/17/15 19:55,1 UNF Drive,Information
,,,,,Report Closed
Fraudulent or Illegal,2015-0387,12/17/15 7:55,12/12/15,Bldg 39,Suspended
Use of Credit Cards,,,,,
Criminal Use of,2015-0387,12/17/15 7:55,12/12/15,Bldg 39,Suspended
Personal Identification,,,,,
Burglary/Conveyance,2015-0386,12/15/15 12:40,12/14/15 14:00,Lot 18,Suspended
Occupied,,,,,
Battery,2015-0385,12/11/15 1:29,12/10/15 19:15,The Flats,Exceptionally
,,,,,Cleared
Stalking,2015-0384,12/10/15 13:11,12/2/15 8:00,The Flats,Suspended
Simple/Without,,,,,
Threats,,,,,
Information,2015-0383,12/9/15 17:30,12/7/15 12:24,Osprey Crossings,Information
,,,,,Report Closed
Petit Theft,2015-0381,12/8/15 17:00,11/20/15 23:00,Lot 17,Suspended
Possession of a,2015-0380,12/7/15 17:23,12/7/15 17:21,Osprey Landing,Cleared by arrest
Firearm on School,,,,,
Property,,,,,
Possession of a,2015-0380,12/7/15 17:23,12/7/15 17:21,Osprey Landing,Cleared by arrest
Weapon on School,,,,,
Property,,,,,
Property-Found,2015-0378,12/6/15 1:00,12/6/15 0:32,Lot 11,Information
,,,,,Report Closed
Property-Damaged,2015-0376,12/3/15 12:30,12/3/15 12:05,Lot 10,Information
,,,,,Report Closed
Information,2015-0375,12/2/15 9:44,12/1/15 12:00,Bldg 41,Information
,,,,,Report Closed
Information,2015-0373,12/1/15 23:50,10/1/15 23:50,Osprey Fountains,Information
Trespass on School,2015-0372,12/1/15 13:00,12/1/15 12:27,The Flats,Cleared by arrest
Grounds After,,,,,
Warning,,,,,
Attach Tag Not,A0Y528P,11/30/15 7:50,11/30/15 7:50,UNF Dr @ Lot 1,Citation Issued
Assigned,,,,,
Driving While License suspended,A0Y527P,11/29/15 12:12,11/29/15 12:12,UNF Dr @ Lot 100,Citation Issued
Suspended or Revoked,,,,,
No Valid DL,9724-GYD,11/25/15 23:39,11/25/15 23:39,Alumni Dr @ UNF Dr,Citation Issued
Missing Person,2015-0370,11/25/15 13:54,11/22/15 2:00,Osprey Village,Closed
Grand Theft,2015-0330,11/24/15 9:59,10/29/15 13:30,Bldg 9,Unfounded
Missing Person,2015-0370,11/23/15 22:05,11/22/15 2:00,1 UNF Drive,Open
No Valid DL,9772-GYD,11/23/15 9:00,11/23/15 9:00,1 UNF Dr @ Lot 12,Citation Issued
No Valid DL,9372-GYD,11/21/15 2:12,11/21/15 2:12,Osprey Ridge Rd,Citation Issued
Criminal Mischief,2015-0364,11/19/15 12:09,10/25/15 17:00,Bldg 45D,Suspended
No License for MC operation,A0Y522P,11/19/15 11:30,11/19/15 11:30,UNF Dr @ Lot 3,Citation Issued
Operation,,,,,
Criminal Mischief,2015-0363,11/19/15 11:30,11/18/15 17:00,Bldg 58W,Suspended
Information,2015-0361,11/18/15 11:52,11/18/15 11:50,Bldg 52,Information
,,,,,Report Closed
Possess Not More than 20 marijuana,2015-0360,11/18/15 0:47,11/17/15 23:46,Osprey Landing,Notice to Appear
Than 20 Grams of,,,,,
Marijuana,,,,,
Missing Person-Other,2015-0358,11/17/15 13:30,11/17/15 13:30,Bldg 12,Closed
Jurisdiction,,,,,
Failure to Leave Info,A0Y4WZP,11/16/15 21:00,11/16/15 21:00,1 UNF Dr @ Garage,Citation Issued
Annoying/Abusive/Threatening/harrassing,2015-0355,11/16/15 15:03,11/1/15 11:06,The Flats,Open
eatening/Harrassing,,,,,
Phone Calls,,,,,
Information,2015-0354,11/15/15 16:10,11/15/15 16:00,Bldg 41,Information
,,,,,Report Closed
Disorderly Intoxication,2015-0353,11/14/15 19:52,11/14/15 19:52,Bldg 46,Cleared by arrest
Petit Theft,2015-0334,11/13/15 14:10,10/31/15 8:00,Osprey Fountains,Suspended
Operating While revoked for habitual traffic offender,2015-0352,11/13/15 10:13,11/13/15 10:13,Lot 11,Cleared by arrest
Revoked for Habitual,,,,,
Traffic Offender,,,,,
Driving While License,A0Y521P,11/13/15 10:13,11/13/15 10:13,UNF Dr @ Alumni Dr,Citation Issued
Suspended or Revoked,,,,,
Operating a Motor,2015-0350,11/12/15 12:44,11/12/15 12:11,The Flats,Cleared by arrest
Vehicle/Using a,,,,,
Mobile Home with an,,,,,
Expired Registration,,,,,
for More than 6 Mo,,,,,
Tag Expired,A0Y51YP,11/12/15 12:11,11/12/15 12:11,First Coast Tech,Citation Issued
,,,,Pkwy @ 4850,
Information,2015-0349,11/12/15 10:47,11/12/15 6:30,The Green,Information
,,,,,Report Closed
Attach Tag Not,A0Y51XP,11/12/15 10:28,11/12/15 10:28,UNF DR @ Garage 44,Citation Issued
Assigned,,,,,
Tampering with motor vehicle,2015-0348,11/10/15 14:50,11/8/15 22:30,Lot 17,Suspended
Motor Vehicle,,,,,
Battery,2015-0347,11/10/15 13:05,11/10/15 11:58,The Green,Suspended
Information,2015-0345,11/9/15 22:40,11/9/15 22:35,The Flats,Information
,,,,,Report Closed
Battery-Cause Bodily,2015-0346,11/9/15 22:12,11/9/15 22:12,The Flats,Cleared by arrest
Petit Theft,2015-0344,11/9/15 12:52,11/6/15 9:50,Bldg 12,Suspended
No Driver's License,A0Y50CP,11/9/15 10:01,11/9/15 10:01,UNF Dr @ Alumni Dr,Citation Issued
Attach Tag Not,A0Y50DP,11/9/15 10:01,11/9/15 10:01,UNF Dr @ Alumni Dr,Citation Issued
Assigned,,,,,
Information,2015-0343,11/7/15 13:18,11/7/15 13:15,Lot 14,Information
,,,,,Report Closed
Grand Theft,2015-0342,11/7/15 4:33,11/7/15 0:30,Lot 10,Suspended
Property-Found,2015-0341,11/6/15 22:45,11/6/15 22:30,Bldg 17,Information
,,,,,Report Closed
Property-Damaged,2015-0339,11/5/15 9:31,11/5/15 9:20,1200 Alumni Drive,Information
,,,,,Report Closed
Petit Theft,2015-0338,11/4/15 16:22,11/3/15 19:00,Bldg 12,Suspended
Information,2015-0337,11/3/15 17:00,11/1/15 12:57,Bldg 8,Information
,,,,,Report Closed
Battery,2015-0335,11/3/15 2:00,11/2/15 22:10,The Flats,Cleared by arrest
"Use, or Possess with intent to use drug paraphernalia",2015-0333,11/2/15 1:44,11/2/15 1:24,Lot 18,Cleared by arrest
"Intent to Use, Drug",,,,,
Paraphernalia,,,,,
Possess Over 20 grams marijuana,2015-0333,11/2/15 1:44,11/2/15 1:24,Lot 18,Cleared by arrest
Grams of Marijuana,,,,,
Possess Controlled substance,2015-0333,11/2/15 1:44,11/2/15 1:24,Lot 18,Cleared by arrest
Substance,,,,,
Possess Marijuana,2015-0333,11/2/15 1:44,11/2/15 1:24,Lot 18,Cleared by arrest
with Intent to,,,,,
Sell/MFG/Deliver,,,,,
Knowingly Operating,2015-0331,10/31/15 13:27,10/31/15 13:08,Lot 15,Cleared by arrest
Petit Theft,2015-0332,10/31/15 13:26,10/31/15 13:08,Lot 15,Cleared by arrest
Attach Tag or Sticker,A0Y508P,10/31/15 13:02,10/31/15 13:02,UNF Dr @ Alumni Dr,Citation Issued
Not Assigned,,,,,
Grand Theft,2015-0330,10/29/15 17:05,10/29/15 13:30,Bldg 9,Open
Criminal Mischief,2015-0327,10/27/15 16:05,10/27/15 13:30,Garage 44A,Suspended
Criminal Mischief,2015-0326,10/27/15 14:00,10/27/15 11:45,Garage 44A,Suspended
Grand Theft,2015-0324,10/26/15 11:00,10/15/15 23:30,The Flats,Suspended
Information,2015-0325,10/26/15 10:55,10/26/15 9:00,Osprey Fountains,Information
,,,,,Report Closed
Fraudulent or Illegal use of credit cards,2015-0323,10/26/15 10:15,10/24/15 12:20,Bldg 17,Suspended
Use of Credit Cards,,,,,
Trespass on Property,2015-0322,10/24/15 11:30,10/24/15 11:30,The Flats,Cleared by arrest
Disorderly Intoxication,2015-0321,10/24/15 3:00,10/24/15 1:30,Osprey Cove,Cleared by arrest
Possess Controlled,2015-0321,10/24/15 3:00,10/24/15 1:30,Osprey Cove,Cleared by arrest
Substance Without,,,,,
Prescription,,,,,
Petit Theft,2015-0320,10/22/15 11:03,10/19/15 20:00,Osprey Fountains,Unfounded
Smuggle benzodiazepine,2015-0319,10/21/15 16:45,10/15/15 14:32,18100 UNF Drive,Open
Benzodiazepine Into,,,,,
the State,,,,,
Petit Theft,2015-0320,10/21/15 15:20,10/19/15 20:00,Osprey Fountains,Suspended
Petit Theft,2015-0318,10/20/15 15:35,10/13/15 20:00,Lot 11,Suspended
Criminal Mischief,2015-0317,10/19/15 15:01,10/19/15 8:00,The Flats,Suspended
Petit Theft,2015-0316,10/17/15 11:15,10/16/15 21:00,Bldg 16,Suspended
Petit Theft,2015-0315,10/16/15 14:40,10/16/15 13:05,Osprey Fountains,Suspended
Preventing or,2015-0314,10/15/15 1:55,10/15/15 1:40,Osprey Landing,Cleared by arrest
Obstructing,,,,,
Extinguishment of Fire,,,,,
Possess Marijuana,2015-0314,10/15/15 1:55,10/15/15 1:40,Osprey Landing,Cleared by arrest
with Intent to,,,,,
Sell/MFG/Deliver,,,,,
Possess Over 20 grams marijuana,2015-0314,10/15/15 1:55,10/15/15 1:40,Osprey Landing,Cleared by arrest
Grams of Marijuana,,,,,
Possess Controlled substance,2015-0314,10/15/15 1:55,10/15/15 1:40,Osprey Landing,Cleared by arrest
Substance,,,,,
"Use, or Possess with intent to use drug paraphernalia",2015-0314,10/15/15 1:55,10/15/15 1:40,Osprey Landing,Cleared by arrest
"Intent to Use, Drug",,,,,
Paraphernalia,,,,,
Information,2015-0312,10/12/15 16:04,10/12/15 13:25,Osprey Crossings,Information
,,,,,Report Closed
Petit Theft,2015-0311,10/12/15 13:55,10/7/15 14:00,Osprey Flats,Suspended
Petit Theft,2015-0308,10/10/15 14:47,10/10/15 14:10,Bldg 12,Suspended
Trespass on Property,2015-0309,10/10/15 3:37,10/10/15 3:37,Osprey Hall,Cleared by arrest
Information,2015-0307,10/9/15 22:30,10/7/15 22:45,Osprey Crossings,Open
Criminal Mischief,2015-0305,10/9/15 17:30,9/24/15 21:00,Garage 38,Suspended
Criminal Mischief,2015-0303,10/8/15 13:54,10/8/15 13:30,Osprey Hall,Suspended
Petit Theft,2015-0301,10/6/15 16:38,10/6/15 11:00,Lot 2,Suspended
Criminal Mischief,2015-0301,10/6/15 16:38,10/6/15 11:00,Lot 2,Suspended
Possess Not More,2015-0299,10/5/15 10:03,10/5/15 10:03,3864 St  Johns Bluff,Notice to Appear
Possess Not More than 20 marijuana,2015-0295,10/3/15 10:16,10/3/15 10:16,Lot 2,Cleared by arrest
Than 20 Grams of,,,,,
Marijuana,,,,,
Unlawful Disp of,A0Y4YLP,10/3/15 7:42,10/3/15 7:42,Lot 55,Citation Issued
Handicap Permit,,,,,
Unlawful Disp of,A0Y4YKP,10/3/15 7:17,10/3/15 7:17,Lot 55,Citation Issued
Handicap Permit,,,,,
Petit Theft,2015-0294,10/2/15 17:17,10/1/15 12:05,4892 First Coast Tech,Suspended
,,,,Pkwy,
Information,2015-0293,10/2/15 9:44,8/31/15 16:00,Osprey Fountains,Information
,,,,,Report Closed
Fraudulent or Illegal use of credit cards,2015-0292,10/1/15 0:14,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Fraudulent or Illegal use of credit cards,2015-0292,10/1/15 0:14,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Fraudulent or Illegal use of credit cards,2015-0292,10/1/15 0:14,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Petit Theft,2015-0292,10/1/15 0:14,9/26/15 9:00,Osprey Fountains,Cleared by arrest
Fraudulent or Illegal use of credit cards,2015-0292,10/1/15 0:14,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Fraudulent or Illegal use of credit cards,2015-0292,10/1/15 0:14,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Theft of Credit Card ,2015-0292,10/1/15 0:14,9/26/15 9:00,Osprey Fountains,Open
Fraudulent or Illegal use of credit cards,2015-0292,10/1/15 0:14,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Fraudulent or Illegal use of credit cards,2015-0292,9/29/15 18:20,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Fraudulent or Illegal use of credit cards,2015-0292,9/29/15 18:20,9/26/15 9:00,Osprey Fountains,Open
Fraudulent or Illegal use of credit cards,2015-0292,9/29/15 18:20,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Fraudulent or Illegal use of credit cards,2015-0292,9/29/15 18:20,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Fraudulent or Illegal use of credit cards,2015-0292,9/29/15 18:20,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Fraudulent or Illegal use of credit cards,2015-0292,9/29/15 18:20,9/26/15 9:00,Osprey Fountains,Open
Use of Credit Cards,,,,,
Petit Theft,2015-0292,9/29/15 18:20,9/26/15 9:00,Osprey Fountains,Open
Theft of Credit Card,2015-0292,9/29/15 18:20,9/26/15 9:00,Osprey Fountains,Open
Driving Vehicle In Race,A0Y4YJP,9/27/15 12:34,9/27/15 12:34,UNF Dr @ Lot 100,Citation Issued
Driving Vehicle In Race,A0Y4YHP,9/27/15 12:34,9/27/15 12:34,UNF Dr @ Lot 100,Citation Issued
Violation of Municiple,A0Y4TGP,9/27/15 12:34,9/27/15 12:34,UNF Dr @ Lot 100,Citation Issued
Speed,,,,,
Driving While License suspended,A0Y4YFP,9/27/15 11:06,9/27/15 11:06,Town Center Pkwy @,Citation Issued
Suspended,,,,Brightman Blvd,
Property-Damaged,2015-0290,9/26/15 12:00,9/25/15 13:00,Lot 65,Information
,,,,,Report Closed
Driving While License suspended,A0Y4YDP,9/25/15 12:11,9/25/15 12:11,UNF Dr @ Lot 100,Citation Issued
Suspended,,,,,
Knowingly Operating while DL suspended,2015-0289,9/25/15 12:11,9/25/15 12:11,Lot 12,Cleared by arrest
While DL,,,,,
Suspended/Cancelled/,,,,,
Revoked,,,,,
Driving While License suspended,A0Y4W4P,9/25/15 9:55,9/25/15 9:55,Eco Rd & N Entrance,Citation Issued
Suspended,,,,Rd,
Property-Lost,2015-0288,9/23/15 13:55,9/22/15 10:40,Bldg 6,Information
Burglary/Conveyance;,2015-0287,9/23/15 6:15,9/15/15 15:30,Lot 2,Suspended
Not Occupied,,,,,
Grand Theft,2015-0286,9/22/15 22:10,9/17/15 0:01,Osprey Hall,Suspended
Petit Theft,2015-0284,9/21/15 16:00,8/21/15 10:00,Bldg 50,Suspended
Burglary/Conveyance;,2015-0282,9/21/15 14:44,9/20/15 23:30,The Flats,Suspended
Not Occupied,,,,,
Burglary/Conveyance;,2015-0283,9/21/15 14:40,9/20/15 22:00,The Flats,Suspended
Not Occupied,,,,,
Burglary/Conveyance;,2015-0281,9/21/15 13:55,9/20/15 23:30,The Flats,Suspended
Not Occupied,,,,,
Burglary/Conveyance;,2015-0278,9/21/15 7:00,9/20/15 20:00,The Flats,Suspended
Not Occupied,,,,,
Burglary/Conveyance;,2015-0274,9/21/15 6:30,9/20/15 20:00,The Flats,Suspended
Not Occupied,,,,,
Burglary/Conveyance;,2015-0279,9/21/15 6:30,9/20/15 20:45,The Flats,Suspended
Not Occupied,,,,,
Burglary/Conveyance;,2015-0273,9/21/15 6:25,9/20/15 20:00,The Flats,Suspended
Not Occupied,,,,,
Burglary/Conveyance;,2015-0275,9/21/15 6:25,9/20/15 20:00,The Flats,Suspended
Not Occupied,,,,,
Burglary/Conveyance;,2015-0276,9/21/15 6:25,9/20/15 20:00,The Flats,Suspended
Not Occupied,,,,,
Burglary/Conveyance;,2015-0277,9/21/15 6:25,9/20/15 20:00,The Flats,Suspended
Not Occupied,,,,,
Burglary/Conveyance;,2015-0280,9/21/15 6:00,9/21/15 1:30,The Flats,Suspended
