case_number,date_reported,date_occurred,time_occurred,location,time_reported,incident,university
P-15-1473,2020-11-11,2015-10-19,12:52,HENDRIX STUDENT CENTER           A             Not Cleared,11:13,26B FINANCIAL TRANSACTION CARD FRAUD,Clemson University
P-15-1474,2020-11-11,2015-10-19,13:09,COOPER LIBRARY                   A             Not Cleared,11:13,26B FINANCIAL TRANSACTION CARD FRAUD,Clemson University
P-15-1475,2020-11-11,2015-10-23,11:50,COOPER LIBRARY                   A             Not Cleared,11:13,26B FINANCIAL TRANSACTION CARD FRAUD,Clemson University
P-15-1481,2020-11-11,2015-11-11,13:30,209 ACADEMIC SUCCESS CENTER      C             Exceptional Clearance,13:42,220 BURGLARY,Clemson University
P-15-1483,2020-11-12,2015-11-12,08:55,MCADAMS HALL MOPED PARKING       C             Not Cleared,12:20,240 PETIT LARCENY (MOPED),Clemson University
P-15-1484,2020-11-12,2015-11-12,10:00,344012 CENTENNIAL BLVD           C             Not Cleared,14:06,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-1485,2020-11-12,2015-11-12,13:25,344012 CENTENNIAL BLVD           C             Not Cleared,13:30,991 CAPS REFERRAL (STUDENT),Clemson University
P-15-1486,2020-11-12,2015-11-08,11:55,R-3 PARKING LOT SOUTH SIDE       U             Not Cleared,18:16,240 GRAND LARCENY (MOTOR VEHICLE),Clemson University
P-15-1488,2020-11-12,2015-11-12,20:10,KEITH STREET                     C             Not Cleared,20:10,991 OFF CAMPUS COLLISION (TIGER TRANSIT),Clemson University
P-15-1489,2020-11-12,2015-11-12,20:30,FIRST FLOOR ELEVATOR BYRNES HALL              C             Not Cleared,22:58,991 ALCOHOL RELATED MEDICAL CALL,Clemson University
P-15-1490,2020-11-13,2015-11-12,23:00,418 MCCABE HALL                               C             Not Cleared,00:26,11A CRIMINAL SEXUAL CONDUCT,Clemson University
P-15-1493,2020-11-13,2015-11-13,23:28,SANDERS HALL LOBBY                            C             Cleared by Arrest,23:37,290 MALICIOUS INJURY TO REAL PROPERTY,Clemson University
P-15-1494,2020-11-14,2015-11-14,12:30,FIKE RECREATION CENTER                        C             Not Cleared,14:02,23D PETIT LARCENY,Clemson University
P-15-1495,2020-11-14,2015-11-13,18:00,CALHOUN COURTS MOPED PARKING                  C             Not Cleared,21:37,240 PETIT LARCENY OF MOPED,Clemson University
P-15-1496,2020-11-14,2015-11-14,23:05,9D1 BYRNES HALL                               C             Cleared by Arrest,23:08,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS,Clemson University
P-15-1498,2020-11-15,2015-11-15,21:39,415 BRADLEY HALL                              C             Cleared by Arrest,21:40,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS,Clemson University
P-15-1499,2020-11-15,2015-11-15,22:16,301 BOWEN HALL                                C             Cleared by Arrest,22:16,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS,Clemson University
P-15-1500,2020-11-16,2015-11-16,08:00,AVENUE OF CHAMPIONS AT LITTLEJOHN COLISEUM    C             Not Cleared,10:19,991 TERMINATED NON UNIVERSITY EMPLOYEE,Clemson University
P-15-1501,2020-11-16,2015-11-16,22:44,R1 PARKING LOT                                C             Cleared by Arrest,22:44,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF LIQUOR BY PERSON UNDER 21,Clemson University
P-15-1502,2020-11-17,2015-11-17,10:20,6C1 LIGHTSEY BRIDGE                           C             Not Cleared,10:24,991 HARM TO SELF (MEDICAL TRANSPORT),Clemson University
P-15-1505,2020-11-17,2015-11-15,08:00,MCADAMS HALL                                  C             Not Cleared,12:28,991 LOST WALLET,Clemson University
P-15-1506,2020-11-17,2015-11-16,10:00,EDWARDS HALL                                  C             Not Cleared,16:53,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-1507,2020-11-17,2015-11-17,20:50,412 WANNAMAKER HALL                             C             Not Cleared,20:50,991 ODOR OF MARIJUANA,Clemson University
P-15-1508,2020-11-17,2015-11-17,23:47,9C4 BYRNES HALL                                 C             Exceptional Clearance,23:47,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-15-1509,2020-11-18,2015-11-18,03:16,LEVER HALL 6TH FLOOR C/D SIDE MEN'S BATHROOM    C             Not Cleared,03:19,991 HARM TO SELF (MEDICAL TRANSPORT),Clemson University
P-15-1510,2020-11-18,2015-11-18,09:38,A902 JOHNSTONE HALL                             C             Cleared by Arrest,09:40,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-15-1511,2020-11-18,2015-11-14,08:00,114 CREEKSIDE DRIVE                             C             Not Cleared,11:21,991 WELL BEING CHECK (OFF CAMPUS),Clemson University
P-15-1513,2020-11-18,2015-11-18,21:14,N5A CALHOUN COURTS                              C             Not Cleared,21:21,991 WELL BEING CHECK,Clemson University
P-15-1516,2020-11-20,2015-11-20,00:57,2C5 MANNING HALL                                C             Cleared by Arrest,01:00,90G POSSESSION OF LIQUOR BY PERSON UNDER 21,Clemson University
P-15-1517,2020-11-20,2015-11-20,01:45,NORTH EAST CORNER GODFREY HALL                  C             Cleared by Arrest,01:45,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-1519,2020-11-20,2015-11-16,08:00,110 SUMTER LANE                                 C             Not Cleared,09:43,991 DISPUTE VIA SOCIAL MEDIA,Clemson University
P-15-1520,2020-11-20,2015-11-20,15:33,603 JOHNSTONE HALL                              C             Cleared by Arrest,15:37,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-1521,2020-11-20,2015-11-20,09:30,C1 PARKING LOT                                  C             Not Cleared,16:24,991 DAMAGED WINDSHIELD,Clemson University
P-15-1523,2020-11-20,2015-11-20,21:30,10C3 LEVER HALL                                 C             Exceptional Clearance,21:35,90G POSSESSION OF BEER BY A PERSON UNDER 21,Clemson University
P-15-1524,2020-11-20,2015-11-20,22:44,HIGHWAY 93 AT MELL HALL                         C             Cleared by Arrest,22:44,90E PUBLIC DISORDERLY CONDUCT 90Z POSSESSION OF FAKE IDENTIFICATION CARD,Clemson University
P-15-1525,2020-11-20,2015-11-20,23:40,HIGHWAY 93 AT NORTH PALMETTO BOULEVARD          C             Cleared by Arrest,23:40,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-1526,2020-11-21,2015-11-21,01:00,6A2 MANNING HALL                                C             Not Cleared,01:03,991 WELL-BEING CHECK,Clemson University
P-15-1528,2020-11-21,2015-11-21,15:38,GATE 9 MEMORIAL STADIUM                     C             Cleared by Arrest,15:38,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-1529,2020-11-21,2015-11-21,15:45,GATE 16 MEMORIAL STADIUM                    C             Not Cleared,15:45,991 FOOTBALL GAME EJECTIONS,Clemson University
P-15-1530,2020-11-21,2015-11-21,15:29,HARCOMBE DINING HALL (FEMALE BATHROOM)      C             Cleared by Arrest,15:39,90E PUBLIC DISORDERLY CONDUCT 90Z PROVIDING FALSE INFORMATION TO POLICE,Clemson University
P-15-1531,2020-11-21,2015-11-21,15:56,GATE 1 MEMORIAL STADIUM                     C             Not Cleared,15:56,991 FOOTBALL GAME EJECTION,Clemson University
P-15-1532,2020-11-21,2015-11-21,15:39,GATE 16 MEMORIAL STADIUM                    C             Cleared by Arrest,15:59,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-1533,2020-11-21,2015-11-21,16:08,LOT 2                                       C             Cleared by Arrest,16:08,90E PUBLIC DISORDERLY CONDUCT 90Z POSSESSION OF FAKE ID,Clemson University
P-15-1534,2020-11-21,2015-11-21,15:30,GATE 1 FOOTBALL STADIUM                     C             Not Cleared,16:40,23H PETIT LARCENY,Clemson University
P-15-1535,2020-11-21,2015-11-21,17:30,8B2 MANNING HALL                            C             Not Cleared,17:51,991 ALCOHOL RELATED MEDICAL TRANSPORT,Clemson University
P-15-1536,2020-11-21,2015-11-21,19:00,PERIMETER ROAD AND US 76                    C             Cleared by Arrest,19:13,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-1537,2020-11-21,2015-11-21,20:16,HWY 93 NEAR CENTENNIAL BOULEVARD            C             Cleared by Arrest,20:18,90D DRIVING UNDER THE INFLUENCE 950 DRIVING UNDER SUSPENSION 3RD AND SUB,Clemson University
P-15-1540,2020-11-21,2015-11-21,21:04,18D LIGHTSEY BRIDGE                         C             Not Cleared,21:09,991 WELL-BEING CHECK,Clemson University
P-15-1541,2020-11-22,2015-11-22,02:30,HWY 93 AND PERIMETER ROAD                   C             Exceptional Clearance,03:40,13A POINTING AND PRESENTING A FIREARM,Clemson University
P-15-1542,2020-11-22,2015-11-20,18:00,R-1 PARKING LOT                             C             Not Cleared,12:22,23F PETIT LARCENY,Clemson University
P-15-1543,2020-11-23,2015-11-20,22:00,KITE HILL                                   C             Not Cleared,15:23,23G PETIT LARCENY,Clemson University
P-15-1544,2020-11-24,2015-11-24,11:00,7A5 MANNING HALL                 C             Not Cleared,11:04,991 WELL BEING CHECK (NON STUDENT),Clemson University
P-15-1548,2020-11-28,2015-11-28,15:31,298 MEMORIAL DRIVE               C             Not Cleared,15:36,991 ASSISTING OTHER AGENCY (BOMB THREAT),Clemson University
P-15-1549,2020-11-29,2015-11-29,10:24,LOT 13/RUGBY FIELD               C             Not Cleared,10:24,991 ABANDONED MOPED,Clemson University
P-15-1552,2020-11-29,2015-11-29,23:12,311 WANNAMAKER HALL              C             Cleared by Arrest,23:12,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-1554,2020-12-01,2015-12-01,08:18,MEMORIAL STADIUM (GATE 13)       C             Not Cleared,08:20,991 DEATH INVESTIGATION,Clemson University
P-15-1555,2020-12-01,2015-11-30,15:15,MILLS ROAD AT MORRISON ROAD      C             Not Cleared,11:55,240 PETIT LARCENY (MOPED),Clemson University
P-15-1556,2020-12-01,2015-11-20,17:02,425 CLEMSON HOUSE                C             Not Cleared,12:26,26E OBTAINING PROPERTY BY FALSE PRETENSE,Clemson University
P-15-1558,2020-12-01,2015-12-01,17:30,425 MCCABE HALL                  C             Not Cleared,20:25,23D GRAND LARCENY,Clemson University
P-15-1559,2020-12-02,2015-07-15,16:00,344012 CENTENNIAL BLVD           C             Not Cleared,11:31,998 ASSISTING ANOTHER AGENCY (RECOVERY OF STOLEN LAPTOP),Clemson University
P-15-1562,2020-12-03,2015-11-16,14:30,TILLMAN HALL                     C             Not Cleared,11:05,991 CLASSROOM DISTURBANCE,Clemson University
P-15-1563,2020-12-03,2015-10-06,08:00,708 CLEMSON HOUSE                C             Exceptional Clearance,13:17,36C INDECENT EXPOSURE (OVERTLY SEXUAL) 370 PORNOGRAPHY/OBSCENE MATERIAL 753 UNLAWFUL COMMUNICATION,Clemson University
P-15-1564,2020-12-03,2015-11-01,00:00,M13 HOLTZENDORF HALL             C             Not Cleared,14:12,290 MALICIOUS DAMAGE TO REAL PROPERTY,Clemson University
P-15-1565,2020-12-03,2015-12-03,23:16,102 BRADLEY HALL                 C             Not Cleared,23:16,991 ALCOHOL RELATED MEDICAL TRANSPORT,Clemson University
P-15-1568,2020-12-04,2015-12-04,09:30,EDWARDS HALL (2ND FLOOR RESTROOM)       C             Not Cleared,16:04,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-1569,2020-12-05,2015-12-04,14:30,MCCABE HALL (2ND FLOOR STUDY ROOM)      C             Not Cleared,08:59,23D PETIT LARCENY,Clemson University
P-15-1570,2020-12-06,2015-12-05,12:00,BENET HALL (3RD FLOOR)                  C             Not Cleared,00:09,290 MALICIOUS INJURY TO STATE PROPERTY,Clemson University
P-15-1571,2020-12-06,2015-12-06,00:23,WOODLAND APTS                           C             Not Cleared,00:52,998 ASSISTING ANOTHER AGENCY (BOMB SWEEP),Clemson University
P-15-1572,2020-12-06,2015-12-05,23:00,LEVER HALL (5TH FLOOR RESTROOM)         C             Exceptional Clearance,01:31,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-1573,2020-12-06,2015-12-06,02:50,S4G CALHOUN COURTS                      C             Not Cleared,02:52,998 ASSISTING ANOTHER AGENCY,Clemson University
P-15-1574,2020-12-06,2015-12-06,05:59,R-03 PARKING LOT                        C             Exceptional Clearance,05:59,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-1575,2020-12-06,2015-12-05,10:00,THE PARKING SPOT                        C             Not Cleared,10:02,290 MALICIOUS DAMAGE TO PERSONAL PROPERTY,Clemson University
P-15-1577,2020-12-06,2015-12-06,10:40,WILLIAMSON ROAD                         C             Not Cleared,11:06,991 HARM TO SELF (STUDENT),Clemson University
P-15-1578,2020-12-06,2015-12-04,22:00,E-1 PARKING LOT                         C             Not Cleared,12:53,23F PETIT LARCENY,Clemson University
P-15-1580,2020-12-06,2015-12-06,11:15,GATE 1 MEMORIAL STADIUM                 C             Not Cleared,23:21,23H PETIT LARCENY,Clemson University
P-15-1581,2020-12-06,2015-12-06,07:00,WILLIAMSON ROAD                         C             Not Cleared,07:00,999 LOST KEYS,Clemson University
P-15-1582,2020-12-07,2015-12-06,18:00,FIKE RECREATION CENTER                  A             Not Cleared,10:03,23D PETIT LARCENY,Clemson University
P-15-1583,2020-12-07,2015-12-07,14:00,226 CLEMSON HOUSE                       C             Exceptional Clearance,15:14,23D PETIT LARCENY,Clemson University
P-15-1584,2020-12-07,2015-12-07,15:00,LEE HALL III                            C             Not Cleared,15:54,991 VIOLATION OF OCES NO CONTACT ORDER,Clemson University
P-15-1585,2020-12-07,2015-12-07,15:00,MCMILLAN ROAD AT MCADAMS HALL                A             Not Cleared,18:36,240 PETIT LARCENY (MOPED),Clemson University
P-15-1586,2020-12-07,2015-12-07,18:37,1303 TIGER BLVD                              C             Not Cleared,18:37,991 OFF CAMPUS SEXUAL ASSAULT (NON STUDENT),Clemson University
P-15-1587,2020-12-07,2015-12-07,19:25,302 COPE HALL                                C             Not Cleared,19:25,991 FOUND PROPERTY,Clemson University
P-15-1588,2020-12-08,2015-12-08,20:19,1614 SANDIFER BLVD                           C             Not Cleared,20:19,998 ASSISTING ANOTHER AGENCY (BOMB SWEEP),Clemson University
P-15-1589,2020-12-08,2015-12-08,23:18,313A STADIUM SUITES                          C             Cleared by Arrest,23:18,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-1591,2020-12-09,2015-12-09,09:37,SUBSTATION ON CHERRY ROAD                    C             Not Cleared,09:37,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-1592,2020-12-09,2015-12-09,16:40,LOCONTE FAMILY FIELD                         C             Exceptional Clearance,16:46,90J UNAUTHORIZED USE OF LOCONTE FAMILY FIELD,Clemson University
P-15-1593,2020-12-09,2015-12-08,17:00,LIGHTSEY BRIDGE I BICYCLE RACK (CIRCLE)      C             Not Cleared,17:54,23H PETIT LARCENY (BICYCLE),Clemson University
P-15-1594,2020-12-09,2015-12-09,22:06,308 NORRIS HALL                              C             Not Cleared,22:06,991 ASSISTING ANOTHER AGENCY,Clemson University
P-15-1595,2020-12-09,2015-12-09,22:49,4C4 MAULDIN HALL                             C             Cleared by Arrest,22:42,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-15-1596,2020-12-10,2015-12-10,09:40,GODFREY HALL (2ND FLOOR LOBBY)               C             Not Cleared,10:22,991 HARM TO SELF (STUDENT),Clemson University
P-15-1597,2020-12-10,2015-12-10,08:00,714 STRODE TOWER                             C             Cleared by Arrest,12:40,23D PETIT LARCENY/FINANCIAL TRANSACTION CARD THEFT,Clemson University
P-15-1599,2020-12-10,2015-12-10,12:30,816 STRODE TOWER                             C             Cleared by Arrest,14:56,23D PETIT LARCENY,Clemson University
P-15-1600,2020-12-10,2015-12-10,10:00,302 RHODES ANNEX                             C             Cleared by Arrest,15:40,23D PETIT LARCENY (IPHONE),Clemson University
P-15-1601,2020-12-10,2015-12-10,08:30,105 RHODES HALL                              C             Cleared by Arrest,18:39,23D PETIT LARCENY/FINANCIAL TRANSACTION CARD THEFT,Clemson University
P-15-1602,2020-12-10,2015-12-10,06:30,141 PENDLETON ROAD                            C             Exceptional Clearance,18:31,756 USE OF VEHICLE WITHOUT OWNERS CONSENT,Clemson University
P-15-1603,2020-12-11,2015-12-10,09:00,105 RHODES HALL                               C             Cleared by Arrest,09:10,23D FINANCIAL TRANSACTION CARD THEFT 90J TRESPASS AFTER NOTICE,Clemson University
P-15-1604,2020-12-11,2015-12-10,09:00,105 RHODES HALL                               C             Cleared by Arrest,09:53,23D PETIT LARCENY,Clemson University
P-15-1605,2020-12-11,2015-12-04,00:00,108 BIOSYSTEMS BUILDING                       A             Not Cleared,11:01,23D PETIT LARCENY,Clemson University
P-15-1606,2020-12-11,2015-12-11,09:15,MOPED PARKING NEAR OLIN HALL AND RHODES HALL  C             Not Cleared,13:39,240 PETIT LARCENY (MOPED),Clemson University
P-15-1607,2020-12-11,2015-12-11,02:00,SUITE 416 SIRRINE HALL                        C             Not Cleared,12:25,290 MALICIOUS INJURY TO REAL PROPERTY,Clemson University
P-15-1608,2020-12-11,2015-12-11,15:29,905 JOHNSTONE HALL                            C             Not Cleared,15:29,35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-1609,2020-12-11,2015-12-11,17:25,R-3 PARKING LOT                               C             Not Cleared,17:54,23G PETIT LARCENY (LICENSE PLATE),Clemson University
P-15-1610,2020-12-12,2015-12-12,12:54,12C AND 12D LIGHTSEY BRIDGE                   C             Not Cleared,12:54,991 HOUSING VIOLATIONS,Clemson University
P-15-1611,2020-12-12,2015-12-12,13:57,107B THORNHILL VILLAGE                        C             Not Cleared,13:58,991 HOUSING VIOLATION,Clemson University
P-15-1612,2020-12-14,2015-12-14,00:56,MEMORIAL STADIUM (THE ROCK)                   C             Not Cleared,00:57,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-1613,2020-12-14,2015-12-14,11:40,2D LIGHTSEY BRIDGE BUILDING 2                 C             Exceptional Clearance,12:51,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-15-1614,2020-12-15,2015-12-14,15:30,MCADAMS HALL                                  C             Not Cleared,09:50,991 SUSPICIOUS PERSON,Clemson University
P-15-1616,2020-12-17,2015-12-17,15:25,HENDRIX STUDENT CENTER MEN'S LOBBY BATHROOM C               Not Cleared,15:37,991 SUSPICIOUS ITEMS FOUND,Clemson University
P-15-1617,2020-12-23,2015-12-23,00:00,S4-G CALHOUN COURTS                           C             Cleared by Arrest,00:27,13A DOMESTIC VIOLENCE 2ND DEGREE,Clemson University
P-15-1618,2020-12-23,2015-12-23,09:55,COOPER LIBRARY PARKING AREA            C             Not Cleared,09:55,991 DAMAGE TO PROPERTY (TREE),Clemson University
P-15-1619,2020-12-23,2015-12-19,08:00,114H SUMTER LANE                       C             Not Cleared,11:55,991 OFF CAMPUS DEATH REPORTED,Clemson University
P-15-1621,2020-12-24,2015-12-24,13:28,RHODES HALL AND RHODES HALL ANNEX      C             Not Cleared,13:28,991 WATER DAMAGE,Clemson University
P-15-1622,2020-12-26,2015-12-26,23:19,DOUG KINGSMORE STADIUM                 C             Not Cleared,23:19,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-1623,2020-12-28,2015-12-27,15:16,HENDRIX STUDENT CENTER BOOKSTORE       C             Not Cleared,15:07,90Z UNLAWFUL COMMUNICATION,Clemson University
P-15-1624,2020-12-28,2015-12-28,15:35,LIGHTSEY BRIDGE I                      C             Not Cleared,15:46,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-1625,2020-12-28,2015-12-28,16:22,LIGHTSEY BRIDGE I                      C             Not Cleared,16:25,290 MALICIOUS DAMAGE TO REAL PROPERTY,Clemson University
P-15-1626,2020-12-30,2015-12-30,00:30,HWY 93 AT PERIMETER ROAD               C             Cleared by Arrest,00:30,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-1627,2020-12-30,2015-12-30,17:47,FIKE RECREATION CENTER                 C             Not Cleared,17:50,991 SUSPICIOUS PERSON,Clemson University
P-15-1628,2020-12-31,2015-12-31,11:37,S4G CALHOUN COURTS                     C             Not Cleared,11:38,991 WELL BEING CHECK,Clemson University
P-16-0003,2020-01-03,2016-01-03,22:37,4C2 LEVER HALL                         C             Not Cleared,22:59,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-16-0004,2020-12-31,2015-12-31,15:22,91 TECHNOLOGY (AMRL) DRIVE             C             Not Cleared,15:25,991 SUSPICIOUS ACTIVITY,Clemson University
P-16-0005,2020-01-04,2016-01-04,09:30,CALHOUN DRIVE                          A             Not Cleared,18:40,290 DAMAGE TO VEHICLE,Clemson University
P-16-0006,2020-01-04,2016-01-04,21:07,11-H LIGHTSEY BRIDGE                   C             Not Cleared,21:10,991 WELL BEING CHECK,Clemson University
P-16-0007,2020-01-05,2016-01-05,00:41,302 DONALDSON HALL                     C             Not Cleared,00:41,35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-16-0008,2020-01-05,2016-01-05,21:31,S4G CALHOUN COURTS                           C             Not Cleared,21:51,991 WELL BEING CHECK,Clemson University
P-16-0009,2020-01-05,2016-01-05,23:53,308 WANNAMAKER HALL                          C             Not Cleared,23:53,991 ODOR OF MARIJUANA,Clemson University
P-16-0011,2020-01-06,2016-01-06,19:31,644 JOHNSTONE HALL                           C             Exceptional Clearance,19:36,35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF BEER BY PERSON UNDER 21,Clemson University
P-16-0012,2020-01-07,2016-01-06,17:10,TILLMAN HALL                                 C             Not Cleared,07:35,290 MALICIOUS INJURY TO STATE PROPERTY,Clemson University
P-16-0014,2020-01-07,2016-01-07,16:00,344012 CENTENNIAL BOULEVARD                  C             Not Cleared,19:11,991 SUSPICIOUS SOCIAL MEDIA POST,Clemson University
P-16-0016,2020-01-08,2016-01-08,22:50,310 DONALDSON HALL                           C             Cleared by Arrest,22:50,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-16-0017,2020-01-09,2016-01-09,00:44,811 JOHNSTONE HALL                           C             Cleared by Arrest,00:48,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-16-0018,2020-01-09,2016-01-09,02:00,100 DANIEL (EMPLOYEE PARKING LOT) DRIVE      C             Cleared by Arrest,02:09,13B ASSAULT AND BATTERY 90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-16-0019,2020-01-09,2016-01-09,22:10,BENET HALL (4TH FLOOR)                       C             Not Cleared,22:12,991 MARIJUANA ODOR,Clemson University
P-16-0020,2020-01-10,2016-01-10,01:02,TILLMAN HALL                                 C             Not Cleared,02:02,23H PETIT LARCENY,Clemson University
P-16-0021,2020-01-10,2016-01-10,14:44,P&A BUILDING (D SECTION)                     C             Not Cleared,14:44,991 DAMAGE TO PROPERTY (FLOODING),Clemson University
P-16-0022,2020-01-10,2016-01-10,16:48,#2A LIGHTSEY BRIDGE BUILDING 2               C             Not Cleared,16:54,753 UNLAWFUL USE OF TELEPHONE,Clemson University
P-16-0023,2020-01-10,2016-01-10,23:56,718 CLEMSON HOUSE                            C             Not Cleared,23:56,35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-16-0025,2020-01-11,2016-01-08,12:00,PRESIDENT'S HOME 120 CHERRY ROAD             C             Not Cleared,10:52,23H PETIT LARCENY,Clemson University
P-16-0026,2020-01-11,2016-01-10,17:00,STUDENT UNION 6TH FLOOR RESTROOM                 C             Not Cleared,11:59,991 SUSPICIOUS ACTIVITY,Clemson University
P-16-0027,2020-01-11,2016-01-11,19:45,GARDEN TRAIL                                     C             Cleared by Arrest,19:45,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF BEER BY PERSON UNDER 21,Clemson University
P-16-0028,2020-01-11,2016-01-11,22:17,BENET HALL 2ND FLOOR LOUNGE                      C             Cleared by Arrest,22:17,90G POSSESSION OF BEER BY PERSON UNDER 21,Clemson University
P-16-0029,2020-01-12,2016-01-12,00:00,MELL HALL PARKING LOT                            C             Cleared by Arrest,00:00,90G POSSESSION OF BEER BY PERSON UNDER 21,Clemson University
P-16-0030,2020-01-12,2016-01-12,00:52,RIGGS FIELD                                      C             Cleared by Arrest,00:52,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 90Z POSSESSION OF FALSE IDENTIFICATION,Clemson University
P-16-0031,2020-01-12,2016-01-12,01:54,HENDRIX STUDENT CENTER                           C             Not Cleared,01:54,991 WELL BEING CHECK,Clemson University
P-16-0032,2020-01-12,2016-01-12,02:12,MAULDIN HALL 2ND FLOOR RESTROOM                  C             Not Cleared,02:11,991 ALCOHOL RELATED MEDICAL CALL (STUDENT),Clemson University
P-16-0033,2020-01-12,2016-01-12,01:30,BENET HALL OUTSIDE MAIN ENTRANCE                 C             Cleared by Arrest,01:51,13B ASSAULT AND BATTERY 3RD 90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-16-0034,2020-01-12,2016-01-12,01:00,306 DONALDSON HALL                               C             Not Cleared,01:03,991 MARIJUANA ODOR,Clemson University
P-16-0035,2020-01-12,2016-01-11,23:05,COPE HALL                                        C             Not Cleared,09:14,23D PETIT LARCENY 290 MALICIOUS DAMAGE TO REAL PROPERTY,Clemson University
P-16-0036,2020-01-12,2016-01-11,23:05,BENET HALL                                       C             Not Cleared,09:14,23D PETIT LARCENY 290 MALICIOUS DAMAGE TO REAL PROPERTY,Clemson University
P-16-0037,2020-01-12,2016-01-12,21:00,KAPPA LAMBDA STREET                              C             Not Cleared,21:16,991 VERBAL DISPUTE,Clemson University
P-16-0038,2020-01-12,2016-01-12,21:29,LIGHTSEY BRIDGE 1 PARKING LOT NEAR BUILDING 2    C             Cleared by Arrest,21:29,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-16-0040,2020-01-13,2016-01-05,10:00,R-1 PARKING LOT                           C             Not Cleared,19:09,23F PETIT LARCENY,Clemson University
P-16-0042,2020-01-14,2016-01-14,19:00,BRYAN CIRCLE                              C             Exceptional Clearance,19:00,90Z IMPERSONATING A POLICE OFFICER,Clemson University
P-16-0043,2020-01-14,2016-01-14,22:53,CHERRY ROAD AT PERIMETER ROAD             C             Cleared by Arrest,22:53,950 DRIVING UNDER SUSPENSION,Clemson University
P-16-0046,2020-01-14,2016-01-14,23:18,1ST FLOOR LIVING ROOM DONALDSON HALL      C             Cleared by Arrest,23:18,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-16-0047,2020-01-14,2016-01-14,23:34,110 BRADLEY HALL                          C             Not Cleared,23:34,991 MARIJUANA ODOR,Clemson University
P-16-0049,2020-01-15,2016-01-14,15:10,311A ACADEMIC SUCCESS CENTER              A             Not Cleared,16:13,991 SUSPICIOUS ACTIVITY,Clemson University
P-16-0050,2020-01-16,2016-01-16,00:51,415 COPE HALL                             C             Not Cleared,00:53,991 WELL BEING CHECK,Clemson University
P-16-0051,2020-01-16,2016-01-15,21:00,CENTENNIAL BLVD (PARKING SPACE 4805)      C             Not Cleared,07:42,23G PETIT LARCENY,Clemson University
P-16-0052,2020-01-16,2016-01-16,17:30,418 SANDERS HALL                          C             Not Cleared,17:34,991 MARIJUANA ODOR,Clemson University
P-16-0053,2020-01-16,2016-01-16,18:03,E-5 PARKING LOT (P-PLANT)                 C             Not Cleared,18:45,23F PETIT LARCENY,Clemson University
P-16-0054,2020-01-17,2016-01-16,18:03,E-05 PARKING LOT (P-PLANT)                C             Not Cleared,19:41,23F PETIT LARCENY,Clemson University
