case_number,date_reported,incident,date_occurred,time_occurred,location,university,time_reported
1700750,2017-02-26,"Possession Display or Use of Another's Identification Document; Person Down--Alcohol, Underage Possession",2017-02-25,23:00,"Raoul Hall, 2 Eagle Row, Atlanta, 30322",Emory University,NA
1700741,2017-02-25,Identity Fraud (Use of Information),2016-09-01,08:00,Unknown location. off campus,Emory University,NA
1700739,2017-02-25,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-02-24,23:20,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, GA 30322",Emory University,NA
1700734,2017-02-24,"Theft by Taking (All Other, Value $500 or Less)",2017-02-24,16:28,"Emory Univ. Hospital, Valet Parking, 1364 Clifton Rd, Atlanta, GA 30322",Emory University,NA
1700732,2017-02-24,Stalking (Misdemeanor),2017-02-03,08:00,"Emory University, 201 Dowman Dr, Atlanta, 30322",Emory University,NA
1700726,2017-02-23,"Harassing Communications - Harass, Threaten, or Intimidate",2017-02-23,21:20,"Budd Terrace, 1833 Clifton Rd, Atlanta, 30322",Emory University,NA
1700722,2017-02-23,"Theft by Taking (From Bldg, Valued Over $500)",2017-02-10,16:00,"Dobbs Univ. Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1700720,2017-02-23,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-02-23,13:39,"Emory Rehabilitation Hospital, Valet Parking, 1441 Clifton Rd, Atlanta, 30322",Emory University,NA
1700719,2017-02-23,"Theft by Taking (From Bldg, Valued Over $500)",2017-02-22,16:00,"Woodruff Library, 540 Asbury Cir, Atlanta, 30322",Emory University,NA
1700694,2017-02-21,Simple Battery,2017-02-21,18:52,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700693,2017-02-21,"Theft by Taking (From Bldg, Valued Over $500)",2017-02-21,18:20,"Dobbs Univ. Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1700691,2017-02-21,"Theft by Taking (All Other, Value $500 or Less)",2017-02-08,20:00,"Clairmont URC Bldg A, 2405 Dooley Dr (private), Decatur, 30033",Emory University,NA
1700690,2017-02-21,"Theft by Taking (All Other, Value Over $500)",2017-02-20,11:00,"Budd Terrace, 1833 Clifton Rd, Atlanta, GA 30322",Emory University,NA
1700686,2017-02-21,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-02-15,14:45,"Facilities Management North Shop, Bldg. F, 200 FM Dr, Atlanta, 30322",Emory University,NA
1700677,2017-02-20,Robbery by Intimidation; Domestic Violence,2017-02-20,18:23,"Emory Univ. Hospital, Valet Parking Entrance, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700645,2017-02-18,Entering an Auto,2017-02-17,06:20,"Lowergate Parking Deck, 1717 Lowergate Dr, Atlanta, 30322",Emory University,NA
1700635,2017-02-17,"Theft by Taking (From Bldg, Valued Over $500)",2017-02-17,10:00,"Goizueta Business School, 1300 Clifton Rd, Atlanta, 30322",Emory University,NA
1700631,2017-02-17,Sexual Battery,NA,NA,"Emory University, 201 Dowman Dr, Atlanta, 30322",Emory University,NA
1700630,2017-02-17,Rape,NA,NA,"Unspecified Fraternity or Sorority, Eagle Row, Atlanta, 30322",Emory University,NA
1700621,2017-02-16,"Theft by Taking (Bicycle, Valued $500 or Less)",2017-02-15,12:00,"Paterson Green, 1300 Clifton Rd, Atlanta, 30322",Emory University,NA
1700614,2017-02-16,Simple Battery,NA,NA,"Emory Univ., 201 Dowman Dr, Atlanta, 30322",Emory University,NA
1700591,2017-02-14,"Theft by Taking (From Bldg, Valued Over $500)",2017-02-14,16:30,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700590,2017-02-14,"Theft by Taking (Bicycle, Valued Over $500)",2016-05-10,00:00,"Fraternity House, 12 Eagle Row, Atlanta, 30322",Emory University,NA
1700589,2017-02-14,Entering an Auto,2017-02-14,09:55,"Lowergate Parking Deck, 1717 Lowergate Dr, Atlanta, 30322",Emory University,NA
1700574,2017-02-13,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-02-13,12:45,"Dobbs Univ. Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1700570,2017-02-13,"Theft by Taking (From Bldg, Valued Over $500)",2017-01-19,13:00,"Woodruff Physical Education Center, 600 Asbury Cir, Atlanta, 30322",Emory University,NA
1700543,2017-02-10,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-01-26,08:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700542,2017-02-10,Theft of Lost or Mislaid Property ($500 or Less),2017-02-09,12:00,"Cherry Emerson Center, 1521 Dickey Dr, Atlanta, 30322",Emory University,NA
1700540,2017-02-10,"Financial Transaction Card Theft, Financial Transaction Card Fraud",2017-02-07,22:00,"Woodruff Physical Education Center, 600 Asbury Cir, Atlanta, 30322",Emory University,NA
1700537,2017-02-10,Possession of Weapon in a School Zone,2017-02-10,00:35,"Lowergate South Parking Deck, 1705 Lowergate Dr, Atlanta, 30322",Emory University,NA
1700536,2017-02-09,Simple Battery (Family Violence),2017-02-09,21:40,"Wesley Woods Towers Parking Lot, 1825 Clifton Rd, Atlanta, 30322",Emory University,NA
1700532,2017-02-09,"Theft by Taking (From Bldg, Valued Over $500)",2017-02-09,16:00,"Dobbs Univ. Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1700523,2017-02-09,Financial Transaction Card Theft,2017-02-09,09:34,"Winship Cancer Clinic, 1711 Uppergate Dr, Atlanta, 30322",Emory University,NA
1700518,2017-02-08,Simple Assault,2017-02-08,23:00,"Woodruff Library, 540 Asbury Cir, Atlanta, 30322",Emory University,NA
1700512,2017-02-08,Theft by Shoplifting ($300 or Less),2017-02-08,12:23,"Barnes and Noble Bookstore, 1390 Oxford Rd, Atlanta, 30322",Emory University,NA
1700508,2017-02-08,Simple Battery; Dating Violence,NA,NA,"Emory University, 201 Dowman Dr, Atlanta, 30322",Emory University,NA
1700480,2017-02-06,"Burglary, Second Degree, Non-Forcible Entry",2016-12-01,00:01,"Emory Clinic B, 1365-B Clifton Rd, Atlanta, 30322",Emory University,NA
1700475,2017-02-06,Entering an Auto,2017-02-03,17:00,"Emory West Campus, 1256 Briarcliff Rd, Atlanta, 30322",Emory University,NA
1700472,2017-02-06,"VGCSA (Abandoning drugs, poisons, controlled substances)",2017-02-06,01:14,"Baker Woodlands, S Kilgo Cir at Mizell Bridge, Atlanta, 30322",Emory University,NA
1700464,2017-02-05,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-01-30,00:00,"Raoul Hall, 2 Eagle Row, Atlanta, 30322",Emory University,NA
1700461,2017-02-05,"Sex Offense, Not Otherwise Specified",2017-02-05,00:15,"Unknown location, main campus, Atlanta, 30322",Emory University,NA
1700452,2017-02-04,Public Indecency (Misdemeanor),2017-02-04,20:04,"Starbucks, Oxford Road Bldg, 1390 Oxford Rd, Atlanta, 30322",Emory University,NA
1700450,2017-02-04,Affray; Possession of a Weapon in a School Zone,2017-02-04,18:00,"South Fork, Peachtree Creek, Atlanta, 30322",Emory University,NA
1700447,2017-02-04,"Theft by Taking (From Bldg, Valued Over $500)",2017-02-04,14:00,"Woodruff Physical Education Center, 600 Asbury Cir, Atlanta, 30322",Emory University,NA
1700400,2017-01-31,"Theft by Taking (From Bldg, Valued Over $500)",2017-01-31,17:25,"Dobbs Univ. Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1700396,2017-01-31,Entering an Auto,2017-01-31,09:00,"Houston Administration Bldg. Parking Lot, 1817 Clifton Rd, Atlanta, 30322",Emory University,NA
1700391,2017-01-31,Arrest for Other Agency (Probation Violation),2017-01-31,06:05,"Clairmont Bldg E, 2445 Dooley Dr, Decatur, 30033",Emory University,NA
1700375,2017-01-30,"Theft by Taking (All Other, Value $500 or Less)",2017-01-27,11:00,"Pediatrics Clinic, 2015 Uppergate Dr, Atlanta, 30322",Emory University,NA
1700370,2017-01-29,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-01-29,17:45,"Cox Hall, 569 Asbury Cir, Atlanta, 30322",Emory University,NA
1700358,2017-01-28,"Theft of Lost or Mislaid Property ($500 or Less), Financial Transaction Card Fraud",2017-01-27,20:30,"Claudia Nance Rollins School of Public Health, 401 Rollins Way, Atlanta, 30322",Emory University,NA
1700348,2017-01-27,Entering an Auto,2017-01-27,08:12,"Lowergate Parking Deck, 1717 Lowergate Dr, Atlanta, 30322",Emory University,NA
1700347,2017-01-27,"Forgery, First Degree",2012-12-31,08:00,"Michael C Carlos Museum, 571 S Kilgo Cir, Atlanta, 30322",Emory University,NA
1700344,2017-01-27,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-12-15,07:00,"Psychology and Interdisciplinary Sciences, 36 Eagle Row, Atlanta, 30322",Emory University,NA
1700342,2017-01-27,Theft of Lost or Mislaid Property ($500 or Less),2017-01-13,18:00,"Dobbs Univ. Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1700332,2017-01-26,Theft of Lost or Mislaid Property ($500 or Less),2017-01-26,18:00,"Math-Science Center, 400 Dowman Dr, Atlanta, 30322",Emory University,NA
1700330,2017-01-26,"Theft by Taking (From Bldg, Valued Over $500)",2017-01-26,19:15,"Dobbs Univ. Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1700325,2017-01-26,Entering an Auto,2017-01-24,12:45,"Winship Clinic, Valet Parking Service, 1711 Uppergate Dr, Atlanta, 30322",Emory University,NA
1700324,2017-01-26,"Criminal Trespass, Property Damage",2017-01-26,11:53,"Means Dr, near School of Medicine, Atlanta, 30322",Emory University,NA
1700305,2017-01-25,"Theft by Taking (All Other, Value $500 or Less); Property Damage (Non-Criminal)",2017-01-20,13:27,"Emory Univ. Hospital, Valet Parking Service, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700293,2017-01-24,Simple Battery;  Exploiting Disabled Adults or Elder Persons,2017-01-24,06:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700291,2017-01-24,Terroristic Threats,2017-01-24,12:16,"Emory Univ. Hospital J-Wing Construction Site, 1365-J Clifton Rd, Atlanta, 30322",Emory University,NA
1700289,2017-01-24,Entering an Auto,2017-01-24,11:35,"Clifton Rd, in front of Emory Clinic A, Atlanta, GA 30322",Emory University,NA
1700287,2017-01-24,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-01-24,10:20,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700286,2017-01-24,"Criminal Damage to Property, Second Degree",2017-01-23,12:30,"B Jones Bldg, 200 Dowman Dr, Atlanta, 30322",Emory University,NA
1700277,2017-01-23,Entering an Auto,2017-01-23,13:30,"Budd Terrace Parking Lot, 1833 Clifton Rd, Atlanta, 30322",Emory University,NA
1700274,2017-01-23,Entering an Auto,2017-01-23,13:30,"Wesley Woods Towers Parking Lot, 1825 Clifton Rd, Atlanta, 30322",Emory University,NA
1700273,2017-01-23,Simple Battery,2017-01-23,10:45,"Emory Clinic A, 1365-A Clifton Rd, Atlanta, 30322",Emory University,NA
1700266,2017-01-22,Theft of Lost or Mislaid Property ($500 or Less); Financial Transaction Card Theft,2017-01-18,12:00,"Emory University, 201 Dowman Dr, Atlanta, 30322",Emory University,NA
1700259,2017-01-21,"Theft by Taking (Bicycle, Valued $500 or Less)",2017-01-20,13:30,"Dobbs Univ. Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1700255,2017-01-21,"Criminal Trespass, Property Damage",2017-01-20,23:00,"Clairmont Bldg E, 2445 Dooley Dr (private), Decatur, 30033",Emory University,NA
1700254,2017-01-21,Arrest for Other Agency (Failure to Appear),2017-01-21,05:29,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700252,2017-01-21,Theft of Services ($500 or Less),2017-01-20,23:45,"Emory Univ. Hospital, Valet Parking, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700248,2017-01-20,"Criminal Damage to Property, 2nd Degree, Over $500",NA,NA,"Schwartz Center for the Performing Arts, 1700 N Decatur Rd, Atlanta, 30322",Emory University,NA
1700247,2017-01-20,Harassing Communications,2017-01-20,09:56,"Gambrell Hall (School of Law), 1301 Clifton Rd, Atlanta, 30322",Emory University,NA
1700246,2017-01-20,Financial Transaction Card Theft; Theft of Lost or Mislaid Property (Over $500),2017-01-20,12:30,"James B Williams Medical Education Bldg, 100 Woodruff Cir, Atlanta, 30322",Emory University,NA
1700233,2017-01-20,Cruelty to a Person 65 or Older,2016-12-26,15:00,"A.G. Rhodes Nursing Home, 1819 Clifton Rd, Atlanta, 30322",Emory University,NA
1700226,2017-01-19,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-01-19,17:45,"Woodruff Physical Education Center, 600 Asbury Cir, Atlanta, 30322",Emory University,NA
1700224,2017-01-19,"VGCSA (Unlawfully Obtaining Controlled Substance); Theft by Taking (From Bldg, Valued $500 or Less)",2017-01-01,08:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700223,2017-01-19,Entering an Auto,2016-09-01,08:00,"Emory West, Parking Lot I, 1256 Briarcliff Rd, Atlanta, 30322",Emory University,NA
1700216,2017-01-19,Stalking (Misdemeanor),2017-01-16,02:35,"Wesley Woods Health Center, 1841 Clifton Rd, Atlanta, 30322",Emory University,NA
1700214,2017-01-19,Entering an Auto,2017-01-18,07:45,"Houston Bldg Parking Lot, 1817 Clifton Rd, Atlanta, 30322",Emory University,NA
1700213,2017-01-19,"Criminal Trespass, Individual",2017-01-19,06:44,"Starbucks, 1390 Oxford Rd, Atlanta, 30322",Emory University,NA
1700181,2017-01-17,Entering an Auto,2017-01-17,12:15,"Parking Deck, 1525 Clifton Rd, Atlanta, 30322",Emory University,NA
1700175,2017-01-17,"Burglary, Second Degree, Non-Forcible Entry",2016-08-01,00:00,"Psychology and Interdisciplinary Sciences, 36 Eagle Row, Atlanta, 30322",Emory University,NA
1700170,2017-01-17,Arrest for Other Agency (Failure to Appear),2017-01-17,00:25,"Fishburne Dr at Clifton Rd, Atlanta, 30322",Emory University,NA
1700166,2017-01-16,Theft by Shoplifting (Exceeds $300),2017-01-16,17:00,"Barnes and Noble Bookstore, 1390 Oxford Rd, Atlanta, 30322",Emory University,NA
1700165,2017-01-16,"Criminal Trespass, Property Damage; Theft by Taking (All Other, Value Over $500)",2017-01-14,11:00,"Emory West, Building A, 1256-A Briarcliff Rd, Atlanta, 30322",Emory University,NA
1700163,2017-01-16,"Theft by Taking (From Bldg, Valued Over $500)",2016-12-26,00:00,"B Jones Bldg, 200 Dowman Dr, Atlanta, GA 30322",Emory University,NA
1700148,2017-01-14,"Theft by Taking (All Other, Value $500 or Less)",2016-11-26,00:01,"Clairmont CRC, Bldg F, 2445 Dooley Dr (private), Decatur, 30033",Emory University,NA
1700136,2017-01-13,"Theft by Taking (From Bldg, Valued Over $500)",2017-01-12,18:00,"Dobbs Univ. Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1700113,2017-01-11,"Criminal Trespass, Property Damage",2017-01-11,23:20,"Emory West, Building A, 1256-A Briarcliff Rd, Atlanta, 30322",Emory University,NA
1700104,2017-01-11,Computer Theft,2017-01-10,12:00,"Rollins Research Bldg, 1510 Clifton Rd, Atlanta, 30322",Emory University,NA
1700101,2017-01-11,Unauthorized Persons Entering Vacant Buildings,2017-01-11,10:48,"Candler Mansion, 1260 Briarcliff Rd, Atlanta, 30322",Emory University,NA
1700091,2017-01-10,Theft of Lost or Mislaid Property ($500 or Less),2017-01-05,17:00,"Woodruff Physical Education Center, 600 Asbury Cir, Atlanta, 30322",Emory University,NA
1700088,2017-01-10,"Criminal Trespass, Property Damage",2017-01-09,17:30,"James B Williams Medical Education Bldg, 100 Woodruff Cir, Atlanta, 30322",Emory University,NA
1700071,2017-01-08,"Criminal Trespass, Individual",2017-01-04,00:00,"Hope Lodge, 1552 Shoup Ct, Decatur, 30033",Emory University,NA
1700067,2017-01-07,Unauthorized persons entering vacant buildings,2017-01-07,15:23,"Candler Mansion, 1260 Briarcliff Rd, Atlanta, 30322",Emory University,NA
1700059,2017-01-06,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-01-04,11:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1700057,2017-01-06,Battery (Visible Bodily Harm to Another); Person Disoriented or Mentally Ill,2017-01-06,19:52,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta, 30322",Emory University,NA
1700050,2017-01-05,"Theft by Taking (From Bldg, Valued Over $500)",2017-01-05,17:50,"Kaldi's Coffee, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1700043,2017-01-04,"Theft by Taking (From Bldg, Valued $500 or Less)",2017-01-04,19:10,"Woodruff Physical Education Center, 600 Asbury Cir, Atlanta, 30322",Emory University,NA
1700037,2017-01-04,Entering an Auto,2017-01-04,08:50,"Lowergate Visitors Parking Deck, 1717 Lowergate Dr, Atlanta, 30322",Emory University,NA
1700025,2017-01-03,Assist DeKalb County Police Dept (Entering Auto),2017-01-03,14:02,"1370 Emory Rd, Atlanta 30306",Emory University,NA
1605799,2017-09-20,"Burglary, First Degree, Forcible Entry",2017-07-31,13:30,"2001 Ridgewood Dr, Atlanta, 30322",Emory University,NA
1605796,2016-12-30,Arrest: Driving Under the Influence of Alcohol or Drugs; Failure to Stop at a Stop Sign; Motor Vehicle Collision,2016-12-30,09:36,"Gambrell Dr at Lowergate Dr, Atlanta, 30322",Emory University,NA
1605776,2016-12-27,Possession of Weapon in a School Zone; Reckless Conduct; Criminal Damage to Property 1st Degree-Endangered Life,2016-12-19,17:00,"Fraternity House, 8 Eagle Row, Atlanta 30322",Emory University,NA
1605774,2016-12-27,"Theft by Taking (From Bldg, Valued Over $500)",2016-12-23,07:00,"Budd Terrace, 1833 Clifton Rd, Atlanta, 30322",Emory University,NA
1605773,2016-12-27,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-12-27,12:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605772,2016-12-27,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-10-28,17:00,"N Decatur Building, 1784 N Decatur Rd, Atlanta, 30322",Emory University,NA
1605771,2016-12-27,"Theft by Taking (From Bldg, Valued Over $500)",2016-11-15,17:00,"N Decatur Building, 1784 N Decatur Rd, Atlanta, 30322",Emory University,NA
1605770,2016-12-27,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-11-01,00:01,"N Decatur Building, 1784 N Decatur Rd, Atlanta, 30322",Emory University,NA
1605769,2016-12-27,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-12-20,07:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605727,2016-12-21,Theft by Conversion (Over $500),2016-12-02,09:00,"Emory Univ. Hospital,1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605696,2016-12-16,Entering an Auto,2016-12-16,13:30,"Lowergate Parking Deck, 1717 Lowergate Dr, Atlanta, 30322",Emory University,NA
1605694,2016-12-16,"Theft by Taking (Bicycle, Valued Over $500)",2016-12-16,15:36,"Emory Univ. Hospital, J-Wing Construction Site, 1365-J Clifton Rd, Atlanta,  30322",Emory University,NA
1605678,2016-12-14,"Theft by Taking (From Bldg, Valued Over $500)",2016-12-14,13:30,"Dobbs University Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1605674,2016-12-14,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-12-14,08:30,"James B Williams Medical Education Bldg, 100 Woodruff Cir, Atlanta, 30322",Emory University,NA
1605661,2016-12-13,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-12-08,12:00,"Few Hall, 4 Eagle Row, Atlanta, 30322",Emory University,NA
1605660,2016-12-13,Theft of Lost or Mislaid Property ($500 or Less),2016-12-13,12:15,"Dobbs University Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1605659,2016-12-13,Theft by Conversion ($500 or Less),2016-07-29,17:00,"Wesley Woods Health Center, 1841 Clifton Rd, Atlanta, 30322",Emory University,NA
1605655,2016-12-13,Terroristic Threats,2016-12-13,05:41,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605652,2016-12-12,"Theft by Taking (From Bldg,  Valued $500 or Less)",2016-12-12,19:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605651,2016-12-12,"Theft by Taking (From Bldg, Valued Over $500)",2016-12-12,06:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605650,2016-12-12,Pointing or Aiming a Gun at Another; Possession of Weapon in a School Zone,2016-12-12,16:45,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605643,2016-12-11,Entering an Auto,2016-12-11,20:30,"Emory Univ. Hospital Midtown, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605637,2016-12-11,Unauthorized persons entering vacant buildings,2016-12-11,15:15,"Candler Mansion, 1260 Briarcliff Rd, Atlanta, 30322",Emory University,NA
1605617,2016-12-08,Entering an Auto,2016-12-07,06:00,"Lowergate Parking Deck, 1717 Lowergate Dr, Atlanta, 30322",Emory University,NA
1605613,2016-12-08,Entering an Auto,2016-11-28,08:00,"Michael Street Parking Deck, 550 Michael St, Atlanta, 30322",Emory University,NA
1605612,2016-12-08,Theft of Lost or Mislaid Property ($500 or Less),2016-12-07,12:00,"Goizueta School of Business, 1300 Clifton Rd, Atlanta, 30322",Emory University,NA
1605594,2016-12-07,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-12-06,08:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605591,2016-12-07,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-12-06,17:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605589,2016-12-06,"Theft by Taking (From Bldg, Valued Over $500)",2016-12-06,20:00,"Dobbs University Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1605588,2016-12-06,Simple Battery,2016-12-06,20:50,"Emory Rehabilitation Hospital, 1441 Clifton Rd, Atlanta, 30322",Emory University,NA
1605587,2016-12-06,"Theft by Taking (All Other, Value Over $500)",2016-12-06,20:00,"Dobbs University Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1605581,2016-12-06,Entering an Auto,2016-12-06,13:00,"Lowergate Parking Deck, 1717 Lowergate Dr, Atlanta, 30322",Emory University,NA
1605580,2016-12-06,"Theft by Taking (Motor Vehicle Parts or Accessories, Exterior, Value $500 or Less)",2016-12-05,06:50,"Wesley Woods Geriatric Hospital, Parking Lot, 1821 Clifton Rd, Atlanta,  30322",Emory University,NA
1605578,2016-12-06,"Criminal Trespass, Property Damage",2016-12-06,12:21,"Candler Mansion, 1260 Briarcliff Rd, Atlanta, 30322",Emory University,NA
1605575,2016-12-06,Rape,2016-11-01,00:00,"Emory University, 201 Dowman Dr, Atlanta, 30322",Emory University,NA
1605557,2016-12-05,Terroristic Threats,2016-12-05,13:59,"Emory Children's Center, 2015 Uppergate Dr, Atlanta, 30322",Emory University,NA
1605535,2016-12-03,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-12-03,12:00,"Woodruff Library,  540 Asbury Cir, Atlanta, 30322",Emory University,NA
1605515,2016-12-02,Assist DeKalb County Police Dept (Burglary),2016-12-02,10:06,"2051 N Decatur Rd, Atlanta, 30307",Emory University,NA
1605501,2016-12-01,Stalking (Misdemeanor),2016-12-01,20:00,"Dobbs University Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1605497,2016-12-01,"Theft by Taking (From Bldg, Valued Over $500)",2016-12-01,12:50,"Dobbs University Center, 605 Asbury Cir, Atlanta, 30322",Emory University,NA
1605496,2016-12-01,Theft of Lost or Mislaid Property (Over $500),2016-12-01,07:00,"Michael Street Parking Deck, 550 Michael St, Atlanta, 30322",Emory University,NA
1605495,2016-12-01,"Theft by Taking (All Other, Value $500 or Less)",2016-11-22,14:00,"Woodruff Physical Education Center, 600 Asbury Cir, Atlanta, 30322",Emory University,NA
1605474,2016-11-30,Entering an Auto,2016-11-29,13:00,"Emory Clinic A, 1365-A Clifton Rd, Atlanta, 30322",Emory University,NA
1605467,2016-11-29,"Theft by Taking (Bicycle, Valued $500 or Less)",2016-11-29,18:30,"Woodruff Physical Education Center, 600 Asbury Cir, Atlanta, 30322",Emory University,NA
1605457,2016-11-29,"Criminal Trespass, Property Damage",2016-11-28,20:30,"Math-Science Center, 400 Dowman Dr, Atlanta, 30322",Emory University,NA
1605448,2016-11-28,Entering an Auto,2016-11-28,08:20,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605443,2016-11-28,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-11-21,10:00,"James B. Williams Medical Education Building, 100 Woodruff Cir, Atlanta, 30322",Emory University,NA
1605440,2016-11-28,"Criminal Trespass, Property Damage",2016-11-28,07:50,"Emory West, Bldg B, 1256-B Briarcliff Rd, Atlanta, 30322",Emory University,NA
1605436,2016-11-27,Arrest: Public Indecency,2016-11-27,23:05,"Gambrell Hall (School of Law), 1301 Clifton Rd, Atlanta, 30322",Emory University,NA
1605433,2016-11-27,Unauthorized persons entering vacant buildings,2016-11-27,16:30,"Candler Mansion, 1260 Briarcliff Rd, Atlanta, 30322",Emory University,NA
1605431,2016-11-27,Unauthorized persons entering vacant buildings,2016-11-27,10:27,"Candler Mansion, 1260 Briarcliff Rd, Atlanta, 30322",Emory University,NA
1605421,2016-11-25,Entering an Auto,2016-11-25,10:45,"Lowergate Parking Deck, 1717 Lowergate Dr, Atlanta, 30322",Emory University,NA
1605411,2016-11-23,"Burglary, Second Degree, Forcible Entry",2016-10-03,07:00,"Psychology and Interdisciplinary Sciences, 36 Eagle Row, Atlanta, 30322",Emory University,NA
1605398,2016-11-22,"Financial Transaction Card Theft; Theft by Taking (From Bldg, Valued $500 or Less)",2016-11-22,17:00,"Winship Cancer Clinic, 1711 Uppergate Dr, Atlanta, 30322",Emory University,NA
1605394,2016-11-22,"Criminal Trespass, Property Damage",2016-11-22,13:00,"Starvine Parking Deck, 1945 Starvine Way, Decatur, 30033",Emory University,NA
1605391,2016-11-22,Arrest for Other Agency (Failure to Appear); Riding Moped Without Protective Headgear,2016-11-22,12:39,"Eagle Row, Atlanta, 30322",Emory University,NA
1605378,2016-11-21,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-11-21,09:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605315,2016-11-18,"Possession Display, or Use of False Government ID Document; Property Found",2016-11-18,10:00,"Few Hall, 4 Eagle Row, Atlanta, 30322",Emory University,NA
1605314,2016-11-18,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-11-15,10:00,"Oxford Road Bldg, 1390 Oxford Rd, Atlanta, 30322",Emory University,NA
1605311,2016-11-18,"Theft by Taking (From Bldg, Valued $500 or Less)",2016-11-11,17:00,"Emory Clinic A, 1365-A Clifton Rd, Atlanta, 30322",Emory University,NA
1605309,2016-11-18,"Possession, Display, or Use of False Government ID Document; Property Found",2016-11-18,08:00,"Emory Univ. Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1605304,2016-11-18,Arrest: Public Intoxication; Simple Battery,2016-11-18,00:50,"22 Eagle Row, Atlanta, 30322",Emory University,NA
1605301,2016-11-17,Theft of Lost or Mislaid Property ($500 or Less),2016-11-17,13:00,"Cox Hall, 569 Asbury Cir, Atlanta, 30322",Emory University,NA
