date_occurred,time_occurred,date_reported,case_number,incident,location,time_reported,university
2015-07-16,NA,2015-07-16,1502560,Public Intoxication,LBJ Street,NA,Texas State University
2015-07-16,NA,2015-07-16,1501966,"Criminal TrespassWarning",LBJ Student & Visitor Center,NA,Texas State University
2015-07-15,NA,2015-07-15,1502554,"Criminal Mischief ‐SubstantialInconvenience",Freeman Parking Lot,NA,Texas State University
2015-07-15,NA,2015-07-15,1502554,"Criminal Mischiefunder $1500",Freeman Parking Lot,NA,Texas State University
2015-07-15,NA,2015-07-14,1502539,"Possession of DrugParaphernalia",North Campus Housing Complex,NA,Texas State University
2015-07-15,NA,2015-07-15,1502594,"Unauthorized use ofVehicle",Jowers Access,NA,Texas State University
2015-07-15,NA,2015-07-15,1502546,Reckless Driving,Wood Street,NA,Texas State University
2015-07-14,NA,2015-07-15,1502548,"Failure toComply/StrikingUnattended Vehicle",Physical Plant,NA,Texas State University
2015-07-12,NA,2015-07-12,1502515,"Possession ofMarijuana",Peques Lot,NA,Texas State University
2015-07-12,NA,2015-07-12,1502516,Warrant Service,Other,NA,Texas State University
2015-07-12,NA,2015-07-12,1502518,"Weapon ‐ UnlawfulCarrying",Spring Lake,NA,Texas State University
2015-07-12,NA,2015-07-12,1502514,Public Intoxication,Freeman Aquatic Biology Bldg,NA,Texas State University
2015-07-12,NA,2015-07-12,1502517,"Driving WhileIntoxicated",Pleasant Street,NA,Texas State University
2015-07-11,NA,2015-07-11,1502500,Public Intoxication,Other,NA,Texas State University
2015-07-11,NA,2015-07-11,1502502,Public Intoxication,Academy Street,NA,Texas State University
2015-07-11,NA,2015-07-11,1502509,MIP‐Alcohol,Jowers Access,NA,Texas State University
2015-07-11,NA,2015-07-11,1502499,MIP‐Alcohol,San Jacinto Hall Parking Garage,NA,Texas State University
2015-07-11,NA,2015-07-11,1502509,"Possession ofMarijuana",City Park Street,NA,Texas State University
2015-07-11,NA,2015-07-11,1502503,"Possession ofMarijuana",Wood Street Parking Garage,NA,Texas State University
2015-07-10,NA,2015-07-10,1502486,"Failure toComply/StrikingUnattended Vehicle",Sessom Parking Lot,NA,Texas State University
2015-07-10,NA,2015-07-10,1502487,"Criminal TrespassWarning",Sewell Park,NA,Texas State University
2015-07-10,NA,2015-07-10,1502481,"Driving WhileIntoxicated",River House,NA,Texas State University
2015-07-10,NA,2015-07-10,1502488,Theft‐Under $1500.00,Holland Street,NA,Texas State University
2015-07-10,NA,2015-07-10,1502482,"Driving WhileIntoxicated",Other,NA,Texas State University
2015-07-09,NA,2015-07-09,1502471,Burglary of Vehicle,Coliseum Parking Lot,NA,Texas State University
2015-07-09,NA,2015-07-09,1502467,Public Intoxication,Residence Life Building,NA,Texas State University
2015-07-08,NA,2015-07-08,1502451,Public Intoxication,Subway,NA,Texas State University
2015-07-08,NA,2015-07-08,1502461,"Criminal TrespassWarning",Speck Parking Lot,NA,Texas State University
2015-07-06,NA,2015-07-06,1502437,Robbery,Edward Gary Garage,NA,Texas State University
2015-07-06,NA,2015-07-06,1502433,Burglary of Vehicle,Supple Science Building,NA,Texas State University
2015-07-04,NA,2015-07-04,1502417,"Misrepresentation ofAge",Hopkins Street,NA,Texas State University
2015-07-04,NA,2015-07-04,1502418,MIP‐Alcohol,Sewell Park,NA,Texas State University
2015-07-03,NA,2015-07-03,1502409,"Theft of Service ‐under $500","University Event Center ParkingLot",NA,Texas State University
2015-07-03,NA,2015-07-03,1502408,Theft‐Under $1500.00,Derrick Hall,NA,Texas State University
2015-07-02,NA,2015-07-02,1502400,"Possession ofMarijuana",Mill Street,NA,Texas State University
2015-07-02,NA,2015-07-02,1502393,Theft‐Under $1500.00,Derrick Hall,NA,Texas State University
2015-07-02,NA,2015-07-02,1502398,Fire,Comanche Street,NA,Texas State University
2015-07-02,NA,2015-07-02,1502391,"Possession ofMarijuana",Other,NA,Texas State University
2015-07-01,NA,2015-07-01,1502386,"Computer SecurityBreach",Old Main Street,NA,Texas State University
2015-07-01,NA,2015-07-01,1502385,Theft‐Under $1500.00,Derrick Hall,NA,Texas State University
2015-06-28,NA,2015-06-28,1502348,Public Intoxication,The Tower Parking Garage,NA,Texas State University
2015-06-28,NA,2015-06-28,1502352,"Driving While LicenseInvalid",Bobcat Stadium Parking Lot,NA,Texas State University
2015-06-28,NA,2015-07-13,1502532,Sexual Assault,Bobcat Village Apartments,NA,Texas State University
2015-06-27,NA,2015-06-28,1502353,"Theft of DriversLicense",Sewell Park Outdoor Center,NA,Texas State University
2015-06-27,NA,2015-06-27,1502339,"Failure toComply/StrikingUnattended Vehicle","University Event Center ParkingLot",NA,Texas State University
2015-06-26,NA,2015-06-26,1502337,Warrant Service,Post Road,NA,Texas State University
2015-06-26,NA,2015-06-26,1502338,Burglary ‐ Habitation,The Tower Hall,NA,Texas State University
2015-06-25,NA,2015-06-25,1502326,"Driving WhileIntoxicated",Aquarena Springs Drive,NA,Texas State University
2015-06-25,NA,2015-06-25,1502329,Assault ‐ Contact,Sewell Park,NA,Texas State University
2015-06-25,NA,2015-06-25,1502325,"Driving WhileIntoxicated",Charles Austin Drive,NA,Texas State University
2015-06-25,NA,2015-06-25,1502330,"Graffiti ‐School/HigherEducation","Academic Service BuildingSouth",NA,Texas State University
2015-06-23,NA,2015-06-23,1502308,"Furnishing Alcohol to aMinor",Sewell Park,NA,Texas State University
2015-06-20,NA,2015-06-20,1502281,"Driving WhileIntoxicated",Bobcat Stadium Parking Lot,NA,Texas State University
2015-06-19,NA,2015-06-19,1502278,"Possession ofMarijuana",Bobcat Village Apartments,NA,Texas State University
2015-06-18,NA,2015-06-18,1502265,"Theft‐Under $20,000",Derrick Hall,NA,Texas State University
2015-06-15,NA,2019-07-25,19021504,Information Report,Beretta Hall,NA,Texas State University
2015-06-15,NA,2015-06-15,1502245,"Open Container inMotor Vehicle",RAMSEY STREET,NA,Texas State University
2015-06-13,NA,2015-06-13,1502242,"Driving WhileIntoxicated","University Event Center ParkingLot",NA,Texas State University
2015-06-13,NA,2015-06-26,1502333,Theft‐Under $1500.00,Bobcat Stadium,NA,Texas State University
2015-06-12,NA,2015-06-12,1502238,Theft‐Under $500,Student Recreation Center,NA,Texas State University
2015-06-10,NA,2015-06-10,1502216,"Criminal Mischief ‐Under $50",The Tower Parking Garage,NA,Texas State University
2015-06-10,NA,2015-06-10,1502267,"Graffiti ‐School/HigherEducation",LBJ Student & Visitor Center,NA,Texas State University
2015-06-10,NA,2015-06-10,1502211,"Open Container inMotor Vehicle",Guadalupe Street,NA,Texas State University
2015-06-09,NA,2015-06-09,1502204,POCS Group 2,Other,NA,Texas State University
2015-06-08,NA,2015-06-08,1502151,Theft‐Under $500,LBJ Student & Visitor Center,NA,Texas State University
2015-06-07,NA,2015-06-07,1502180,"Criminal Mischiefunder $1500",Physical Plant,NA,Texas State University
2015-06-06,NA,2015-06-06,1502154,"Criminal TrespassWarning",Aquarena Center,NA,Texas State University
2015-06-06,NA,2015-06-06,1502156,Public Intoxication,Other,NA,Texas State University
2015-06-05,NA,2015-06-05,1502152,"Failure toComply/StrikingUnattended Vehicle",Tennis Center Parking Lot,NA,Texas State University
2015-06-04,NA,2015-06-04,1502142,"Failure toComply/StrikingUnattended Vehicle",Hornsby Parking Lot,NA,Texas State University
2015-06-04,NA,2015-06-04,1502141,"Graffiti ‐School/HigherEducation",Jackson Hall,NA,Texas State University
2015-06-04,NA,2015-06-04,1502137,Warrant Service,Meadows Center,NA,Texas State University
2015-06-04,NA,2015-06-04,1502144,Theft‐Under $50,Mitte Art Building,NA,Texas State University
2015-06-03,NA,2015-06-03,1502121,"Consumption AlcoholMinor",Gaillardia Hall,NA,Texas State University
2015-06-03,NA,2015-06-03,1502122,"Graffiti ‐School/HigherEducation",Derrick Hall,NA,Texas State University
2015-06-03,NA,2015-06-03,1502126,Warrant Service,"University Police Department‐Lobby",NA,Texas State University
2015-06-03,NA,2015-06-03,1502129,"Criminal Mischiefunder $1500",Speck Parking Lot,NA,Texas State University
2015-06-03,NA,2015-06-03,1502124,Theft‐Under $50,Guadalupe Street,NA,Texas State University
2015-06-03,NA,2015-06-03,1502133,"Possession of DrugParaphernalia",Bobcat Village Apartments,NA,Texas State University
2015-06-02,NA,2015-06-02,1502116,Public Intoxication,City Park Street,NA,Texas State University
2015-06-01,NA,2015-06-01,1502104,"Forgery ‐Govt/National GovInstrmoney/secur",Parking Services,NA,Texas State University
2015-06-01,NA,2015-06-01,1502110,Theft‐Under $500,McCoy Hall,NA,Texas State University
2015-05-29,NA,2015-05-29,1502092,Theft‐Under $500,University Events Center,NA,Texas State University
2015-05-27,NA,2015-05-27,1502065,"Failure toComply/StrikingUnattended Vehicle",Wood Street Parking Garage,NA,Texas State University
2015-05-26,NA,2015-05-26,1502051,POCS Group 2,Speck Parking Lot,NA,Texas State University
2015-05-25,NA,2015-05-25,1502042,Public Intoxication,Peques Lot,NA,Texas State University
2015-05-23,NA,2015-05-23,1502029,"Failure toComply/StrikingUnattended Vehicle","University Event Center ParkingLot",NA,Texas State University
2015-05-23,NA,2015-05-23,1502028,Burglary of Vehicle,Clear Springs Parking Lot,NA,Texas State University
2015-05-23,NA,2015-05-23,1502023,Public Intoxication,Bobcat Stadium Parking Lot,NA,Texas State University
2015-05-22,NA,2015-05-22,1502013,"Driving WhileIntoxicated",Hopkins Street,NA,Texas State University
2015-05-22,NA,2015-05-22,1502016,Burglary ‐ Building,Centennial Hall,NA,Texas State University
2015-05-22,NA,2015-05-22,1502013,"Driving WhileIntoxicated",Hopkins Street,NA,Texas State University
2015-05-21,NA,2015-05-21,1502010,Theft‐Under $500,Fam & Con Sci Bldg,NA,Texas State University
2015-05-20,NA,2015-05-20,1501999,Theft‐Under $1500.00,University Events Center,NA,Texas State University
2015-05-20,NA,2015-05-20,1501994,Harassment,University Events Center,NA,Texas State University
2015-05-17,NA,2015-05-17,1501965,Theft‐Under $500,Sewell Park,NA,Texas State University
2015-05-16,NA,2015-05-16,1501958,Theft‐Under $500,Sewell Park,NA,Texas State University
2015-05-16,NA,2015-06-01,1502100,Theft‐Under $500,Bobcat Stadium Parking Lot,NA,Texas State University
2015-05-15,NA,2015-05-15,1501948,Robbery,Bobcat Village Apartments,NA,Texas State University
2015-05-15,NA,2015-05-15,1501945,Theft‐Under $500,Bobcat Village Apartments,NA,Texas State University
2015-05-15,NA,2015-06-01,1502103,"Theft‐Under $20,000",Theatre Center,NA,Texas State University
2015-05-15,NA,2015-05-15,1501946,Public Intoxication,Jowers Center,NA,Texas State University
2015-05-14,NA,2015-05-14,1501926,Public Intoxication,The Tower Hall,NA,Texas State University
2015-05-11,NA,2015-05-11,1501885,"Possession of DrugParaphernalia",Other,NA,Texas State University
2015-05-11,NA,2015-05-11,1501889,"Graffiti ‐School/HigherEducation",West Campus Housing,NA,Texas State University
2015-05-11,NA,2015-05-11,1501895,"Criminal Mischiefunder $1500",Wood Street,NA,Texas State University
2015-05-10,NA,2015-05-10,1501873,"Consumption AlcoholMinor",Bobcat Village Apartments,NA,Texas State University
2015-05-10,NA,2015-05-10,1501879,"Assault ‐ Causes BodilyInjury",San Jacinto Hall,NA,Texas State University
2015-05-09,NA,2015-05-10,1501874,Burglary ‐ Habitation,Blanco Hall,NA,Texas State University
2015-05-09,NA,2015-05-09,1501871,"Criminal TrespassWarning",Alkek Library,NA,Texas State University
2015-05-09,NA,2015-05-09,1501867,"Possession ofMarijuana",San Marcos Hall Parking Garage,NA,Texas State University
2015-05-07,NA,2015-05-07,1501847,"Failure toComply/StrikingUnattended Vehicle",LBJ Parking Garage,NA,Texas State University
2015-05-07,NA,2015-05-08,1501861,Theft‐Under $500,LBJ Student & Visitor Center,NA,Texas State University
2015-05-06,NA,2015-05-06,1501833,"Criminal TrespassWarning",Texas State University,NA,Texas State University
2015-05-05,NA,2015-05-05,1501829,Theft‐Under $500,Sayers Hall,NA,Texas State University
2015-05-05,NA,2015-05-05,1501828,"Possession ofMarijuana",Other,NA,Texas State University
2015-05-04,NA,2015-05-04,1501814,"Criminal Mischief‐under $500","Bobcat Village CommuterParking Lot",NA,Texas State University
2015-05-04,NA,2015-05-04,1501817,"Criminal Mischief ‐SubstantialInconvenience",Bobcat Village Apartments,NA,Texas State University
2015-05-04,NA,2015-05-04,1501814,"Criminal Mischief ‐SubstantialInconvenience",Bobcat Village Apartments,NA,Texas State University
2015-05-04,NA,2015-05-04,1501817,"Criminal Mischief‐under $500","Bobcat Village CommuterParking Lot",NA,Texas State University
2015-05-04,NA,2015-05-04,1501805,Theft‐Under $1500.00,Nueces Bldg,NA,Texas State University
2015-05-03,NA,2015-05-03,1501801,Theft‐Under $500,San Marcos Hall Parking Garage,NA,Texas State University
2015-05-03,NA,2015-05-03,1501791,"Criminal TrespassWarning",Butler Hall,NA,Texas State University
2015-05-02,NA,2015-05-02,1501787,"Criminal Mischief ‐SubstantialInconvenience",Wood Street Parking Garage,NA,Texas State University
2015-05-01,NA,2015-05-01,1501779,Public Intoxication,"University Event Center ParkingLot",NA,Texas State University
2015-05-01,NA,2015-05-01,1501768,Failure to ID,Wood Street Parking Garage,NA,Texas State University
2015-05-01,NA,2015-05-01,1501768,Failure to ID,Wood Street Parking Garage,NA,Texas State University
2015-05-01,NA,2015-05-01,1501767,"Possession of DrugParaphernalia",North Campus Housing Complex,NA,Texas State University
2015-05-01,NA,2015-05-01,1501766,Burglary ‐ Habitation,Smith Hall 3,NA,Texas State University
2015-04-30,NA,2015-04-30,1501751,"Consumption AlcoholMinor",LBJ Student Center Bus Loop,NA,Texas State University
2015-04-30,NA,2015-04-30,1501750,Theft‐Under $1500.00,Alkek Library,NA,Texas State University
2015-04-30,NA,2015-04-30,1501758,Theft‐Under $50,Performing Arts Center,NA,Texas State University
2015-04-29,NA,2015-04-30,1501749,"Burglary: CoinOperated/CollectionMachine",Jowers Center,NA,Texas State University
2015-04-29,NA,2015-04-29,1501742,Theft‐Under $500,Alkek Library,NA,Texas State University
2015-04-29,NA,2015-04-29,1501747,Theft‐Under $500,Student Recreation Center,NA,Texas State University
2015-04-29,NA,2015-04-29,1501742,Theft‐Under $50,Alkek Library,NA,Texas State University
2015-04-29,NA,2015-04-29,1501741,Burglary ‐ Building,End Zone Complex,NA,Texas State University
2015-04-28,NA,2015-04-28,1501732,Burglary of Vehicle,Clear Springs Parking Lot,NA,Texas State University
2015-04-28,NA,2015-04-28,1501724,"Possession of DrugParaphernalia",Sewell Park,NA,Texas State University
2015-04-28,NA,2015-04-28,1501727,"Graffiti ‐ Loss under$500",McCoy Business Building,NA,Texas State University
2015-04-28,NA,2015-04-28,1501731,Assault ‐ Contact,LBJ Student & Visitor Center,NA,Texas State University
2015-04-28,NA,2015-04-28,1501728,"Criminal Mischief‐under $500",Moore House,NA,Texas State University
2015-04-28,NA,2015-04-28,1501727,"Graffiti ‐School/HigherEducation",Wood Street,NA,Texas State University
2015-04-27,NA,2015-04-27,1501724,"Possession of DrugParaphernalia",UEC Reserve Parking Lot,NA,Texas State University
2015-04-27,NA,2015-04-27,1501722,Theft‐Under $1500.00,Student Recreation Center,NA,Texas State University
2015-04-27,NA,2015-04-27,1501719,Theft‐Under $500,Derrick Hall,NA,Texas State University
2015-04-27,NA,2015-04-27,1501722,Theft‐Under $500,Student Recreation Center,NA,Texas State University
2015-04-25,NA,2015-04-25,1501696,Burglary ‐ Habitation,Blanco Hall,NA,Texas State University
2015-04-25,NA,2015-04-25,1501700,"Driving WhileIntoxicated",RR12,NA,Texas State University
2015-04-25,NA,2015-04-27,1501720,Theft‐Under $500,Bexar Hall,NA,Texas State University
2015-04-25,NA,2015-04-25,1501697,Harassment,Falls Hall,NA,Texas State University
2015-04-25,NA,2015-04-27,1501720,Theft‐Under $500,Bexar Hall,NA,Texas State University
2015-04-25,NA,2015-04-25,1501697,Harassment,Falls Hall,NA,Texas State University
2015-04-24,NA,2015-04-24,1501680,Evading Arrest,Texas State University,NA,Texas State University
2015-04-24,NA,2015-04-24,1501687,"Theft of Service ‐under $500",Texas State University,NA,Texas State University
2015-04-23,NA,2015-04-23,1501661,Theft‐Under $50,"Bookstore‐UBS VisitorInformation",NA,Texas State University
2015-04-23,NA,2015-04-23,1501667,Theft‐Under $1500.00,Bobcat Village Apartments,NA,Texas State University
2015-04-23,NA,2015-04-23,1501675,Public Intoxication,Sewell Park,NA,Texas State University
2015-04-23,NA,2015-04-23,1501668,Harassment,Texas State University,NA,Texas State University
2015-04-23,NA,2015-04-23,1501677,"Criminal Trespass:Property, Building, orAircraft",Sewell Park,NA,Texas State University
2015-04-23,NA,2015-04-23,1501672,"Failure toComply/StrikingUnattended Vehicle",Edward Gary Garage,NA,Texas State University
2015-04-23,NA,2015-04-23,1501662,Theft‐Under $50,The Tower Hall,NA,Texas State University
2015-04-23,NA,2015-04-23,1501669,POCS Group 1,Blanco Hall,NA,Texas State University
2015-04-23,NA,2015-04-23,1501678,Assault ‐ Contact,Jackson Hall,NA,Texas State University
2015-04-23,NA,2015-04-23,1501674,MIP‐Alcohol,Coliseum Parking Lot,NA,Texas State University
2015-04-23,NA,2015-04-23,1501663,"Credit Card or DebitCard Abuse",Texas State University,NA,Texas State University
2015-04-22,NA,2015-04-22,1501658,"Theft‐Under $20,000",Coliseum Parking Lot,NA,Texas State University
2015-04-22,NA,2015-04-22,1501653,"Possession of DrugParaphernalia",Sewell Park,NA,Texas State University
2015-04-22,NA,2015-04-22,1501643,Public Intoxication,The Tower Parking Garage,NA,Texas State University
2015-04-22,NA,2015-04-22,1501652,"Theft of DriversLicense",Student Recreation Center,NA,Texas State University
2015-04-21,NA,2015-04-23,1501664,"Failure toComply/StrikingUnattended Vehicle",The Tower Parking Garage,NA,Texas State University
2015-04-21,NA,2015-04-21,1501637,"Theft of Service ‐under $500",LBJ Parking Garage,NA,Texas State University
2015-04-21,NA,2015-04-21,1501621,"Misrepresentation ofAge",Other,NA,Texas State University
2015-04-21,NA,2015-04-21,1501635,"Failure toComply/StrikingUnattended Vehicle",Coliseum Parking Lot,NA,Texas State University
2015-04-19,NA,2015-04-20,1501620,"Criminal Mischief‐under $500",Thornton House,NA,Texas State University
2015-04-19,NA,2015-04-19,1501614,"Theft of DriversLicense",Sewell Park,NA,Texas State University
2015-04-18,NA,2015-04-18,1501602,"Theft ‐ Property>=$100<$750",LBJ Parking Garage,NA,Texas State University
2015-04-17,NA,2015-04-20,1501625,Harassment,Texas State University,NA,Texas State University
2015-04-16,NA,2015-04-16,1501584,"Criminal Mischiefunder $1500",Fam & Con Sci Parking Lot,NA,Texas State University
2015-04-15,NA,2015-04-15,1501551,"Criminal Mischief ‐Under $20,000",Edward Gary Garage,NA,Texas State University
2015-04-15,NA,2015-04-15,1501555,"Possession ofMarijuana",Other,NA,Texas State University
2015-04-15,NA,2015-04-15,1501564,"Failure toComply/StrikingUnattended Vehicle",Lantana Hall Parking Lot,NA,Texas State University
2015-04-14,NA,2015-04-14,1501539,"Possession ofMarijuana",Blanco Hall,NA,Texas State University
2015-04-14,NA,2015-04-14,1501531,"Possession ofMarijuana",Other,NA,Texas State University
2015-04-14,NA,2015-04-14,1501536,Burglary ‐ Building,Hines Academic Center,NA,Texas State University
2015-04-13,NA,2015-04-13,1501522,Theft‐Under $50,Alkek Library,NA,Texas State University
2015-04-13,NA,2015-04-13,1501529,"Possession of DrugParaphernalia",Brogdon Hall,NA,Texas State University
2015-04-12,NA,2015-04-12,1501512,Theft‐Under $500,San Jacinto Hall,NA,Texas State University
2015-04-12,NA,2015-04-12,1501508,Failure to ID,Sewell Park,NA,Texas State University
2015-04-12,NA,2015-04-18,1501600,"Failure toComply/StrikingUnattended Vehicle",The Tower Parking Garage,NA,Texas State University
2015-04-12,NA,2015-04-12,1501516,"Possession of DrugParaphernalia","Admission‐Graduate JCK VisitorInformation",NA,Texas State University
2015-04-12,NA,2015-04-12,1501498,"Possession ofMarijuana",Matthew Street Garage,NA,Texas State University
2015-04-11,NA,2015-04-11,1501489,"Possession ofMarijuana",The Tower Parking Garage,NA,Texas State University
2015-04-11,NA,2015-04-11,1501492,Assault ‐ Contact,Student Recreation Center,NA,Texas State University
2015-04-10,NA,2015-04-11,1501496,"Failure toComply/StrikingUnattended Vehicle",San Jacinto Hall Parking Garage,NA,Texas State University
2015-04-10,NA,2015-04-10,1501483,Theft‐Under $500,Blanco Hall,NA,Texas State University
2015-04-10,NA,2015-04-10,1501473,Theft‐Under $500,San Jacinto Hall,NA,Texas State University
2015-04-10,NA,2015-04-10,1501467,Public Intoxication,Bobcat Village Apartments,NA,Texas State University
2015-04-10,NA,2015-04-24,1501687,Theft‐Under $1500.00,Other,NA,Texas State University
2015-04-08,NA,2015-04-08,1501438,Public Intoxication,Other,NA,Texas State University
2015-04-08,NA,2015-04-08,1501437,"Driving WhileIntoxicated",Moore Street,NA,Texas State University
2015-04-08,NA,2015-04-08,1501441,"Criminal Mischiefunder $1500",Blanco Parking Garage,NA,Texas State University
2015-04-06,NA,2015-04-06,1501419,Terroristic Threat,Thornton House,NA,Texas State University
2015-04-06,NA,2015-04-06,1501415,MIP‐Alcohol,Butler Hall,NA,Texas State University
2015-04-06,NA,2015-04-06,1501422,"Criminal TrespassWarning",Retama Hall,NA,Texas State University
2015-04-06,NA,2015-04-06,1501419,Terroristic Threat,Thornton House,NA,Texas State University
2015-04-05,NA,2015-04-05,1501408,Theft‐Under $1500.00,San Marcos Hall,NA,Texas State University
2015-04-05,NA,2015-04-05,1501412,Theft‐Under $500,Bexar Hall Parking Garage,NA,Texas State University
2015-04-05,NA,2015-04-05,1501401,Public Intoxication,Guadalupe Street,NA,Texas State University
2015-04-04,NA,2015-04-04,1501388,"Criminal TrespassWarning",Blanco Hall,NA,Texas State University
2015-04-03,NA,2015-04-03,1501381,Warrant Service,Clear Springs Apts,NA,Texas State University
2015-04-03,NA,2015-04-03,1501376,Theft‐Under $500,San Marcos Hall,NA,Texas State University
2015-04-03,NA,2015-04-03,1501380,Reckless Driving,Other,NA,Texas State University
2015-04-03,NA,2015-04-03,1501382,Theft‐Under $500,Blanco Hall,NA,Texas State University
2015-04-03,NA,2015-04-03,1501373,Public Intoxication,Other,NA,Texas State University
2015-04-03,NA,2015-04-03,1501378,Theft‐Under $500,Blanco Hall Drive,NA,Texas State University
2015-04-03,NA,2015-04-03,1501380,Reckless Driving,Other,NA,Texas State University
2015-04-02,NA,2015-04-02,1501358,Public Intoxication,Chautauqua,NA,Texas State University
2015-04-02,NA,2015-04-02,1501368,Public Intoxication,Theatre Arts Building,NA,Texas State University
2015-04-01,NA,2015-04-01,1501352,"Possession ofMarijuana",Blanco Hall,NA,Texas State University
2015-04-01,NA,2015-04-01,1501346,Theft‐Under $1500.00,LBJ Student & Visitor Center,NA,Texas State University
2015-03-31,NA,2015-03-31,1501319,"Criminal Mischief ‐SubstantialInconvenience",Matthew Street Garage,NA,Texas State University
2015-03-31,NA,2015-03-31,1501313,"Criminal Mischief ‐SubstantialInconvenience",Blanco Hall,NA,Texas State University
2015-03-31,NA,2015-03-31,1501316,"Criminal TrespassWarning",Bobcat Stadium,NA,Texas State University
2015-03-30,NA,2015-03-30,1501307,"Failure toComply/StrikingUnattended Vehicle",The Tower Parking Garage,NA,Texas State University
2015-03-30,NA,2015-03-30,1501301,"Criminal Trespass:Property, Building, orAircraft",University Events Center,NA,Texas State University
2015-03-30,NA,2015-03-30,1501309,"Criminal Trespass:Property, Building, orAircraft",San Marcos Hall Parking Garage,NA,Texas State University
2015-03-30,NA,2015-03-29,1501302,Harassment,Falls Hall,NA,Texas State University
2015-03-30,NA,2015-04-01,1501339,Theft‐Under $50,Education Building,NA,Texas State University
2015-03-30,NA,2015-03-30,1501302,Harassment,"University Police Department‐Lobby",NA,Texas State University
2015-03-30,NA,2015-03-30,1501321,Burglary of Vehicle,Jowers Access,NA,Texas State University
2015-03-29,NA,2015-03-29,1501290,"Criminal TrespassWarning",Other,NA,Texas State University
2015-03-29,NA,2015-03-29,1501298,Theft‐Under $500,Burleson Hall,NA,Texas State University
2015-03-29,NA,2015-03-29,1501291,Theft‐Under $1500.00,Other,NA,Texas State University
2015-03-29,NA,2015-03-29,1501287,"Possession ofMarijuana",Mill Street,NA,Texas State University
2015-03-28,NA,2015-03-28,1501282,"Driving WhileIntoxicated",Wood Street,NA,Texas State University
2015-03-27,NA,2015-03-27,1501253,Assault ‐ Contact,Evans Liberal Arts Building,NA,Texas State University
2015-03-27,NA,2015-04-10,1501480,Theft‐Under $500,Sewell Park,NA,Texas State University
2015-03-27,NA,2015-03-27,1501257,Harassment,"J.C. Kellam AdministrationBuilding",NA,Texas State University
2015-03-26,NA,2015-04-01,1501338,"Credit Card or DebitCard Abuse",Texas State University,NA,Texas State University
2015-03-26,NA,2015-03-26,1501236,"Possession ofMarijuana",Nueces Parking Lot,NA,Texas State University
2015-03-26,NA,2015-03-26,1501236,"Possession ofMarijuana",Nueces Parking Lot,NA,Texas State University
2015-03-25,NA,2015-03-25,1501206,Indecent Exposure,Sewell Park,NA,Texas State University
2015-03-25,NA,2015-03-25,1501207,Burglary of Vehicle,Blanco Parking Garage,NA,Texas State University
2015-03-25,NA,2015-03-25,1501200,Public Intoxication,Texas River Center,NA,Texas State University
2015-03-25,NA,2015-03-26,1501226,"Failure toComply/StrikingUnattended Vehicle",Wood Street Parking Garage,NA,Texas State University
2015-03-25,NA,2015-03-25,1501214,Theft‐Under $50,West Campus Housing,NA,Texas State University
2015-03-25,NA,2015-03-25,1501208,"Possession of DrugParaphernalia",Theatre Arts Building,NA,Texas State University
2015-03-24,NA,2015-03-24,1501194,"Obstruct HighwayPassageway",Jackson Hall,NA,Texas State University
2015-03-24,NA,2015-03-24,1501180,Indecent Exposure,Sewell Park,NA,Texas State University
2015-03-24,NA,2015-03-24,1501192,Theft‐Under $500,San Jacinto Hall,NA,Texas State University
2015-03-23,NA,2015-03-23,1501176,"Driving While LicenseInvalid",Sessom Drive (West),NA,Texas State University
2015-03-23,NA,2015-03-23,1501168,Public Intoxication,Moore Street,NA,Texas State University
2015-03-23,NA,2015-03-24,1501182,"Criminal Mischief ‐SubstantialInconvenience",Blanco Hall,NA,Texas State University
2015-03-23,NA,2015-03-23,1501179,Indecent Exposure,Bobcat Village Apartments,NA,Texas State University
2015-03-23,NA,2015-03-23,1501178,Warrant Service,Aquarena Springs Drive,NA,Texas State University
2015-03-22,NA,2015-03-22,1501160,"Possession of DrugParaphernalia",College Inn Parking Lot,NA,Texas State University
2015-03-22,NA,2015-03-22,1501164,"Criminal Mischief ‐SubstantialInconvenience",San Jacinto Hall Parking Garage,NA,Texas State University
2015-03-20,NA,2015-03-20,1501136,"Failure to Comply ‐Striking RoadwayFixtures",Comanche Street,NA,Texas State University
2015-03-18,NA,2015-03-18,1501103,"Possession of DrugParaphernalia",Academy Street,NA,Texas State University
2015-03-18,NA,2015-03-18,1501113,"Possession ofMarijuana",Sessom Drive (East),NA,Texas State University
2015-03-17,NA,2015-03-17,1501100,Terroristic Threat,Texas State University,NA,Texas State University
2015-03-17,NA,2015-03-17,1501101,"Possession of DrugParaphernalia",San Marcos Hall,NA,Texas State University
2015-03-16,NA,2015-03-16,1501090,MIP‐Alcohol,"Bobcat Village CommuterParking Lot",NA,Texas State University
2015-03-14,NA,2015-03-14,1501071,"Possession ofMarijuana",Other,NA,Texas State University
2015-03-14,NA,2015-03-14,1501066,MIP‐Alcohol,Other,NA,Texas State University
2015-03-14,NA,2015-03-14,1501070,"Failure toComply/StrikingUnattended Vehicle","University Event Center ParkingLot",NA,Texas State University
2015-03-13,NA,2015-03-13,1501065,"Possession ofMarijuana",Pat Garrison Street,NA,Texas State University
2015-03-13,NA,2015-03-24,1501187,Theft‐Under $50,Centennial Hall,NA,Texas State University
