case_number,date_occurred,date_reported,incident,location,university,time_occurred,time_reported
U17‐11193,2017-07-10,2017-07-11,THEFT: LOSS <$,00; INTENT TO PERMA 1734 ENGEL,University of Kansas,NA,NA
U17‐11256,2017-07-12,2017-07-12,INTERFERENCE W/DUTIES OF A POLICE,JAYHAWK,University of Kansas,NA,NA
U17‐11354,2017-07-14,2017-07-14,DUI (ARREST),1400 CRESCENT,University of Kansas,NA,NA
U17‐11709,2017-07-19,2017-07-19,KU MISCELLANEOUS (INFO),2385 IRVING HILL,University of Kansas,NA,NA
U17‐11891,2017-07-22,2017-07-22,FALSE ALARM ‐ GIVING A,1603 15TH,University of Kansas,NA,NA
U17‐12386,2017-07-30,2017-07-30,KU MEDICAL EMERGENCY,1536 15TH,University of Kansas,NA,NA
U17‐11814,2017-07-21,2017-07-21,KU MEDICAL EMERGENCY,1600 STEWART,University of Kansas,NA,NA
U17‐09106,2017-06-08,2017-06-08,KU ACCIDENT (NON‐VEHICULAR),1300 JAYHAWK,University of Kansas,NA,NA
U17‐12352,2017-07-29,2017-07-29,KU MISCELLANEOUS (INFO),1501 CRESTLINE,University of Kansas,NA,NA
U17‐12482,2017-07-28,2017-07-31,CRIMINAL DAMAGE TO PROP W/O CON ,51 WESCOE HALL,University of Kansas,NA,NA
U17‐12643,2017-08-02,2017-08-02,KU MEDICAL EMERGENCY,1301 JAYHAWK,University of Kansas,NA,NA
U17‐13123,2017-08-10,2017-08-10,KU MEDICAL EMERGENCY,1450 JAYHAWK,University of Kansas,NA,NA
U17‐12071,2017-07-25,2017-07-25,KU OTHER AGENCY ASSIST,1501 CRESTLINE,University of Kansas,NA,NA
U17‐12143,2017-07-26,2017-07-26,KU MEDICAL EMERGENCY,6100 ROCK CHALK,University of Kansas,NA,NA
U17‐12292,2017-07-28,2017-07-28,THEFT: MISDEMEANOR,6100 ROCK CHALK,University of Kansas,NA,NA
U17‐12140,2017-07-26,2017-07-26,KU MEDICAL EMERGENCY,6100 ROCK CHALK,University of Kansas,NA,NA
U17‐12351,2017-07-29,2017-07-29,POSSESSION OF MARIJUANA AND THC ,03 15TH,University of Kansas,NA,NA
U17‐12537,2017-08-01,2017-08-01,KU MISCELLANEOUS (INFO),1503 SUNFLOWER,University of Kansas,NA,NA
U17‐12086,2017-07-25,2017-07-25,KU MEDICAL EMERGENCY,6100 ROCK CHALK,University of Kansas,NA,NA
U17‐12265,2017-07-28,2017-07-28,KU MISCELLANEOUS (INFO),2060 1600,University of Kansas,NA,NA
U17‐12390,2017-07-30,2017-07-30,KU MENTAL,1530 NAISMITH,University of Kansas,NA,NA
U17‐12668,2017-08-02,2017-08-02,Failure to appear.,1450 JAYHAWK,University of Kansas,NA,NA
U17‐13111,2017-08-07,2017-08-09,CRIMINAL DAMAGE TO PROP W/O CON,1505 WESTBROOKE,University of Kansas,NA,NA
U17‐13111,2017-08-07,2017-08-09,CRIMINAL DAMAGE TO PROPERTY; WIT,1505 WESTBROOKE,University of Kansas,NA,NA
U17‐12384,2017-07-30,2017-07-30,TRANSPORTING OPEN CONTAINER (ARR,JAYHAWK,University of Kansas,NA,NA
U17‐12571,2017-07-27,2017-08-01,KU VEHICLE INVESTIGATION (NON‐ACCI,1502 IOWA,University of Kansas,NA,NA
U17‐12650,2017-08-02,2017-08-02,EXPIRED REGISTRATION / NO TAG,1320 JAYHAWK,University of Kansas,NA,NA
U17‐12837,2017-08-06,2017-08-06,DUI (ARREST),SUNFLOWER,University of Kansas,NA,NA
U17‐13026,2017-08-08,2017-08-08,KU MISCELLANEOUS (INFO),1501 CRESTLINE,University of Kansas,NA,NA
U17‐13043,2017-08-08,2017-08-08,KU MEDICAL EMERGENCY,1740 WATKINS CENTER,University of Kansas,NA,NA
U17‐13083,2017-08-09,2017-08-09,KU MISCELLANEOUS (INFO),1200 SCHWEGLER,University of Kansas,NA,NA
U17‐07072,2017-05-07,2017-05-07,KU MENTAL,1815 NAISMITH,University of Kansas,NA,NA
U17‐07107,2017-05-07,2017-05-07,POSSESSION OF MARIJUANA AND THC ,32 ENGEL,University of Kansas,NA,NA
U17‐07287,2017-04-14,2017-05-10,THEFT: MISDEMEANOR,420 11TH,University of Kansas,NA,NA
U17‐06929,2017-05-05,2017-05-05,KU MISCELLANEOUS (INFO),1620 ENGEL,University of Kansas,NA,NA
U17‐06936,2017-05-05,2017-05-05,POSSESSION OF DRUG PARAPHERNALIA ,20 JAYHAWK,University of Kansas,NA,NA
U17‐07371,2017-05-11,2017-05-11,KU ATTEMPTED SUICIDE,1200 SCHWEGLER,University of Kansas,NA,NA
U17‐07477,2017-05-13,2017-05-13,KU MISCELLANEOUS (INFO),1647 NAISMITH,University of Kansas,NA,NA
U17‐07589,2017-05-14,2017-05-15,THEFT: MISDEMEANOR,1741 NAISMITH,University of Kansas,NA,NA
U17‐08635,2017-05-30,2017-05-31,DAMAGE BY GRAFFITI,1101 MISSISSIPPI,University of Kansas,NA,NA
U17‐06912,2017-05-05,2017-05-05,KU MEDICAL EMERGENCY,1515 ENGEL,University of Kansas,NA,NA
U17‐07147,2017-05-07,2017-05-08,THEFT: MISDEMEANOR,1515 ENGEL,University of Kansas,NA,NA
U17‐07249,2017-05-09,2017-05-09,KU LOST/FOUND PROPERTY,3900 6TH,University of Kansas,NA,NA
U17‐07261,2017-05-10,2017-05-10,CRIMINAL TRESPASS,1101 MISSISSIPPI,University of Kansas,NA,NA
U17‐07425,2017-05-04,2017-05-12,THEFT: MISDEMEANOR,1620 ENGEL,University of Kansas,NA,NA
U17‐07431,2017-03-12,2017-05-12,THEFT: MISDEMEANOR,1501 CRESTLINE,University of Kansas,NA,NA
U17‐06963,2017-05-03,2017-05-05,THEFT: MISDEMEANOR,1632 ENGEL,University of Kansas,NA,NA
U17‐07151,2017-05-08,2017-05-08,CRIMINAL TRESPASS,1405 JAYHAWK,University of Kansas,NA,NA
U17‐07241,2017-05-09,2017-05-09,POSSESSION OF MARIJUANA AND THC ,20 ENGEL,University of Kansas,NA,NA
U17‐07240,2017-04-14,2017-05-09,CRIMINAL DAMAGE TO PROPERTY: MIS,1603 15TH,University of Kansas,NA,NA
U17‐07386,2017-05-11,2017-05-11,CRIMINAL DAMAGE TO PROPERTY: MIS,1603 15TH,University of Kansas,NA,NA
U17‐07460,2017-05-12,2017-05-13,KU MISCELLANEOUS (INFO),1650 NAISMITH,University of Kansas,NA,NA
U17‐07006,2017-05-06,2017-05-06,KU MEDICAL EMERGENCY,500 WEST 11TH,University of Kansas,NA,NA
U17‐07024,2017-04-26,2017-04-26,CRIMINAL USE OF A FINANCIAL CARD; W ,00 IOWA,University of Kansas,NA,NA
U17‐07024,2017-04-26,2017-04-26,CRIMINAL USE OF A FINANCIAL CARD; W ,00 IOWA,University of Kansas,NA,NA
U17‐07278,2017-05-10,2017-05-10,KU MEDICAL EMERGENCY,1536 15TH,University of Kansas,NA,NA
U17‐07290,2017-05-10,2017-05-10,KU MEDICAL EMERGENCY,1654 NAISMITH,University of Kansas,NA,NA
U17‐07503,2017-05-13,2017-05-13,KU MISCELLANEOUS (INFO),1741 NAISMITH,University of Kansas,NA,NA
U17‐06325,2017-04-23,2017-04-23,KU MISCELLANEOUS (INFO),1815 NAISMITH,University of Kansas,NA,NA
U17‐06049,2017-04-19,2017-04-19,BURGLARY; UNKNOWN CIRCUMSTANCE,19TH,University of Kansas,NA,NA
U17‐06049,2017-04-19,2017-04-19,ATTEMPTED BURGLARY; UNKNOWN CIR,19TH,University of Kansas,NA,NA
U17‐06049,2017-04-19,2017-04-19,CONSPIRACY BURGLARY; UNKNOWN CI,19TH,University of Kansas,NA,NA
U17‐06049,2017-04-19,2017-04-19,SOLICITATION BURGLARY; UNKNOWN C,19TH,University of Kansas,NA,NA
U17‐06116,2017-04-17,2017-04-20,KU MISCELLANEOUS (INFO),1415 JAYHAWK,University of Kansas,NA,NA
U17‐06190,2017-04-21,2017-04-21,KU MISCELLANEOUS (INFO),1261 OREAD,University of Kansas,NA,NA
U17‐06220,2017-04-22,2017-04-22,CRIMINAL DAMAGE TO PROPERTY: MIS ,03 15TH,University of Kansas,NA,NA
U17‐06262,2017-04-22,2017-04-22,KU MEDICAL EMERGENCY,1426 ALUMNI,University of Kansas,NA,NA
U17‐06279,2017-04-23,2017-04-23,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U17‐06047,2017-04-19,2017-04-19,DISTRIBUTE CERTAIN DEPRESSANT: 3.5 ,32 ENGEL,University of Kansas,NA,NA
U17‐06332,2017-04-24,2017-04-24,KU MEDICAL EMERGENCY,1603 15TH,University of Kansas,NA,NA
U17‐07497,2017-05-09,2017-05-13,BURGLARY; VEHICLE TO COMMIT FELON ,46 FAMBROUGH,University of Kansas,NA,NA
U17‐06465,2017-04-23,2017-04-26,BURGLARY; VEHICLE TO COMMIT FELON ,00 ENGEL,University of Kansas,NA,NA
U17‐06331,2017-04-24,2017-04-24,KU MEDICAL EMERGENCY,420 11TH,University of Kansas,NA,NA
U17‐06457,2017-04-26,2017-04-26,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U17‐06520,2017-04-27,2017-04-28,KU MISCELLANEOUS (INFO),1530 NAISMITH,University of Kansas,NA,NA
U17‐06557,2017-04-28,2017-04-28,KU MENTAL,1426 ALUMNI,University of Kansas,NA,NA
U17‐06556,2017-04-28,2017-04-28,KU OTHER AGENCY ASSIST,1600 STEWART,University of Kansas,NA,NA
U17‐06598,2017-04-29,2017-04-29,KU MENTAL,1620 ENGEL,University of Kansas,NA,NA
U17‐06311,2017-04-22,2017-04-23,DUTY OF DRIVER TO REPORT ACCIDENT ,34      ENGEL,University of Kansas,NA,NA
U17‐07387,2017-04-26,2017-05-11,CRIMINAL USE OF A FINANCIAL CARD; W ,1     MASSACHUSETTS,University of Kansas,NA,NA
U17‐07387,2017-04-26,2017-05-11,CRIMINAL USE OF A FINANCIAL CARD; W ,1     MASSACHUSETTS,University of Kansas,NA,NA
U17‐07609,2017-05-15,2017-05-15,BURGLARY; UNKNOWN CIRCUMSTANCE ,00         NAISMITH,University of Kansas,NA,NA
U17‐07609,2017-05-15,2017-05-15,ATTEMPTED BURGLARY; UNKNOWN CIR ,00 NAISMITH,University of Kansas,NA,NA
U17‐07609,2017-05-15,2017-05-15,CONSPIRACY BURGLARY; UNKNOWN CI ,00 NAISMITH,University of Kansas,NA,NA
U17‐07609,2017-05-15,2017-05-15,SOLICITATION BURGLARY; UNKNOWN C ,00 NAISMITH,University of Kansas,NA,NA
U17‐06588,2017-04-29,2017-04-29,KU MISCELLANEOUS (INFO),1301 JAYHAWK,University of Kansas,NA,NA
U17‐06860,2017-04-07,2017-05-04,THEFT: LOSS <$,00; INTENT TO PERMA 1503 SUNFLOWER,University of Kansas,NA,NA
U17‐06363,2017-04-24,2017-04-24,BURGLARY; UNKNOWN CIRCUMSTANCE ,61 OREAD,University of Kansas,NA,NA
U17‐06363,2017-04-24,2017-04-24,ATTEMPTED BURGLARY; UNKNOWN CIR ,61 OREAD,University of Kansas,NA,NA
U17‐06363,2017-04-24,2017-04-24,CONSPIRACY BURGLARY; UNKNOWN CI,1261 OREAD,University of Kansas,NA,NA
U17‐06363,2017-04-24,2017-04-24,SOLICITATION BURGLARY; UNKNOWN C ,61 OREAD,University of Kansas,NA,NA
U17‐07531,2017-05-14,2017-05-14,KU VEHICLE TOWS,1246 WEST CAMPUS,University of Kansas,NA,NA
U17‐06614,2017-04-30,2017-04-30,DUI (ARREST),15TH,University of Kansas,NA,NA
U17‐06676,2017-05-01,2017-05-01,CRIMINAL USE OF A FINANCIAL CARD; W,1603 15TH,University of Kansas,NA,NA
U17‐06676,2017-05-01,2017-05-01,CRIMINAL USE OF A FINANCIAL CARD; W,1603 15TH,University of Kansas,NA,NA
U17‐06685,2017-04-28,2017-05-01,THEFT: MISDEMEANOR,1506 ENGEL,University of Kansas,NA,NA
U17‐06695,2017-04-29,2017-05-01,CRIMINAL DAMAGE TO PROPERTY: MIS ,03 15TH,University of Kansas,NA,NA
U17‐06705,2017-04-30,2017-05-01,KU ACCIDENT (NON‐VEHICULAR),1540 SUNFLOWER,University of Kansas,NA,NA
U17‐07355,2017-05-10,2017-05-11,KU MISCELLANEOUS (INFO),1460 JAYHAWK,University of Kansas,NA,NA
U17‐06494,2017-04-27,2017-04-27,KU MISCELLANEOUS (INFO),1501 CRESTLINE,University of Kansas,NA,NA
U17‐06509,2017-04-27,2017-04-27,CRIMINAL DAMAGE TO PROPERTY: MIS,1301 OHIO,University of Kansas,NA,NA
U17‐06613,2017-04-30,2017-04-30,INTERFERENCE W/DUTIES OF A POLICE,JAYHAWK,University of Kansas,NA,NA
U17‐06637,2017-04-29,2017-04-30,THEFT: MISDEMEANOR,500 WEST 11TH,University of Kansas,NA,NA
U17‐06689,2017-04-28,2017-05-01,CRIMINAL DAMAGE TO PROPERTY: MIS ,15 ENGEL,University of Kansas,NA,NA
U17‐06736,2017-04-15,2017-05-02,THEFT: MISDEMEANOR,1555 IRVING HILL,University of Kansas,NA,NA
U17‐06729,2017-05-02,2017-05-02,COMPUTER UNLAWFUL ACTS; UNAUTH ,45 JAYHAWK,University of Kansas,NA,NA
U17‐06784,2017-05-03,2017-05-03,KU WELFARE CHECK,1632 ENGEL,University of Kansas,NA,NA
U17‐06792,2017-05-03,2017-05-03,BURGLARY; UNKNOWN CIRCUMSTANCE ,46 LOUISIANA,University of Kansas,NA,NA
U17‐06792,2017-05-03,2017-05-03,ATTEMPTED BURGLARY; UNKNOWN CIR ,46 LOUISIANA,University of Kansas,NA,NA
U17‐06792,2017-05-03,2017-05-03,CONSPIRACY BURGLARY; UNKNOWN CI ,46 LOUISIANA,University of Kansas,NA,NA
U17‐06792,2017-05-03,2017-05-03,SOLICITATION BURGLARY; UNKNOWN C ,46 LOUISIANA,University of Kansas,NA,NA
U17‐06913,2017-05-05,2017-05-05,KU MISCELLANEOUS (INFO),1425 JAYHAWK,University of Kansas,NA,NA
U17‐06916,2017-05-05,2017-05-05,KU MEDICAL EMERGENCY,1620 ENGEL,University of Kansas,NA,NA
U17‐06734,2017-04-28,2017-05-02,THEFT: MISDEMEANOR,1530 ENGEL,University of Kansas,NA,NA
U17‐06720,2017-05-02,2017-05-02,THEFT: MISDEMEANOR,1001 SUNNYSIDE,University of Kansas,NA,NA
U17‐06799,2017-05-01,2017-05-03,CRIMINAL DAMAGE TO PROPERTY: MIS,1800 NAISMITH,University of Kansas,NA,NA
U17‐06794,2017-05-03,2017-05-03,KU MEDICAL EMERGENCY,1530 ENGEL,University of Kansas,NA,NA
U17‐06808,2017-05-03,2017-05-03,Viola on of protec on order; Unknown ,00 JAYHAWK,University of Kansas,NA,NA
U17‐06825,2017-05-03,2017-05-03,KU MISCELLANEOUS (INFO),1530 ENGEL,University of Kansas,NA,NA
U17‐06876,2017-05-01,2017-05-04,KU MISCELLANEOUS (INFO),1632 ENGEL,University of Kansas,NA,NA
U17‐06922,2017-05-05,2017-05-05,POSSESSION OF FAKE DL,NAISMITH,University of Kansas,NA,NA
U17‐06923,2017-05-05,2017-05-05,KU MEDICAL EMERGENCY,1460 JAYHAWK,University of Kansas,NA,NA
U17‐06905,2017-05-04,2017-05-04,CRIMINAL TRESPASS,1410 JAYHAWK,University of Kansas,NA,NA
U17‐06938,2017-05-05,2017-05-05,KU MEDICAL EMERGENCY,500 11TH,University of Kansas,NA,NA
U17‐06914,2017-05-05,2017-05-05,KU MEDICAL EMERGENCY,1530 ENGEL,University of Kansas,NA,NA
U17‐06909,2017-05-04,2017-05-05,CRIMINAL DAMAGE TO PROPERTY: MIS ,43 ALUMNI,University of Kansas,NA,NA
U17‐06951,2017-05-05,2017-05-05,KU WELFARE CHECK,1891 CONSTANT,University of Kansas,NA,NA
U17‐05019,2017-04-04,2017-04-04,KU MENTAL,1425 JAYHAWK,University of Kansas,NA,NA
U17‐05040,2017-04-04,2017-04-04,KU FIRES,1603 15TH,University of Kansas,NA,NA
U17‐05096,2017-04-05,2017-04-05,KU MEDICAL EMERGENCY,1545 ALLEN FIELDHOUSE SE,University of Kansas,NA,NA
U17‐05099,2017-04-05,2017-04-05,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U17‐05162,2017-04-06,2017-04-06,KU MEDICAL EMERGENCY,1301 JAYHAWK,University of Kansas,NA,NA
U17‐05207,2017-03-27,2017-04-07,KU MISCELLANEOUS (INFO),1501 CRESTLINE,University of Kansas,NA,NA
U17‐05198,2017-04-07,2017-04-07,KU MEDICAL EMERGENCY,1465 JAYHAWK,University of Kansas,NA,NA
U17‐05440,2017-04-11,2017-04-11,CRIMINAL DAMAGE TO PROPERTY; VAL,500 11TH,University of Kansas,NA,NA
U17‐05440,2017-04-11,2017-04-11,CRIMINAL DAMAGE TO PROPERTY; MIS,500 11TH,University of Kansas,NA,NA
U17‐05440,2017-04-11,2017-04-11,ATTEMPTED CRIMINAL DAMAGE TO PR,500 11TH,University of Kansas,NA,NA
U17‐05440,2017-04-11,2017-04-11,CONSPIRACY CRIMINAL DAMAGE TO PR,500 11TH,University of Kansas,NA,NA
U17‐05440,2017-04-11,2017-04-11,SOLICITATION CRIMINAL DAMAGE TO P,500 11TH,University of Kansas,NA,NA
U17‐05105,2017-04-05,2017-04-05,KU MISCELLANEOUS (INFO),2350 PETEFISH,University of Kansas,NA,NA
U17‐05138,2017-04-06,2017-04-06,KU MEDICAL EMERGENCY,1815 NAISMITH,University of Kansas,NA,NA
U17‐05150,2017-04-05,2017-04-06,BURGLARY; UNKNOWN CIRCUMSTANCE,1800 NAISMITH,University of Kansas,NA,NA
U17‐05150,2017-04-05,2017-04-06,ATTEMPTED BURGLARY; UNKNOWN CIR,1800 NAISMITH,University of Kansas,NA,NA
U17‐05150,2017-04-05,2017-04-06,CONSPIRACY BURGLARY; UNKNOWN CI,1800 NAISMITH,University of Kansas,NA,NA
U17‐05150,2017-04-05,2017-04-06,SOLICITATION BURGLARY; UNKNOWN C,1800 NAISMITH,University of Kansas,NA,NA
U17‐05155,2017-03-31,2017-04-06,THEFT: MISDEMEANOR,1301 JAYHAWK,University of Kansas,NA,NA
U17‐05190,2017-04-07,2017-04-07,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U17‐05216,2017-04-07,2017-04-07,KU MISCELLANEOUS (INFO),1135 FAMBROUGH,University of Kansas,NA,NA
U17‐05241,2017-04-08,2017-04-08,CRIMINAL TRESPASS,1410 JAYHAWK,University of Kansas,NA,NA
U17‐05296,2017-04-08,2017-04-08,POSSESSION OF MARIJUANA AND THC,SUNFLOWER,University of Kansas,NA,NA
U17‐05320,2017-04-09,2017-04-09,KU MENTAL,1620 ENGEL,University of Kansas,NA,NA
U17‐05622,2017-04-13,2017-04-13,KU WELFARE CHECK,1632 ENGEL,University of Kansas,NA,NA
U17‐05624,2017-04-12,2017-04-13,KU MISCELLANEOUS (INFO),1455 JAYHAWK,University of Kansas,NA,NA
U17‐05671,2017-04-14,2017-04-14,CRIMINAL TRESPASS,1410 JAYHAWK,University of Kansas,NA,NA
U17‐05304,2017-04-08,2017-04-08,KU MISCELLANEOUS (INFO),1632 ENGEL,University of Kansas,NA,NA
U17‐05319,2017-04-09,2017-04-09,CRIMINAL TRESPASS,1101 MISSISSIPPI,University of Kansas,NA,NA
U17‐05420,2017-03-28,2017-04-10,"STALKING; MISD, FELONY OR UNKNOW ",0 11TH,University of Kansas,NA,NA
U17‐05481,2017-04-11,2017-04-11,KU FIRES,6100 ROCK CHALK,University of Kansas,NA,NA
U17‐05530,2017-04-12,2017-04-12,KU FIRES,1318 LOUISIANA,University of Kansas,NA,NA
U17‐05571,2017-04-12,2017-04-12,POSSESSION OF MARIJUANA AND THC ,50 CONSTANT,University of Kansas,NA,NA
U17‐05313,2017-04-08,2017-04-08,POSSESSION OF HALLUCINOGENIC DRU ,20 ENGEL,University of Kansas,NA,NA
U17‐05625,2017-04-13,NA,BY DECEPTION; VALUE UNKNOW ,01 JAYHAWK,University of Kansas,NA,NA
U17‐05625,2017-04-13,NA,BY DECEPTION; MISDEMEANOR ,01 JAYHAWK,University of Kansas,NA,NA
U17‐05650,2017-04-13,2017-04-13,CRIMINAL DAMAGE TO PROPERTY: MIS,1301 HOCH AUDITORIA,University of Kansas,NA,NA
U17‐05676,2017-04-14,2017-04-14,KU INVESTIGATIVE,1425 ALUMNI,University of Kansas,NA,NA
U17‐05693,2017-04-14,2017-04-14,KU MEDICAL EMERGENCY,1301 JAYHAWK,University of Kansas,NA,NA
U17‐05705,2017-04-14,2017-04-14,KU MEDICAL EMERGENCY,1301 MISSISSIPPI,University of Kansas,NA,NA
U17‐05340,2017-04-09,2017-04-09,UNLAWFUL USE OF DL,SUNFLOWER,University of Kansas,NA,NA
U17‐05558,2017-04-12,2017-04-12,POSSESSION OF MARIJUANA AND THC ,0 11TH,University of Kansas,NA,NA
U17‐05700,2017-03-17,2017-04-14,THEFT: MISDEMEANOR,1251 WESCOE HALL,University of Kansas,NA,NA
U17‐05727,2017-04-14,2017-04-14,KU MEDICAL EMERGENCY,1815 NAISMITH,University of Kansas,NA,NA
U17‐05678,2017-04-14,2017-04-14,KU MISCELLANEOUS (INFO),500 11TH,University of Kansas,NA,NA
U17‐05768,2017-04-15,2017-04-15,KU MEDICAL EMERGENCY,1734 ENGEL,University of Kansas,NA,NA
U17‐05825,2017-04-16,2017-04-16,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U17‐05682,2017-04-12,2017-04-14,CRIMINAL DAMAGE TO PROPERTY: MIS ,00 OHIO,University of Kansas,NA,NA
U17‐05833,2017-04-16,2017-04-16,KU MISCELLANEOUS (INFO),1620 ENGEL,University of Kansas,NA,NA
U17‐05877,2017-04-16,2017-04-17,CRIMINAL DAMAGE TO PROPERTY: MIS ,10 JAYHAWK,University of Kansas,NA,NA
U17‐05929,2017-04-17,2017-04-17,RECKLESS DRIVING (ARREST),1301 SUNNYSIDE,University of Kansas,NA,NA
U17‐05916,2017-04-17,2017-04-17,Failure to appear.,1647 NAISMITH,University of Kansas,NA,NA
U17‐05760,2017-04-15,2017-04-15,CRIMINAL TRESPASS,1410 JAYHAWK,University of Kansas,NA,NA
U17‐05762,2017-04-15,2017-04-15,KU MEDICAL EMERGENCY,13TH,University of Kansas,NA,NA
U17‐05798,2017-04-15,2017-04-15,THEFT; POSSESSION OF STOLEN PROPER ,01 25TH,University of Kansas,NA,NA
U17‐05894,2017-04-17,2017-04-17,KU MISCELLANEOUS (INFO),420 11TH,University of Kansas,NA,NA
U17‐05908,2017-04-17,2017-04-17,BURGLARY; UNKNOWN CIRCUMSTANCE ,0 11TH,University of Kansas,NA,NA
U17‐05908,2017-04-17,2017-04-17,ATTEMPTED BURGLARY; UNKNOWN CIR ,0 11TH,University of Kansas,NA,NA
U17‐05908,2017-04-17,2017-04-17,CONSPIRACY BURGLARY; UNKNOWN CI,500 11TH,University of Kansas,NA,NA
U17‐05908,2017-04-17,2017-04-17,SOLICITATION BURGLARY; UNKNOWN C ,0 11TH,University of Kansas,NA,NA
U17‐05913,2017-04-17,2017-04-17,THEFT: MISDEMEANOR,1740 WATKINS CENTER,University of Kansas,NA,NA
U17‐05993,2017-04-18,2017-04-18,THEFT: MISDEMEANOR,1734 ENGEL,University of Kansas,NA,NA
U17‐06122,2017-04-20,2017-04-20,KU INVESTIGATIVE,1501 CRESTLINE,University of Kansas,NA,NA
U17‐06139,2017-04-20,2017-04-20,KU MISCELLANEOUS (INFO),1425 ALUMNI,University of Kansas,NA,NA
U17‐06153,2017-04-21,2017-04-21,CRIMINAL DAMAGE TO PROPERTY: MIS,1603 15TH,University of Kansas,NA,NA
U17‐06213,2017-04-22,2017-04-22,KU MENTAL,1530 ENGEL,University of Kansas,NA,NA
U17‐03645,2017-03-09,2017-03-10,KU LOST/FOUND PROPERTY,1536 15TH,University of Kansas,NA,NA
U17‐03704,2017-03-11,2017-03-11,KU MEDICAL EMERGENCY,1021 MISSOURI,University of Kansas,NA,NA
U17‐03744,2017-03-11,2017-03-12,KU MISCELLANEOUS (INFO),1301 JAYHAWK,University of Kansas,NA,NA
U17‐03777,2017-03-12,2017-03-12,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U17‐03768,2017-03-12,2017-03-12,POSSESSION OF MARIJUANA,500 11TH,University of Kansas,NA,NA
U17‐03585,2017-01-20,2017-03-09,KU MISCELLANEOUS (INFO),1445 JAYHAWK,University of Kansas,NA,NA
U17‐03707,2017-03-11,2017-03-11,POSSESSION OF MARIJUANA AND THC ,32 ENGEL,University of Kansas,NA,NA
U17‐03840,2017-03-09,2017-03-13,THEFT: MISDEMEANOR,1632 ENGEL,University of Kansas,NA,NA
U17‐03842,2017-03-13,2017-03-13,POSSESSION OF MARIJUANA AND THC ,32 ENGEL,University of Kansas,NA,NA
U17‐03875,2017-03-14,2017-03-14,KU MEDICAL EMERGENCY,1501 IRVING HILL,University of Kansas,NA,NA
U17‐03893,2017-03-06,2017-03-14,CRIMINAL DAMAGE TO PROPERTY; VAL,1800 ENGEL,University of Kansas,NA,NA
U17‐03893,2017-03-06,2017-03-14,CRIMINAL DAMAGE TO PROPERTY; MIS,1800 ENGEL,University of Kansas,NA,NA
U17‐03893,2017-03-06,2017-03-14,ATTEMPTED CRIMINAL DAMAGE TO PR,1800 ENGEL,University of Kansas,NA,NA
U17‐03893,2017-03-06,2017-03-14,CONSPIRACY CRIMINAL DAMAGE TO PR,1800 ENGEL,University of Kansas,NA,NA
U17‐03893,2017-03-06,2017-03-14,SOLICITATION CRIMINAL DAMAGE TO P,1800 ENGEL,University of Kansas,NA,NA
U17‐03643,2017-03-10,2017-03-10,DUTY OF DRIVER TO REPORT ACCIDENT,JAYHAWK,University of Kansas,NA,NA
U17‐03653,2017-03-10,2017-03-10,KU MISCELLANEOUS (INFO),1450 JAYHAWK,University of Kansas,NA,NA
U17‐03682,2017-03-11,2017-03-11,,04 ALUMNI,University of Kansas,NA,NA
U17‐03694,2017-03-09,2017-03-11,THEFT: MISDEMEANOR,1632 ENGEL,University of Kansas,NA,NA
U17‐03687,2017-03-11,2017-03-11,KU MISCELLANEOUS (INFO),1515 ENGEL,University of Kansas,NA,NA
U17‐03762,2017-03-12,2017-03-12,POSSESSION OF MARIJUANA AND THC,420 11TH,University of Kansas,NA,NA
U17‐03883,2017-03-14,2017-03-14,KU OTHER AGENCY ASSIST,1122 WEST CAMPUS,University of Kansas,NA,NA
U17‐03917,2017-03-14,2017-03-14,KU MEDICAL EMERGENCY,1503 SUNFLOWER,University of Kansas,NA,NA
U17‐03920,2017-03-14,2017-03-15,KU MISCELLANEOUS (INFO),1632 ENGEL,University of Kansas,NA,NA
U17‐03933,2017-03-13,2017-03-13,DUTY OF DRIVER TO REPORT ACCIDENT ,00 NAISMITH,University of Kansas,NA,NA
U17‐03992,2017-03-13,2017-03-16,CRIMINAL DAMAGE TO PROP W/O CON ,01 MISSISSIPPI,University of Kansas,NA,NA
U17‐04015,2017-02-27,2017-03-16,CRIMINAL TRESPASS,1651 NAISMITH,University of Kansas,NA,NA
U17‐04065,2017-03-17,2017-03-17,POSSESSION OF MARIJUANA AND THC ,06 LILAC,University of Kansas,NA,NA
U17‐03943,2017-03-10,2017-03-15,KU LOST/FOUND PROPERTY,1100 LOUISIANA,University of Kansas,NA,NA
U17‐03944,2017-03-15,2017-03-15,KU MEDICAL EMERGENCY,1415 JAYHAWK,University of Kansas,NA,NA
U17‐03966,2017-03-15,2017-03-15,POSSESSION OF MARIJUANA,1734 ENGEL,University of Kansas,NA,NA
U17‐03821,2017-03-12,2017-03-13,KU INVESTIGATIVE,1741 NAISMITH,University of Kansas,NA,NA
