incident,case_number,time_reported,date_reported,location,university,time_occurred,date_occurred
Harassment/Threat,16-01492,17:15,2016-04-23,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,16-01494,19:08,2016-04-23,HILLMAN LIBRARY / 3960 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Burglary Forcible Entry,16-01497,22:01,2016-04-23,OAKWOOD APT 234-236 / 234-236 OAKLAND AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-01503,12:40,2016-04-24,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
"Robbery/Strong Arm/hands fists, feet",16-01506,16:12,2016-04-24,LEASED FORB 3600 / 3600-3602 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01509,19:43,2016-04-24,BOUQUET GARDENS (BUILDING E) / 250 SOUTH BOUQUET ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01510,20:16,2016-04-24,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01515,10:19,2016-04-25,A LOT (POSVAR HALL GARAGE) / 230 SOUTH BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01516,10:59,2016-04-25,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01517,11:17,2016-04-25,POSVAR HALL/FORBES QUAD / 230 SOUTH BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01518,11:38,2016-04-25,POSVAR HALL/FORBES QUAD / 230 SOUTH BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01522,14:36,2016-04-25,NORDENBERG HALL / 111 UNIVERSITY PLACE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,16-01521,15:11,2016-04-25,SUTHERLAND HALL / 3725 SUTHERLAND DR.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Protection from Abuse Violation,16-01524,16:49,2016-04-25,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Smell of Marijuana,16-01528,23:55,2016-04-25,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01529,00:38,2016-04-26,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01535,13:13,2016-04-26,FALK SCHOOL / 4060 ALLEQUIPPA ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Terroristic Threats,16-01539,16:36,2016-04-26,SHADYSIDE HOSPTIAL / 5230 CENTRE AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01545,22:19,2016-04-26,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency - Conduct Referral,16-01547,02:39,2016-04-27,NO BLDG. # ENTERED / 3730 ORPWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01550,12:31,2016-04-27,SHADYSIDE HOSPTIAL / 5230 CENTRE AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01552,13:25,2016-04-27,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01554,17:33,2016-04-27,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01555,20:32,2016-04-27,SUTHERLAND HALL / 3725 SUTHERLAND DR.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01556,20:57,2016-04-27,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Defiant Trespass,16-01559,00:26,2016-04-28,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment by Communication,16-01565,13:05,2016-04-28,SALK HALL/DENTAL SCHOOL / 3501 TERRACE ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01566,13:54,2016-04-28,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01569,22:44,2016-04-28,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01571,00:48,2016-04-29,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Miscellaneous Criminal Incident,NA,02:19,2016-04-29,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01580,10:06,2016-04-29,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01581,10:30,2016-04-29,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01584,16:02,2016-04-29,Wellness Center (SHS)/Counseling / 119 UNIVERSITY PLACE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Hit & Run - Unattended Vehicle/Property,16-01586,16:27,2016-04-29,SC Lot  (Falk School) / 4060 ALLEQUIPPA ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Public Drunkenness,16-01591,01:02,2016-04-30,3800 BLOCK FIFTH / 3800 BLOCK FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01596,02:05,2016-04-30,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,16-01602,18:09,2016-04-30,LITCHFIELD TOWER/LOBBY / 3955 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Domestic (no threat or violence),16-01603,21:46,2016-04-30,RUSKIN HALL (APTS.) / 120 RUSKIN AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,16-01612,12:05,2016-05-01,SUTHERLAND HALL / 3725 SUTHERLAND DR.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Hit & Run - Unattended Vehicle/Property,16-01614,12:43,2016-05-01,OC LOT (OLD CEMETERY) / 3505 ALLEQUIPPA ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01613,12:58,2016-05-01,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Domestic (no threat or violence),16-01616,00:44,2016-05-02,OAKLAND AVE 100-300 BLOCK / OAKLAND AVE 100-300 OAKLAND AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01618,11:24,2016-05-02,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01620,15:36,2016-05-02,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01625,01:57,2016-05-03,FIFTH/BIGELOW / 400O BLOCK FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft By Deception,16-01628,16:37,2016-05-03,LITCHFIELD TOWER/LOBBY / 3955 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01630,18:00,2016-05-03,FIELD HOUSE / 3502 ALLEQUIPPA ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01633,00:13,2016-05-04,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-01634,00:51,2016-05-04,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01642,21:44,2016-05-04,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01643,02:50,2016-05-05,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01646,08:44,2016-05-05,GSPH/CRABTREE/PARRAN HALL / 130 DE SOTO ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01648,12:11,2016-05-05,IRVIS HALL / 3825 UNIVERSITY DR.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assault Hopital Employee,16-01654,18:48,2016-05-05,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Resisting Arrest,16-01657,23:03,2016-05-05,FIFTH/BIGELOW / 400O BLOCK FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft of Bicycle,16-01659,13:28,2016-05-06,LOTHROP ST / LOTHROP LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01662,17:18,2016-05-06,SHADYSIDE HOSPTIAL / 5230 CENTRE AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Retail Theft,16-01661,17:38,2016-05-06,FORBES AVE 3500 / 3500 BLOCK FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01665,23:38,2016-05-06,FORBES AVE 3900 / 3900 BLOCK FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,16-01666,01:54,2016-05-07,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft from a Motor Vehicle,16-01669,17:39,2016-05-07,SN GARAGE Lot (Sennott SQ) / 207 SOUTH BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01671,00:18,2016-05-08,LITCHFIELD TOWER/LOBBY / 3955 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01672,07:03,2016-05-08,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01676,22:39,2016-05-08,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,16-01682,14:13,2016-05-09,WILLIAM PITT UNION / 3959 FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,16-01683,14:40,2016-05-09,CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment by Communication,16-01684,15:59,2016-05-09,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01690,11:35,2016-05-10,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Defiant Trespass,16-01694,18:27,2016-05-10,SCHENLEY QUADRANGLE/SQ / 3959 FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-01697,21:53,2016-05-10,200 BLOCK ATWOOD / 200-300 ATWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01699,10:33,2016-05-11,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Robbery,16-01700,12:17,2016-05-11,3700 BLOCK FIFTH AVE / 3700 BLOCK FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01702,18:35,2016-05-11,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Assault,16-01706,02:51,2016-05-12,OAKLAND AVE 100-300 BLOCK / OAKLAND AVE 100-300 OAKLAND AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-01714,15:55,2016-05-12,FORBES AND BOUQUET / INTERSECTION BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01716,01:28,2016-05-13,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Burglary,16-01717,02:19,2016-05-13,200 BLOCK ATWOOD / 200-300 ATWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01718,09:55,2016-05-13,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Hit & Run - Unattended Vehicle/Property,16-01719,10:51,2016-05-13,LT Garage (Litchfield Tower garage) / 3990 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,16-01720,19:48,2016-05-13,BELLEFIELD HALL / 315 SOUTH BELLEFIELD AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01727,00:50,2016-05-14,SHADYSIDE HOSPTIAL / 5230 CENTRE AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,16-01733,14:02,2016-05-15,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,16-01735,14:58,2016-05-15,PETERSEN EVENTS CENTER / 3719 TERRACE ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Retail Theft,16-01737,22:34,2016-05-15,200 BLOCK ATWOOD / 200-300 ATWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-01736,23:37,2016-05-15,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment by Communication,16-01741,12:35,2016-05-16,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01742,16:40,2016-05-16,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01743,17:09,2016-05-16,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01744,03:53,2016-05-17,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,16-01747,14:06,2016-05-17,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Simple Assault Domestic Violence,16-01751,21:32,2016-05-17,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,16-01750,22:43,2016-05-17,FORBES AVE 3700 / 3700 BLOCK FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01752,01:00,2016-05-18,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01753,01:32,2016-05-18,FIFTH/BIGELOW / 400O BLOCK FIFTH AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01755,08:46,2016-05-18,GSPH/CRABTREE/PARRAN HALL / 130 DE SOTO ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01756,08:48,2016-05-18,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01757,09:21,2016-05-18,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01758,10:10,2016-05-18,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01761,16:20,2016-05-18,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01763,09:22,2016-05-19,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01765,15:30,2016-05-19,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Hit & Run - Unattended Vehicle/Property,16-01771,16:31,2016-05-19,LOTHROP ST / LOTHROP LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01766,17:22,2016-05-19,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01768,19:12,2016-05-19,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01770,21:09,2016-05-19,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01772,21:43,2016-05-19,FORBES AVE 3600 / 3600 BLOCK FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Assault,16-01818,04:01,2016-05-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01775,10:36,2016-05-20,718 DEVONSHIRE STREET / 718 DEVONSHIRE ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01779,15:11,2016-05-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assault Hopital Employee,16-01780,15:34,2016-05-20,WPIC (DETRE HALL) / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01781,17:58,2016-05-20,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01782,21:05,2016-05-20,FORBES AVE 3900 / 3900 BLOCK FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Simple Assault Domestic Violence,16-01784,01:53,2016-05-21,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01785,08:17,2016-05-21,SHADYSIDE HOSPTIAL / 5230 CENTRE AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01791,02:06,2016-05-22,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01794,08:46,2016-05-22,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01797,15:30,2016-05-22,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,16-01796,15:43,2016-05-22,HILLMAN LIBRARY / 3960 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Drug Possession -Other,16-01800,00:47,2016-05-23,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01801,10:30,2016-05-23,PETERSEN EVENTS CENTER / 3719 TERRACE ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01802,12:47,2016-05-23,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment by Communication,16-01806,15:37,2016-05-23,THACKERAY HALL / 139 UNIVERSITY PLACE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Public Drunkenness,16-01807,16:51,2016-05-23,FORBES AVE 3700 / 3700 BLOCK FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Loitering Near Dwellings,16-01808,21:11,2016-05-23,200 BLOCK ATWOOD / 200-300 ATWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01810,01:01,2016-05-24,HILLMAN LIBRARY / 3960 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01811,02:20,2016-05-24,POSVAR HALL/FORBES QUAD / 230 SOUTH BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01812,02:23,2016-05-24,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
"Buying, Consume While Underage",16-01814,05:18,2016-05-24,OAKWOOD APT 234-236 / 234-236 OAKLAND AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01815,06:21,2016-05-24,LAW SCHOOL / 3900 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01817,10:10,2016-05-24,SENNOTT SQUARE/MPAC BLDG / 3800-3898 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,16-01819,12:34,2016-05-24,FORBES AND BIGELOW / INTERSECTION FORBES & BIGELOW,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01821,14:37,2016-05-24,LITCHFIELD TOWER C / 3955 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01823,18:02,2016-05-24,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01828,00:29,2016-05-25,POSVAR HALL/FORBES QUAD / 230 SOUTH BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Possession of small amount of Marijuana,16-01829,00:58,2016-05-25,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01830,05:28,2016-05-25,BELLEFIELD HALL / 315 SOUTH BELLEFIELD AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,16-01831,09:07,2016-05-25,BIOMEDICAL SCIENCE TOWER / 205 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01832,13:42,2016-05-25,FALK SCHOOL / 4060 ALLEQUIPPA ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01834,16:14,2016-05-25,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01837,05:28,2016-05-26,LAW SCHOOL / 3900 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01845,02:53,2016-05-27,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,16-01848,07:27,2016-05-27,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01847,07:54,2016-05-27,GSPH/CRABTREE/PARRAN HALL / 130 DE SOTO ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Trespass,16-01851,11:01,2016-05-27,LITCHFIELD TOWER C / 3955 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01852,11:43,2016-05-27,CHEVRON SCIENCE CENTER / 219 PARKMAN AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment/Threat,16-01855,14:26,2016-05-27,LAWRENCE HALL / 3942 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,16-01856,16:40,2016-05-27,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-01858,18:36,2016-05-27,FORBES AVE 3900 / 3900 BLOCK FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01860,01:56,2016-05-28,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Smell of Marijuana,16-01865,22:53,2016-05-28,LITCHFIELD TOWER C / 3955 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01867,21:25,2016-05-29,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Assault,16-01868,00:18,2016-05-30,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01869,01:02,2016-05-30,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01870,02:49,2016-05-30,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency - Conduct Referral,16-01873,10:31,2016-05-30,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01874,15:58,2016-05-30,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,16-01882,16:26,2016-05-31,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01886,20:24,2016-05-31,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01884,20:38,2016-05-31,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01885,20:40,2016-05-31,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Scattering Rubbish,16-01887,21:46,2016-05-31,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01888,00:00,2016-06-01,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01889,00:01,2016-06-01,POSVAR HALL/FORBES QUAD / 230 SOUTH BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,16-01890,01:17,2016-06-01,LAWRENCE HALL / 3942 FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01892,02:16,2016-06-01,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,NA,14:20,2016-06-01,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01895,21:24,2016-06-01,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01904,16:15,2016-06-02,PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Begging,16-01905,18:58,2016-06-02,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01906,19:10,2016-06-02,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assault Hopital Employee,16-01907,19:41,2016-06-02,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Smell of Marijuana,16-01909,01:12,2016-06-03,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Marijuana/Disorderly Conduct,16-01917,02:10,2016-06-04,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Violates City Ordinance,16-01915,02:14,2016-06-04,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Firearms not to be Carried w/o a License,16-01916,02:50,2016-06-04,NO BLDG. # ENTERED / 2357 CENTRE AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Domestic (no threat or violence),16-01918,14:25,2016-06-04,FORBES AVE 3600 / 3600 BLOCK FORBES AVE.,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,16-01920,17:47,2016-06-04,HOLLAND HALL / 3990 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01924,20:42,2016-06-04,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Possession of small amount of Marijuana,16-01925,23:57,2016-06-04,NA,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01927,02:39,2016-06-05,FORBES AND BOUQUET / INTERSECTION BOUQUET ST.,University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI Driving Under the Influence,16-01930,03:53,2016-06-05,FORBES AND BIGELOW / INTERSECTION FORBES & BIGELOW,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01931,04:01,2016-06-05,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01932,07:26,2016-06-05,Mercy Hospital / 1400,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01934,16:43,2016-06-05,MAGEE WOMEN'S HOSPITAL / FORBES & HALKET,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,16-01935,17:50,2016-06-05,NO BLDG. # ENTERED / 3817 DAWSON,University of Pittsburgh-Pittsburgh Campus,NA,NA
