incident,case_number,date_reported,date_occurred,time_occurred,location,university,time_reported
Unassigned Incident,C15-0001100.A30,2015-01-23,2015-01-20,11:08,Henderson Center,Marshall University,NA
Striking Unattended Vehicle,C15-0001101.A24,2015-01-23,2015-01-22,12:15,Stadium Parking Lot,Marshall University,NA
Larceny,C15-0001146.A25,2015-01-24,2015-01-23,07:50,Twin Towers East,Marshall University,NA
Harassing Phone Calls,C15-0001229.A25,2015-01-26,2015-01-26,02:05,Twin Towers East,Marshall University,NA
Fleeing in vehicle,C15-0001379.A22,2015-01-28,2015-01-28,18:32,16th Street / Washington Ave,Marshall University,NA
Larceny,C15-0001409.A30,2015-01-29,2015-01-28,10:13,Memorial Student Center,Marshall University,NA
Petit Larceny,C15-0001428.A35,2015-01-29,2015-01-29,21:01,Twin Towers West,Marshall University,NA
Petit Larceny,C15-0001469.A30,2015-01-30,2015-01-30,15:00,Smith Hall,Marshall University,NA
Petit Larceny,C15-0001495.A35,2015-01-30,2015-01-30,19:36,Myers Hall,Marshall University,NA
Petit Larceny,C15-0001675.A16,2015-02-03,2015-01-14,14:27,Corbly Hall,Marshall University,NA
Indecent Exposure,C15-0001683.A26,2015-02-03,2015-02-03,16:15,3rd Ave Parking Garage,Marshall University,NA
Grand Larceny,C15-0001728.A24,2015-02-04,2015-02-04,13:26,South Residence Hall,Marshall University,NA
Breaking & Entering Auto,C15-0001738.A28,2015-02-05,2015-02-04,00:03,Placement Center,Marshall University,NA
DUI,C15-0001794.A25,2015-02-06,2015-02-06,02:58,2100 Block / 5th Avenue,Marshall University,NA
Motor Vehicle Accident,C15-0001835.A35,2015-02-07,2015-02-07,19:27,Stadium,Marshall University,NA
Threatening Texts,C15-0001856.A24,2015-02-08,2015-02-08,11:29,Twin Towers West,Marshall University,NA
Suicidal Threats,C15-0002064.A30,2015-02-12,2015-02-12,12:02,Twin Towers West,Marshall University,NA
Larceny From Building,C15-0002113.A30,2015-02-13,2015-02-10,11:38,East Hall,Marshall University,NA
Petit Larceny,C15-0002116.A31,2015-02-13,2015-01-30,15:00,Twin Towers East,Marshall University,NA
Grand Larceny,C15-0002137.A16,2015-02-14,2015-02-13,15:29,South Residence Hall,Marshall University,NA
Unlawful Drinking Under 21,C15-0002228.A22,2015-02-17,2015-02-16,23:46,Haymaker Hall,Marshall University,NA
Petit Larceny,C15-0002565.A29,2015-02-22,2015-02-20,20:09,Twin Towers East,Marshall University,NA
Possession of Marijuana,C15-0002601.A29,2015-02-23,2015-02-23,21:32,16th Street / 5th Ave,Marshall University,NA
Larceny From Building,C15-0002634.A22,2015-02-24,2015-02-24,19:15,Recreation Center,Marshall University,NA
Destruction of Property,C15-0002757.A31,2015-02-27,2015-02-27,11:45,1321 Hal Greer Blvd,Marshall University,NA
Disorderly Conduct,C15-0002798.A25,2015-02-28,2015-02-28,03:55,Twin Towers West,Marshall University,NA
Unlawful Drinking Under 21,C15-0002786.A25,2015-02-28,2015-02-28,01:49,4th Ave / 16th Street,Marshall University,NA
DUI,C15-0002837.A25,2015-03-01,2015-03-01,NA,2100 Block / 3rd Ave,Marshall University,NA
Striking Unattended Vehicle,C15-0002888.A30,2015-03-02,2015-03-01,NA,Stadium Lot,Marshall University,NA
Unlawful Drinking Under 21,C15-0003170.A25,2015-03-08,2015-03-08,NA,4th Ave / 20th Street,Marshall University,NA
Grand Larceny,C15-0003185.A16,2015-03-07,2015-03-07,NA,Henderson Center E Level,Marshall University,NA
Larceny from Auto,C15-0003231.A23,2015-03-09,2015-03-09,NA,Smith Hall Parking Lot,Marshall University,NA
Disorderly,C15-0003371.A35,2015-03-11,2015-03-11,NA,Twin Towers West,Marshall University,NA
Larceny from Building,C15-0003407.A30,2015-03-12,2015-03-12,NA,Prichard Hall,Marshall University,NA
Petit Larceny,C15-0003428.A35,2015-03-12,2015-03-12,NA,Recreation Center,Marshall University,NA
Grand Larceny,C15-0003641.A29,2015-03-16,2015-03-15,NA,Henderson Center,Marshall University,NA
Petit Larceny,C15-0004108.A30,2015-03-25,2016-03-25,NA,Corbly Hall,Marshall University,NA
Burglary,C15-0004196.A35,2015-03-26,2015-03-26,NA,Twin Towers East,Marshall University,NA
Stalking,C15-0004383.A30,2015-03-30,2015-03-26,NA,MU Campus,Marshall University,NA
Striking Unattended Vehicle,C15-0004500.A30,2015-04-01,2015-03-30,09:54,Elm Street Student Parking,Marshall University,NA
Grand Larceny,C15-0004504.A16,2015-04-01,2015-03-25,14:22,Harless Dining Hall,Marshall University,NA
Possession w/ Intent to Deliver,C15-0004652.A30,2015-04-03,2015-04-02,12:53,Twin Towers East,Marshall University,NA
Larceny,C15-0004734.A31,2015-04-04,2015-04-04,14:02,One John Marshall Drive,Marshall University,NA
Unlawful Drinking Under 21,C15-0004781.A25,2015-04-05,2015-04-05,16:15,Haymaker Hall,Marshall University,NA
Petit Larceny,C15-0004876.A30,2015-04-07,2015-04-05,12:13,North Residence Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C15-0004901.A35,2015-04-07,2015-04-07,21:18,Maple Ave,Marshall University,NA
Grand Larceny,C15-0004900.A35,2015-04-07,2015-04-07,20:30,Harris Hall,Marshall University,NA
Petit Larceny,C15-0004951.A22,2015-04-08,2015-04-08,16:07,Harris Hall,Marshall University,NA
Larceny from Building,C15-0004969.A22,2015-04-08,2015-04-08,22:33,Recreation Center,Marshall University,NA
Unlawful Drinking Under 21,C15-0005095.A25,2015-04-11,2015-04-11,00:37,Memorial Student Center,Marshall University,NA
Larceny from Vehicle,C15-0005127.A24,2015-04-05,2015-04-11,13:30,Employee Parking Lot,Marshall University,NA
Grand Larceny,C15-0005254.A22,2013-04-13,2013-04-13,17:47,Henderson Center,Marshall University,NA
Larceny from Auto,C15-0005260.A22,2015-04-13,2015-04-13,18:30,Employee Parking Lot,Marshall University,NA
Striking Unattended Vehicle,C15-0005278.A16,2015-04-14,2015-04-12,12:15,500 Block / John Marshall Drive,Marshall University,NA
Possession of Marijuana,C15-0005311.A17,2015-04-15,2015-04-15,00:36,Twin Towers East,Marshall University,NA
Stalking,C15-0005284.A35,2015-04-14,2015-02-28,16:30,Visual Art Center,Marshall University,NA
Property Damage,C15-0005406.A23,2015-04-16,2015-04-15,08:18,Employee Parking Lot,Marshall University,NA
Property Damage,C15-0005408.A23,2015-04-16,2015-04-15,08:18,Employee Parking Lot,Marshall University,NA
Larceny from Building,C15-0005414.A23,2015-04-16,2015-04-13,13:26,Recreation Center,Marshall University,NA
Unlawful Drinking Under 21,C15-0005665.A17,2015-04-20,2015-04-20,01:55,Twin Towers West,Marshall University,NA
Petit Larceny,C15-0005677.A16,2015-04-20,2015-04-18,12:15,Shewey Building,Marshall University,NA
Petit Larceny,C15-0005675.A23,2015-04-20,2015-04-13,13:00,Holderby Hall,Marshall University,NA
Execute Arrest Warrant,C15-0005735.A16,2015-04-21,2015-04-21,12:58,Corbly Hall,Marshall University,NA
Property Damage,C15-0005810.A30,2015-04-22,2015-04-21,13:01,Employee Parking Lot,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C15-0005825.A22,2015-04-22,2015-04-22,17:39,3rd Ave Parking Garage,Marshall University,NA
Petit Larceny,C15-0005866.A33,2015-04-23,2015-04-22,07:31,Drinko Library,Marshall University,NA
Public Intoxication,C15-0005989.A25,2015-04-25,2015-04-25,03:05,Employee B Lot,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C15-0006039.A35,2015-04-25,2015-04-25,20:00,Fine Arts Parking Lot,Marshall University,NA
Public Intoxication,C15-0006041.A28,2015-04-26,2015-04-26,06:50,Stadium Lot,Marshall University,NA
Possession of Marijuana,C15-0006153.A29,2015-04-27,2015-04-27,22:50,1900 Block of Maple Ave,Marshall University,NA
Petit Larceny,C15-0006286.A35,2015-04-29,2015-04-29,16:19,Prichard Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C15-0006373.A29,2015-04-30,2015-04-30,23:12,Maple Ave,Marshall University,NA
Larceny,C15-0006565.A16,2015-05-04,2015-05-04,15:48,Bio-Tech Center,Marshall University,NA
Larceny,C15-0006596.A26,2015-05-04,2015-05-04,22:52,Recreation Center,Marshall University,NA
Larceny,C15-0006634.A30,2015-05-05,2015-05-05,14:08,Harris Hall,Marshall University,NA
Striking Unattended Vehicle,C15-0006701.A16,2015-05-06,2015-05-04,10:38,3rd Avenue Parking Garage,Marshall University,NA
DUI 1st Offense,C15-0006974.A25,2015-05-10,2015-05-10,02:48,22nd Street / 5th Avenue,Marshall University,NA
Shoplifting 1st Offense,C15-0006704.A30,2015-05-06,2015-05-06,13:13,Bookstore,Marshall University,NA
Battery,C15-0006775.A30,2015-05-07,2011-09-01,09:58,Twin Towers East,Marshall University,NA
Grand Larceny,C15-0007158.A16,2015-05-13,2015-05-13,12:17,Twin Towers East,Marshall University,NA
Possession of a Controlled Substance,C15-0007247.A24,2015-05-15,2015-05-15,08:15,4 1/2 Block / 20th Street,Marshall University,NA
Striking Unattended Vehicle,C15-0007429.A30,2015-05-18,2015-05-18,10:35,Stadium Parking,Marshall University,NA
Petit Larceny,C15-0007701.A35,2015-05-22,2015-05-21,20:37,South Residence Hall,Marshall University,NA
Petit Larceny,C15-0007908.A23,2015-05-26,2015-05-26,13:55,University Physicans,Marshall University,NA
Brandishing a dangerous Weapon,C15-0008168.A25,2015-05-31,2015-05-31,00:40,Twin Towers West,Marshall University,NA
Unassigned Incident,C15-0008446.A30,2015-06-04,2015-06-04,10:54,Employee F Lot,Marshall University,NA
DUI 1st Offense,C15-0009010.A25,2015-06-14,2015-06-14,03:49,2600 Blk/5th Ave,Marshall University,NA
Larceny from Building,C15-0009160.A30,2015-06-17,2015-06-17,12:38,Physical Plant,Marshall University,NA
Grand Larceny,C15-0009216.A24,2015-06-18,2015-06-18,12:17,Stadium Lot,Marshall University,NA
Domestic Violence,C15-0009530.A30,2015-06-24,2015-06-24,13:15,Smith Hall,Marshall University,NA
False Pretense,C15-0009535.A10,2015-06-22,2015-06-17,23:35,Various,Marshall University,NA
Execute Warrant,C15-0009581.A24,2015-06-25,2015-06-25,12:21,Drinko Library,Marshall University,NA
Execute Warrant,C15-0009610.A28,2015-06-26,2015-06-26,02:32,3rd Ave Parking Garage,Marshall University,NA
Petit Larceny,C15-0009693.A35,2015-06-27,2015-06-27,22:10,Twin Towers East,Marshall University,NA
DUI 1st Offense,C15-0009702.A34,2015-06-28,2015-06-28,02:48,2500 Block / 5th Ave,Marshall University,NA
Grand Larceny,C15-0009714.A16,2015-06-28,2015-06-28,10:25,Twin Towers East,Marshall University,NA
Invasion of Privacy,C15-0009818.A16,2015-06-30,2015-06-30,04:40,Twin Towers East,Marshall University,NA
Grand Larceny,C15-0009841.A30,2015-07-01,2015-06-29,15:01,Laidley Hall,Marshall University,NA
Falisified Pretenses,C15-0009941.A31,2015-07-02,2015-05-04,09:37,University Physicians,Marshall University,NA
DUI 1st Offense,C15-0010111.A25,2015-07-06,2015-07-06,01:40,1900 Block / 3rd Ave,Marshall University,NA
Threatening Telephone Calls,C15-0010161.A29,2015-07-06,2015-07-06,21:47,Twin Towers East,Marshall University,NA
Larceny from Building,C15-0010283.A30,2015-07-08,2015-07-08,12:25,Buskirk Hall,Marshall University,NA
Larceny from Building,C15-0010654.A23,2015-07-15,2015-07-13,13:10,Robert C. Byrd Institute,Marshall University,NA
DUI 1st Offense,C15-0010853.A34,2015-07-19,2015-07-19,03:01,24th Street / 5th Ave,Marshall University,NA
DUI 1st Offense,C15-0011114.A25,2015-07-25,2015-07-25,03:20,3rd Ave / 1700 Block,Marshall University,NA
Destruction of Property,C15-0011263.A30,2015-07-28,2015-07-24,12:39,Henderson Center,Marshall University,NA
Destruction of Property,C15-0011292.A33,2015-07-29,2015-07-29,02:45,Buskirk Hall,Marshall University,NA
Petit Larceny,C15-0011358.A24,2015-07-30,2015-07-30,09:36,Corbly Hall,Marshall University,NA
Unassigned Incident,C15-0011398.A30,2015-07-31,2015-07-31,09:55,Smith Hall,Marshall University,NA
Petit Larceny,C15-0011543.A16,2015-08-03,2015-08-03,22:00,Shewey Building,Marshall University,NA
Vandalism,C15-0012049.A31,2015-08-14,2015-08-14,09:03,Indoor Facility,Marshall University,NA
Possession of Marijuana,C15-0012126.A33,2015-08-16,2015-08-16,01:12,F Lot 3rd Ave,Marshall University,NA
Unlawful Drinking Under 21,C15-0012129.A25,2015-08-16,2015-08-16,02:38,1800 Block / 5th Avenue,Marshall University,NA
Unlawful Drinking Under 21,C15-0012283.A26,2015-08-19,2015-08-19,22:01,Haymaker Hall,Marshall University,NA
Terroristic Threats,C15-0012310.A24,2015-08-20,2015-08-20,08:31,Memorial Student Center,Marshall University,NA
Striking Unattended Vehicle,C15-0012312.A23,2015-08-20,2015-08-20,09:21,Corbly Pay Lot,Marshall University,NA
Underage Consumption,C15-0012402.A34,2015-08-21,2015-08-21,23:21,North Residence Hall,Marshall University,NA
Unlawful Possession of Alcohol,C15-0012442.A33,2015-08-23,2015-08-23,05:36,Twin Towers West,Marshall University,NA
Larceny,C15-0012425.A31,2015-08-22,2015-08-21,22:17,F lot 6th Avenue,Marshall University,NA
Striking Unattended Vehicle,C15-0012524.A23,2015-08-24,2015-08-24,12:18,3rd Avenue Garage,Marshall University,NA
Entering w/o Breaking (auto),C15-0012520.A23,2015-08-24,2015-08-23,08:35,Student Parking Lot NW,Marshall University,NA
Petit Larceny,C15-0012573.A16,2015-08-25,2015-08-25,13:15,Memorial Student Center,Marshall University,NA
Breaking & Entering Auto,C15-0012642.A30,2015-08-26,2015-08-26,12:02,Gibson Parking Lot,Marshall University,NA
Shooting (Wanton Endangerment),C15-0012687.A22,2015-08-27,2015-08-27,20:40,19th Street/Maple Ave,Marshall University,NA
Underage Consumption,C15-0012732.A34,2015-08-28,2015-08-28,22:32,Gibson Hall,Marshall University,NA
Unlawful Drinking Under 21,C15-0012792.A33,2015-08-30,2015-08-30,02:23,Twin Towers West,Marshall University,NA
Petit Larceny,C15-0012881.A25,2015-09-01,2015-08-30,00:34,Memorial Student Center,Marshall University,NA
Threats,C15-0012883.A25,2015-09-01,2015-09-01,01:39,South Residence Hall,Marshall University,NA
Possession of Marijuana,C15-0012926.A26,2015-09-01,2015-09-01,21:57,Student Parking 19th Street,Marshall University,NA
Vandalism,C15-0012927.A35,2015-09-01,2015-08-31,23:02,Student Parking Maple Ave,Marshall University,NA
Striking Unattended Vehicle,C15-0012959.A16,2015-09-02,2015-08-26,23:55,3rd Ave Parking Garage,Marshall University,NA
Striking Unattended Vehicle,C15-0012960.A30,2015-09-02,2015-08-31,12:06,Student Parking 19th Street,Marshall University,NA
Unlawful Drinking Under 21,C15-0012987.A33,2015-09-03,2015-09-03,02:38,19th Street / 5th Avenue,Marshall University,NA
Unlawful Drinking Under 21,C15-0013047.A33,2015-09-03,2015-09-03,21:00,MU Campus & Surrounding Area,Marshall University,NA
Petit Larceny,C15-0013087.A30,2015-09-04,2015-08-31,14:45,6th Avenue Lot West,Marshall University,NA
Fraudulent Registration,C15-0013109.A25,2015-09-05,2015-09-05,05:36,5th Ave / 20th Street,Marshall University,NA
DUI 1st Offense,C15-0013107.A25,2015-09-06,2015-09-06,02:57,2400 Block / 5th Avenue,Marshall University,NA
DUI 2nd Offense,C15-0013131.A25,2015-09-06,2015-09-06,02:39,1900 Block / 3rd Avenue,Marshall University,NA
Petit Larceny,C15-0013239.A16,2015-09-08,2015-09-03,12:40,Recreation Center Field,Marshall University,NA
Petit Larceny,C15-0013265.A15,2015-09-08,2015-09-08,21:02,Smith Hall,Marshall University,NA
Larceny from Building,C15-0013363.A30,2015-09-10,2015-09-09,13:26,North Residence Hall,Marshall University,NA
Capias,C15-0013380.A34,2015-09-10,2015-09-10,18:03,Henderson/Gullickson,Marshall University,NA
Weapon Carrying Concealed,C15-0013461.A25,2015-09-12,2015-09-12,03:34,20th Street / 5th Avenue,Marshall University,NA
Striking Unattended Vehicle,C15-0013787.A31,2015-09-18,2015-09-18,09:18,20th Street / 5th Avenue,Marshall University,NA
Unlawful Drinking Under 21,C15-0013795.A33,2015-09-18,2015-09-18,15:00,Harris Riverfront Park,Marshall University,NA
Petit Larceny,C15-0013802.A34,2015-09-18,2015-09-18,16:37,Stadium Parking Lot,Marshall University,NA
Unlawful Drinking Under 21,C15-0013806.A34,2015-09-18,2015-09-18,23:31,Twin Towers West,Marshall University,NA
Possession of Marijuana,C15-0013829.A25,2015-09-19,2015-09-19,03:24,1600 Block / 3rd Avenue,Marshall University,NA
Unlawful Drinking Under 21,C15-0013854.A33,2015-09-20,2015-09-20,00:42,500 Block / 19th Street,Marshall University,NA
Unlawful Drinking Under 21,C15-0013855.A33,2015-09-20,2015-09-20,00:21,Student Center,Marshall University,NA
DUI 1st Offense,C15-0013867.A25,2015-09-20,2015-09-20,04:02,1900 Block / 5th Avenue,Marshall University,NA
Destruction of Property,C15-0013881.A34,2015-09-19,2015-09-18,21:54,3rd Ave Parking Garage,Marshall University,NA
Larceny,C15-0013921.A16,2015-09-21,2015-09-21,12:14,Recreation Center Field,Marshall University,NA
Shoplifting,C15-0013935.A26,2015-09-21,2015-09-21,17:41,Memorial Student Center,Marshall University,NA
Stolen Vehicle,C15-0013979.A30,2015-09-22,2015-09-19,12:40,Maple Ave,Marshall University,NA
Larceny,C15-0013980.A30,2015-09-22,2015-09-21,13:02,Maple Ave,Marshall University,NA
Disorderly Conduct,C15-0014108.A30,2015-09-24,2015-09-24,12:45,1900 Block / Maple Ave,Marshall University,NA
Battery,C15-0014110.A30,2015-09-24,2015-09-24,14:01,Behind South Residence Hall,Marshall University,NA
Obstruction,C15-0014151.A27,2015-09-25,2015-09-25,11:56,1800 Block / College Ave,Marshall University,NA
Grand Larceny,C15-0014164.A24,2015-09-25,2015-09-25,17:30,Recreation Center,Marshall University,NA
Driving on Revoked for DUI 2nd Offense,C15-0014208.A27,2015-09-26,2015-09-26,13:56,1600 Block / 3rd Avenue,Marshall University,NA
Larceny,C15-0014250.A27,2015-09-27,2015-09-27,13:37,Twin Towers East,Marshall University,NA
Unassigned Incident,C15-0014292.A23,2015-09-28,2015-09-28,12:37,Stadium Parking Lot,Marshall University,NA
Larceny,C15-0014297.A16,2015-09-28,2015-09-28,14:15,Twin Towers West,Marshall University,NA
Recovery of a Stolen Weapon,C15-0014456.A27,2015-10-01,2015-10-01,12:15,7th Ave / Hal Greer Boulevard,Marshall University,NA
DUI,C15-0014504.A25,2015-10-02,2015-10-02,02:54,2100 Block / 3rd Ave,Marshall University,NA
Unlawful Drinking Under 21,C15-0014534.A34,2015-10-02,2015-10-02,23:46,Twin Towers West,Marshall University,NA
Petit Larceny,C15-0014693.A30,2015-10-06,2015-10-06,09:16,Recreation Center,Marshall University,NA
Battery,C15-0014734.A35,2015-10-06,2015-10-06,22:08,Twin Towers East,Marshall University,NA
Obstruction,C15-0014750.A16,2015-10-07,2015-10-07,08:22,Twin Towers East,Marshall University,NA
Possession of a Controlled Substance,C15-0014775.A10,2015-10-07,2015-10-07,17:08,1900 Block / Maple Ave,Marshall University,NA
Larceny,C15-0014829.A31,2015-10-03,2015-10-03,09:30,Stadium,Marshall University,NA
Leaving the Scene of an Accident,C15-0014833.A27,2015-10-08,2015-10-07,15:15,John Marshall Drive,Marshall University,NA
Unassigned Incident,C15-0014875.A34,2015-10-08,2015-10-08,23:31,Twin Towers East,Marshall University,NA
Petit Larceny,C15-0014884.A33,2015-10-09,2015-10-09,04:29,Myers Hall,Marshall University,NA
DUI 1st Offense,C15-0014876.A25,2015-10-09,2015-10-09,01:11,1801 5th Avenue,Marshall University,NA
Assault,C15-0014901.A27,2015-10-09,2015-10-07,23:27,North Residence Hall,Marshall University,NA
Possession & Consumption by a Minor,C15-0014916.A35,2015-10-09,2015-10-09,16:19,Gibson Hall,Marshall University,NA
Larceny,C15-0014957.A27,2015-10-10,2015-10-10,13:45,Marshall University Bookstore,Marshall University,NA
Petit Larceny,C15-0015036.A26,2015-10-12,2015-10-12,17:00,Smith Hall,Marshall University,NA
Destruction of Property,C15-0015098.A27,2015-10-14,2015-10-14,14:05,South Residence Hall,Marshall University,NA
Petit Larceny,C15-0015105.A22,2015-10-14,2015-10-13,17:08,Holderby Hall,Marshall University,NA
Execute Warrant for Other Agency,C15-0015152.A27,2015-10-15,2015-10-15,11:20,MUPD,Marshall University,NA
Domestic Battery,C15-0015192.A32,2015-10-16,2015-10-16,03:50,Holderby Hall,Marshall University,NA
Disorderly Conduct,C15-0015284.A25,2015-10-18,2015-10-18,02:34,MUPD Parking Lot,Marshall University,NA
Possession of a Controlled Substance,C15-0015309.A14,2015-10-18,2015-10-18,12:49,500 Block / 19th Street,Marshall University,NA
Unlawful Drinking Under 21,C15-0015388.A25,2015-10-20,2015-10-20,00:53,19th Street / 5th Ave,Marshall University,NA
Petit Larceny,C15-0015404.A30,2015-10-20,2015-10-20,14:02,Old Main,Marshall University,NA
Petit Larceny,C15-0015408.A30,2015-10-20,2015-10-20,15:07,Old Main,Marshall University,NA
Assault,C15-0015626.A35,2015-10-24,2015-10-24,23:02,Engineering Parking Lot,Marshall University,NA
Fraudlant Schemes,C15-0015637.A35,2015-10-24,2015-10-24,17:50,Stadium Parking Lot,Marshall University,NA
Unlawful Drinking Under 21,C15-0015646.A33,2015-10-25,2015-10-25,01:30,Twin Towers East,Marshall University,NA
Unlawful Drinking Under 21,C15-0015647.A33,2015-10-25,2015-10-25,02:06,North Residence Hall,Marshall University,NA
Destruction of Property,C15-0015748.A34,2015-10-26,2015-10-26,18:16,18th Street / 4th Avenue,Marshall University,NA
Fruadulant Use of a Credit Card,C15-0015836.A16,2015-10-28,2015-09-20,12:00,Gibson Hall,Marshall University,NA
Unlawful Drinking Under 21,C15-0016024.A33,2015-11-01,2015-11-01,01:00,Campus Christian Center,Marshall University,NA
Larceny,C15-0016044.A27,2015-11-01,2015-11-01,09:13,Buskirk Hall,Marshall University,NA
Likely to Cause Serious Harm,C15-0016056.A26,2015-11-01,2015-11-01,23:05,Gibson Hall,Marshall University,NA
Petit Larceny,C15-0016108.A31,2015-11-02,2015-11-02,14:20,Twin Towers East,Marshall University,NA
Larceny,C15-0016132.A22,2015-11-02,2015-11-02,22:37,South Residence Hall,Marshall University,NA
Burglary,C15-0016137.A32,2015-11-03,2015-11-03,01:25,Twin Towers East,Marshall University,NA
Property Damage,C15-0016232.A23,2015-11-04,2015-10-25,15:13,6th Ave Student Lot,Marshall University,NA
Unassigned Incident,C15-0016374.A30,2015-11-06,2015-11-03,12:15,Engineering Lot,Marshall University,NA
Larceny,C15-0016378.A27,2015-11-06,2015-11-02,15:07,Twin Towers East,Marshall University,NA
Larceny,C15-0016480.A30,2015-11-09,2015-11-06,09:55,Twin Towers West,Marshall University,NA
Attempted Sexual Assault,C15-0016561.A26,2015-11-10,2015-11-10,22:08,North Residence Hall,Marshall University,NA
Fraudelent Use of a Credit Card,C15-0016604.A30,2015-11-11,2015-11-08,12:22,Memorial Student Center,Marshall University,NA
Sexual Assault,C15-0016743.A14,2015-11-13,2015-11-01,08:01,1800 Block Maple Ave,Marshall University,NA
Unlawful Drinking Under 21,C15-0016769.A33,2015-11-14,2015-11-14,01:03,North Residence Hall,Marshall University,NA
Public Intoxication,C15-0016805.A24,2015-11-14,2015-11-14,23:15,Wellman Hall,Marshall University,NA
DUI 1st Offense,C15-0016823.A25,2015-11-15,2015-11-15,05:21,16th Street / 3rd Ave,Marshall University,NA
Possession of a Controlled Substance,C15-0016832.A27,2015-11-15,2015-11-15,14:07,1600 Block / College Ave,Marshall University,NA
Petit Larceny,C15-0017075.A22,2015-11-19,2015-11-18,19:47,Twin Towers East,Marshall University,NA
Execute Warrant,C15-0017095.A25,2015-11-20,2015-11-20,03:58,2400 Block / 5th Ave,Marshall University,NA
Assault,C15-0017110.A30,2015-11-20,2015-11-18,13:51,Henderson Center,Marshall University,NA
Possession of Marijuana,C15-0017199.A26,2015-11-22,2015-11-22,21:54,North Residence Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C15-0017327.A27,2015-11-25,2015-11-25,12:03,3rd Ave Parking Garage,Marshall University,NA
Battery,C15-0017509.A25,2015-11-30,2015-11-30,03:46,1800 Block / Maple Ave,Marshall University,NA
Larceny,C15-0017531.A30,2015-11-30,2015-11-30,10:37,Smith Hall,Marshall University,NA
Larceny,C15-0017532.A23,2015-11-30,2015-11-27,11:08,Engineering Building,Marshall University,NA
Assault by Threats,C15-0017543.A35,2015-11-30,2015-11-30,17:24,Drinko Library,Marshall University,NA
Petit Larceny,C15-0017750.A30,2015-12-08,2015-12-03,11:55,Chemistry Building,Marshall University,NA
Petit Larceny,C15-0017812.A30,2015-12-04,2015-12-03,09:14,Performing Arts Building,Marshall University,NA
Capias,C15-0017790.A25,2015-12-04,2015-12-04,00:01,Marshall Campus,Marshall University,NA
Unlawful Drinking Under 21,C15-0017848.A25,2015-12-05,2015-12-05,02:09,South Residence Hall,Marshall University,NA
Possession of a Controlled Substance,C15-0017883.A25,2015-12-06,2015-12-06,13:58,2200 Block / 5th Ave,Marshall University,NA
Larceny from Auto,C15-0017940.A30,2015-12-07,2015-12-07,12:07,3rd Ave Parking Garage,Marshall University,NA
Tampering with Computer,C15-0018067.A30,2015-12-09,2015-12-05,10:38,Drinko Library,Marshall University,NA
Unassigned Incident,C15-0018093.A24,2015-12-09,2015-12-09,17:06,Gullickson Hall,Marshall University,NA
B&E of Auto,C15-0018151.A35,2015-12-10,2015-12-09,16:52,Student Lot South,Marshall University,NA
Damaged Property,C15-0018220.A35,2015-12-11,2015-12-10,19:12,Student Lot Maple Ave,Marshall University,NA
Petit Larceny,C15-0018211.A31,2015-12-11,2015-12-08,13:24,Twin Towers East,Marshall University,NA
Driving While Suspended for DUI 1st Offense,C15-0018277.A27,2015-12-13,2015-12-13,14:01,1500 Block / 3rd Ave,Marshall University,NA
Larceny from Coin Machine,C15-0018305.A23,2015-12-14,2015-12-09,09:32,Smith Hall,Marshall University,NA
Unassigned Incident,C15-0018377.A30,2015-12-15,2015-12-12,13:05,Twin Towers East,Marshall University,NA
Destruction of Property,C15-0018456.A26,2015-12-16,2015-12-16,16:53,Prichard Hall,Marshall University,NA
Unassigned Incident,C15-0018505.A27,2015-12-17,2015-12-17,13:09,Erma Byrd Medical Center,Marshall University,NA
Larceny,C15-0018569.A27,2015-12-18,2015-12-16,13:51,South Residence Hall,Marshall University,NA
B & E Burglary,C15-0018677.A16,2015-12-21,2015-12-21,11:57,Henderson Center,Marshall University,NA
Burglary Enter w/o Breaking,C15-0019049.A35,2015-12-29,2015-12-23,21:27,South Residence Hall,Marshall University,NA
Entering without Breaking,C17-0000286.A27,2017-01-06,2016-12-22,14:08,Erma Byrd Center,Marshall University,NA
Harassing Communication by Computer,C17-0000340.A26,2016-01-07,2016-11-01,19:46,South Residence Hall,Marshall University,NA
Harassment by Computer,C17-0000341.A24,2017-01-07,2017-01-07,20:00,Twin Towers West,Marshall University,NA
Public Intoxication,C17-0000395.A24,2017-01-09,2017-01-09,02:46,19th Street / 5th Ave,Marshall University,NA
Disorderly Conduct,C17-0000412.A27,2017-01-09,2017-01-09,14:25,Campus,Marshall University,NA
Destruction of Property,C17-0000418.A26,2017-01-09,2016-12-06,17:38,Stadium Parking Lot,Marshall University,NA
Petit Larceny,C17-0000473.A35,2017-01-10,2016-12-17,15:19,Visual Arts Center,Marshall University,NA
Petit Larceny,C17-0000474.A35,2017-01-10,2017-01-10,15:19,Visual Arts Center,Marshall University,NA
Outstanding Warrant,C17-0000484.A15,2017-01-10,2017-01-10,16:42,1400 Block / 6 1/2 Alley,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0000485.A26,2017-01-10,2017-01-20,17:33,College Avenue,Marshall University,NA
