case_number,incident,date_reported,location,date_occurred,time_occurred,time_reported,university
1802690,"Theft by Taking (From Bldg, Valued $1500 or Less); Financial Transaction Card Theft",2018-08-14,"Emory Conference Center Hotel, 1615 Clifton Rd, Atlanta 30322",2018-08-14,11:55,NA,Emory University
1802682,Arrest for Other Law Enforcement Agency (Barrow County Sheriff's Office - Possession of a Controlled Substance),2018-08-14,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-08-14,03:51,NA,Emory University
1802679,Aggravated Stalking,2018-08-13,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-08-13,22:15,NA,Emory University
1802670,Arrest: Driving While License Suspended; Arrest for Other Law Enforcement Agency (Baldwin Co Sheriff's Off. - Probation Violati,2018-08-13,"Woodruff Circle at Clifton Rd, Atlanta 30322",2018-08-13,17:32,NA,Emory University
1802668,Arrest: Loitering or Prowling,2018-08-13,"1707 N Decatur Rd, Atlanta 30322",2018-08-13,16:18,NA,Emory University
1802664,Battery,2018-08-13,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta 30322",2018-08-13,08:10,NA,Emory University
1802610,"Arrest: Disorderly Conduct, Public Intoxication",2018-08-08,"Harwood Condominiums, 759 Houston Mill Rd, Atlanta 30329",2018-08-08,22:50,NA,Emory University
1802608,Arrest for Other Law Enforcement Agency (DeKalb County Police - Armed Robbery),2018-08-08,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-08-08,21:22,NA,Emory University
1802602,"Theft by Taking (From Bldg, Valued $1500 or Less); Financial Transaction Card Theft",2018-08-08,"School of Nursing, 1520 Clifton Rd, Atlanta 30322",2018-08-07,12:40,NA,Emory University
1802601,Entering an Auto,2018-08-08,"Emory Clinic A, Valet Parking, 1365-A Clifton Rd, Atlanta 30322",2018-08-08,08:15,NA,Emory University
1802588,Simple Battery,2018-08-07,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta 30322",2018-08-07,14:30,NA,Emory University
1802575,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-08-06,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-08-06,10:46,NA,Emory University
1802567,Driving Without Headlights; Possession of Less Than One Ounce of Marijuana,2018-08-05,"Clifton Rd at CDC Parkway, Atlanta 30329",2018-08-05,22:27,NA,Emory University
1802565,Harassing Communications (Threatening by Electronic Communication),2018-08-05,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2018-08-05,18:30,NA,Emory University
1802547,Public Indecency (Misdemeanor),2018-08-03,"Emory Clinic A, 1365-A Clifton Rd, Atlanta 30322",2018-08-02,15:50,NA,Emory University
1802520,Simple Battery,2018-08-01,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",2018-08-01,09:40,NA,Emory University
1802515,Entering an Auto,2018-08-01,"Emory Clinic A, Valet Parking, 1365-A Clifton Rd, Atlanta 30322",2018-07-31,09:52,NA,Emory University
1802510,"Criminal Trespass, Property Damage",2018-07-31,"Fraternity House, 20 Eagle Row, Atlanta 30322",2018-07-31,03:42,NA,Emory University
1802499,Simple Assault,2018-07-30,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-07-30,15:50,NA,Emory University
1802488,Assist DeKalb County Police Dept (Theft by Shoplifting),2018-07-29,"Kroger's, Sage Hill Shopping Center, 1799 Briarcliff Rd, Atlanta 30329",2018-07-29,14:30,NA,Emory University
1802481,"Criminal Trespass, Entering Property With Unlawful Purpose",2018-07-28,"MIchael St Parking Deck, 550 Michael St, Atlanta 30322",2018-07-28,20:00,NA,Emory University
1802478,Simple Assault; Arrest for Other Law Enforcement Agency (Gwinnett County Sheriff's Dept - Theft by Shoplifting),2018-07-28,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-07-28,15:10,NA,Emory University
1802465,Entering an Auto,2018-07-27,"Emory Univ Hospital Tower, Valet Parking, 1365 Clifton Rd, Atlanta 30322",2018-07-16,07:00,NA,Emory University
1802452,Battery,2018-07-26,"Autism Center, 1551 Shoup Ct, Atlanta 30322",2018-07-26,11:45,NA,Emory University
1802451,Entering an Auto,2018-07-26,"Emory Clinic B, Valet Parking, 1365-B Clifton Rd, Atlanta 30322",2018-07-26,10:00,NA,Emory University
1802450,"Burglary, Second Degree, Forcible Entry",2018-07-26,"White Hall, 301 Dowman Dr, Atlanta 30322",2018-07-19,16:00,NA,Emory University
1802448,Stalking,2018-07-26,"Asbury Circle, Atlanta 30322",2108-07-18,08:51,NA,Emory University
1802445,"Burglary, Second Degree, Non-Forcible Entry; Criminal Damage to Property Second Degree (Over $500)",2018-07-25,"Emory West, Bldg A, 1256 Briarcliff Rd, Atlanta 30322",2018-07-25,22:18,NA,Emory University
1802430,"Arrest: Simple Assault, Simple Battery",2018-07-24,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-07-24,14:15,NA,Emory University
1802428,"Burglary, Second Degree, Forcible Entry",2018-07-24,"1256 Briarcliff Rd, Atlanta 30322",2018-07-23,21:30,NA,Emory University
1802413,Unauthorized Persons Entering Vacant Buildings,2018-07-23,"Emory West, Bldg A, 1256-A Briarcliff Rd, Atlanta 30322",2018-07-23,03:00,NA,Emory University
1802401,Assist DeKalb County Police Dept (Robbery by Intimidation),2018-07-20,"Clairmont Circle at N Decatur Rd, Decatur 30033",2018-07-18,22:16,NA,Emory University
1802398,Arrest: Loitering,2018-07-20,"Chocolate Coffee, 2094 N Decatur Rd, Atlanta 30307",2018-07-20,23:35,NA,Emory University
1802384,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-07-19,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-07-19,14:45,NA,Emory University
1802377,"Entering an Auto; Criminal Trespass, Property Damage",2018-07-19,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",2018-07-18,05:20,NA,Emory University
1802348,"Criminal Damage to Property, Second Degree; Criminal Trespass (Entry With Unlawful Purpose)",2018-07-16,"Candler Mansion, 1260 Briarcliff Rd, Atlanta 30322",2018-07-16,22:45,NA,Emory University
1802344,Theft of Lost or Mislaid Property (Valued $1500 or Less); Financial Transaction Card Fraud,2018-07-16,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2018-07-13,19:00,NA,Emory University
1802331,Rape,2018-07-13,"1540 Avenue Pl, Atlanta 30329",2018-07-13,01:00,NA,Emory University
1802325,"Simple Battery; Terroristic Threats; Cruelty to Children, Third Degree",2018-07-13,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",2018-07-13,11:30,NA,Emory University
1802323,Financial Transaction Card Theft,2018-07-13,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",2018-07-12,18:30,NA,Emory University
1802322,Financial Transaction Card Theft,2018-07-13,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",2018-07-12,18:00,NA,Emory University
1802301,"Simple Assault; Giving False Name, Address, or Date of Birth to Law Enforcement Officer",2018-07-11,"Hopkins Hall, 1310 Clifton Rd, Atlanta 30322",2018-07-11,21:31,NA,Emory University
1802300,Simple Assault,2018-07-11,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-07-11,20:51,NA,Emory University
1802299,Simple Battery,2018-07-11,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-07-11,20:51,NA,Emory University
1802272,"Theft by Taking (All Other, Value $1500 or Less); Financial Transaction Card Theft",2018-07-09,"Longstreet-Means Hall, 646 Means Dr, Atlanta 30322",2018-05-18,00:00,NA,Emory University
1802263,Simple Battery (Domestic Violence),2018-07-07,"Children's Healthcare of Atlanta - Egleston Hospital, 1405 Clifton Rd, Atlanta 30329",2018-07-07,16:07,NA,Emory University
1802259,Theft of Lost or Mislaid Property (Valued $1500 or Less),2018-07-07,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",2018-07-06,19:00,NA,Emory University
1802255,"Burglary, First Degree, Non-Forcible Entry; Financial Transaction Card Theft; Financial Transaction Card Fraud",2018-07-06,"Longstreet-Means Hall, 646 Means Dr, Atlanta 30322",2018-07-03,17:00,NA,Emory University
1802253,"Theft by Taking (From Bldg, Valued Over $1500)",2018-07-06,"Emory Clinic A, 1365-A Clifton Rd, Atlanta 30322",2018-07-03,13:29,NA,Emory University
1802252,Assist DeKalb County Police Dept (Robbery by Force),2018-07-06,"CVS Pharmacy, 1554 N Decatur Rd, Atlanta 30307",2018-07-06,15:07,NA,Emory University
1802251,"Theft by Taking (Other, Valued $1500 or Less)",2018-07-06,"1599 Clifton Rd NE, Atlanta 30322",2018-07-03,14:00,NA,Emory University
1802245,"Entering an Auto; Criminal Trespass, Property Damage",2018-07-05,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta  30322",2018-07-05,13:52,NA,Emory University
1802241,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-07-05,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2018-06-25,08:00,NA,Emory University
1802207,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-07-02,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",2018-07-01,11:00,NA,Emory University
1802187,Theft by Deception (Over $1500),2018-06-29,"Emory University, 201 Dowman Dr, Atlanta 30322",2018-06-29,14:24,NA,Emory University
1802184,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-29,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2018-06-28,19:45,NA,Emory University
1802179,"Criminal Trespass, Property Damage; Reckless Driving",2018-06-29,"Carriage Cleaners, 855 Emory Point Dr, Atlanta 30329",2018-06-29,12:35,NA,Emory University
1802164,"Theft by Taking (All Other, Value Over $1500)",2018-06-28,"Shuttle Bridge, Atlanta 30322",2018-06-28,11:15,NA,Emory University
1802163,Simple Battery,2018-06-28,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta 30322",2018-06-28,09:15,NA,Emory University
1802157,Theft of Lost or Mislaid Property (Valued $1500 or Less),2018-06-27,"Gambrell Parking Deck, 1705 Gambrell Dr, Atlanta 30322",2018-06-26,00:00,NA,Emory University
1802136,Entering an Auto,2018-06-26,"Gambrell Parking Deck, 1705 Gambrell Dr, Atlanta 30322",2018-06-25,08:00,NA,Emory University
1802127,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-25,"Health Sciences Research Bldg, 1760 Haygood Dr, Atlanta 30322",2018-06-25,15:00,NA,Emory University
1802123,"Theft by Taking (From Bldg, Valued $1500 or Less); Financial Transaction Card Theft",2018-06-25,"Woodruff Memorial Bldg, 101 Woodruff Cir, Atlanta 30322",2018-06-25,13:30,NA,Emory University
1802121,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-25,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-06-25,08:05,NA,Emory University
1802111,"Aggravated Assault (Knife, Cutting Instrument)",2018-06-24,"Chappell Park, 701 Peavine Creek Dr, Atlanta 30322",2018-06-24,19:00,NA,Emory University
1802110,Simple Battery,2018-06-24,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta 30322",2018-06-24,14:00,NA,Emory University
1802100,"Theft by Taking (Motor Vehicle Parts or Accessories, Exterior)",2018-06-22,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",2018-06-18,17:00,NA,Emory University
1802078,"Burglary, Second Degree, Non-Forcible Entry; Financial Transaction Card Theft",2018-06-21,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-06-21,06:00,NA,Emory University
1802075,Theft of Lost or Mislaid Property (Valued $1500 or Less),2018-06-21,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",2018-06-20,10:45,NA,Emory University
1802063,Harassing Communications,2018-06-20,"Parking and Transportation Services, Starvine Parking Deck, 1945 Starvine Way, Atlanta 30322",2018-05-22,11:39,NA,Emory University
1802054,Theft of Lost or Mislaid Property (Valued $1500 or Less); Financial Transaction Card Theft,2018-06-20,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",2018-06-19,23:00,NA,Emory University
1802038,Arrest: Possession of Less Than One Ounce of Marijuana; Possession and Use of Drug-Related Objects,2018-06-18,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-06-18,21:57,NA,Emory University
1802022,Simple Battery,2018-06-17,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-06-17,16:47,NA,Emory University
1802004,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-15,"Emily J Aveda Studio, 1568 Avenue Pl, Atlanta  30329",2020-05-23,16:45,NA,Emory University
1801995,"Arrest: Simple Battery, Obstructing a Law Enforcement Officer, Arrest for Other Agency (Probation Violation, DeKalb County)",2018-06-14,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta, 30322",2018-06-14,18:25,NA,Emory University
1801992,"Entering an Auto; Criminal Trespass, Property Damage",2018-06-14,"Budd Terrace, Parking Lot, 1833 Clifton Rd, Atlanta 30322",2018-06-14,11:30,NA,Emory University
1801990,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-14,"Duckling, 596 Asbury Cir, Atlanta 30322",2018-06-13,08:30,NA,Emory University
1801976,Arrest: Disorderly Conduct,2018-06-13,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2018-06-13,15:30,NA,Emory University
1801965,"Theft by Taking (From Bldg, Valued Over $1500)",2018-06-12,"Emory Clinic B, 1365-B Clifton Rd, Atlanta 30322",2018-05-31,15:15,NA,Emory University
1801955,Theft by Deception (Over $1500),2018-06-11,"Park Bldg, Emory Point, 1578 Avenue Pl, Atlanta GA 30329",2018-06-11,15:00,NA,Emory University
1801948,Theft by Deception ($1500 or Less),2018-06-11,"855 Emory Point Dr, Atlanta 30329",2018-06-11,12:00,NA,Emory University
1801939,"Arrest: Giving False Name, Address, or Date of Birth; Obstructing a Law Enforcement Officer - Misdemeanor",2018-06-10,"Clifton Ridge Subdivision, Clifton Rd near Oxford, Atlanta 30307",2018-06-10,00:10,NA,Emory University
1801938,Terroristic Threats,2018-06-09,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta 30322",2018-06-09,20:58,NA,Emory University
1801933,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-08,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-06-07,07:30,NA,Emory University
1801918,"Theft by Taking (Bicycle, Valued at $1500 or Less)",2018-06-07,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2018-06-01,00:00,NA,Emory University
1801917,"Theft by Taking (From Bldg, Valued Over $1500)",2018-06-07,"Emory Clinic B, 1365-B Clifton Rd, Atlanta 30322",2018-05-31,11:13,NA,Emory University
1801911,Simple Battery,2018-06-07,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",2018-06-03,09:35,NA,Emory University
1801907,Arrest for Other Law Enforcement Agency (Bibb County Sheriff's Office - Violating Condition of Bond),2018-06-06,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",2018-06-06,18:45,NA,Emory University
1801899,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-06,"Autism Center, 1551 Shoup Ct, Atlanta 30322",2018-05-07,18:00,NA,Emory University
1801897,Entering an Auto,2018-06-06,"1500 block Dickey Dr, Atlanta 30322",2018-06-05,21:40,NA,Emory University
1801893,Entering an Auto; Loitering and Prowling,2018-06-05,"Peavine I (South) Parking Deck, 27 Eagle Row, Atlanta 30322",2018-06-05,22:31,NA,Emory University
1801889,Unlawfully Obtaining Controlled Substances,2018-06-05,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta, 30322",2018-05-10,12:00,NA,Emory University
1801885,Theft of Lost or Mislaid Property (Valued $1500 or Less),2018-06-04,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-06-04,20:00,NA,Emory University
1801881,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-04,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",2018-06-04,16:45,NA,Emory University
1801877,"Burglary, Second Degree, Forcible Entry",2018-06-04,"Winship Cancer Clinic, 1711 Uppergate Dr, Atlanta 30322",2018-06-01,17:00,NA,Emory University
1801876,Sexual Battery,2018-06-04,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-01-11,00:00,NA,Emory University
1801872,"Burglary, First Degree, Non-Forcible Entry",2018-06-03,"Wesley Woods Towers, 1825 Clifton Rd, Atlanta 30322",2018-05-22,00:00,NA,Emory University
1801849,"Criminal Trespass, Property Damage",2018-06-01,"Candler Library, 550 Asbury Cir, Atlanta 30322",2018-05-31,03:00,NA,Emory University
1801845,"Criminal Trespass, Property Damage",2018-05-31,"Emory West, 1256 Briarcliff Rd, Atlanta 30322",2018-05-31,19:56,NA,Emory University
1801834,Theft of Lost or Mislaid Property (Value Over $500),2018-05-30,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2018-05-21,13:00,NA,Emory University
1801830,"Criminal Trespass, Property Damage",2018-05-30,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",2018-05-30,10:20,NA,Emory University
1801827,Entering an Auto,2018-05-29,"Parking Lot, Tarbutton Hall, 1555 Dickey Dr, Atlanta 30322",2018-05-29,17:00,NA,Emory University
1801825,"Theft by Taking (Motor Vehicle, Automobile)",2018-05-29,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-05-27,00:01,NA,Emory University
1801822,Theft of Lost or Mislaid Property (Valued $500 or Less),2018-05-29,"Oxford Road Bldg, 1390 Oxford Rd, Atlanta 30322",2018-05-10,08:00,NA,Emory University
1801817,Theft of Lost or Mislaid Property (Valued $500 or Less),2018-05-28,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",2018-05-28,14:00,NA,Emory University
1801816,"Theft by Taking (From Bldg, Valued $500 or Less); Financial Transaction Card Theft",2018-05-28,"Tin Lizzy's, 1540 Avenue Pl, Atlanta 30329",2018-05-28,10:30,NA,Emory University
1801789,Financial Transaction Card Theft,2018-05-24,"Emory Clinic A, 1365-A Clifton Rd, Atlanta 30322",2018-02-14,00:00,NA,Emory University
1801782,"Theft by Taking (Motor Vehicle Parts or Accessories, Exterior)",2018-05-24,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",2018-05-23,22:00,NA,Emory University
1801774,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-05-23,"A.G. Rhodes at Wesley Woods, 1819 Clifton Rd, Atlanta 30322",2018-05-22,16:30,NA,Emory University
1801773,"Criminal Trespass, Property Damage",2018-05-23,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",NA,NA,NA,Emory University
1801770,Fraudulent Telephone Solicitation,2018-05-23,"Wesley Woods Towers, 1825 Clifton Rd, Atlanta 30322",2018-05-17,18:00,NA,Emory University
1801769,Theft of Lost or Mislaid Property (Valued $500 or Less),2018-05-23,"Quadrangle, 251 Dowman Dr, Atlanta 30322",2018-05-18,14:00,NA,Emory University
1801759,Arrest: Driving While License Suspended or Revoked; Disregard of Traffic Control Device,2018-05-21,"N Decatur Rd at Clairmont Rd, Decatur 30033",2018-05-21,23:09,NA,Emory University
1801750,Harassing Communications,2018-05-19,"855 Emory Point Dr, Atlanta 30329",2018-05-19,21:26,NA,Emory University
1801746,Simple Assault,2018-05-19,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-05-13,00:00,NA,Emory University
1801744,"Simple Battery, Terroristic Threats",2018-05-19,"Raoul Hall, 2 Eagle Row, Atlanta 30322",2018-05-19,13:44,NA,Emory University
1801717,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-05-16,"Fraternity House, 18 Eagle Row, Atlanta 30322",2018-05-14,12:00,NA,Emory University
1801715,Harassing Communications,2018-05-16,"Emory Clinic A, 1365-A Clifton Rd, Atlanta 30322",2018-05-13,17:00,NA,Emory University
1801711,"Burglary, First Degree, Forcible Entry",2018-05-15,"Turman Hall, 640 Means Dr, Atlanta 30322",2018-05-13,15:30,NA,Emory University
1801709,"Theft by Taking (Motor Vehicle, Other Vehicles)",2018-05-15,"Dowman Dr at Eagle Row, Atlanta 30322",2018-05-13,07:45,NA,Emory University
1801708,"Theft by Taking (Motor Vehicle, Other Vehicles)",2018-05-15,"Administration Bldg (exterior), 201 Dowman Dr, Atlanta 30322",2018-05-14,14:30,NA,Emory University
1801703,Theft of Lost or Mislaid Property (Valued $500 or Less),2018-05-15,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-05-15,00:00,NA,Emory University
1801678,"Entering an Auto; Criminal Trespass, Property Damage",2018-05-13,"West Parking Deck, 855 Emory Point Dr, Atlanta 30329",2018-05-13,09:15,NA,Emory University
1801676,"Theft by Taking (From Bldg, Valued Over $500)",2018-05-12,"Alumni Memorial University Center, 630 Means Dr, Atlanta 30322",2018-05-08,00:00,NA,Emory University
1801664,Harassing Communications,2018-05-11,"Atwood Hall, 1515 Dickey Dr, Atlanta 30322",2018-04-01,00:00,NA,Emory University
1801661,Simple Battery,2018-05-11,"A G Rhodes at Wesley Woods, 1819 Clifton Rd, Atlanta 30322",2018-05-11,18:30,NA,Emory University
1801656,Harassing Communications,2018-05-11,"Winship Cancer Clinic, 1711 Uppergate Dr, Atlanta 30322",2018-05-10,10:00,NA,Emory University
1801648,"Theft by Taking (From Bldg, Valued Over $500)",2018-05-10,"Sorority Lodge, 11-I Eagle Row, Atlanta 30322",2018-05-09,09:04,NA,Emory University
1801647,Disorderly Conduct; Emotionally Disturbed Person,2018-05-10,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-05-10,13:30,NA,Emory University
1801642,Harassing Communications,2018-05-10,"Emory Healthcare, 57 Executive Park Dr, Brookhaven 30329",2018-05-10,09:00,NA,Emory University
1801636,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-05-09,"Raoul Hall, 2 Eagle Row, Atlanta 30322",2018-05-09,15:56,NA,Emory University
1801635,Arrest: Possession of Less Than One Ounce of Marijuana; Possession and Use of Drug-Related Objects,2018-05-09,"Turman Hall, 640 Means Dr, Atlanta 30322",2018-05-09,15:05,NA,Emory University
1801629,Arrest: Possession of Less Than One Ounce of Marijuana; Possession and Use of Drug-Related Objects,2018-05-09,"Emory West Campus, 1256 Briarcliff Rd, Atlanta 30322",2018-05-09,01:01,NA,Emory University
1801623,"Theft by Taking (All Other, Value $500 or Less)",2018-05-08,"Psychology Bldg, 36 Eagle Row, Atlanta 30322",2018-05-07,07:30,NA,Emory University
1801620,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-05-08,"Goizueta Business School, 1300 Clifton Rd, Atlanta 30322",2018-05-08,08:00,NA,Emory University
1801609,Theft of Lost or Mislaid Property (Value Over $500),2018-05-07,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2018-05-06,23:00,NA,Emory University
1801597,"Simple Battery, Terroristic Threats",2018-05-06,"Highland Bakery, Goizueta School of Business, 1300 Clifton Rd, Atlanta 30322",2018-05-06,15:00,NA,Emory University
1801589,Identity Fraud (Possession or Use of Identifying Information); Stalking,2018-05-05,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2018-05-05,02:00,NA,Emory University
1801557,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-05-02,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-05-01,17:15,NA,Emory University
1801533,Theft of Lost or Mislaid Property (Valued $500 or Less),2018-04-30,"First Transit, 1381 Dalon Dr, Atlanta 30306",2018-04-23,20:00,NA,Emory University
1801532,Simple Assault,2018-04-30,"Emory Univ Hospital, Loading Dock, 1364 Clifton Rd, Atlanta 30322",2018-04-30,00:51,NA,Emory University
1801525,"Arrest For Other Law Enforcement Agency (Fulton Co Sheriff's Office, Failure to Appear)",2018-04-28,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-04-28,19:52,NA,Emory University
1801521,Entering an Auto,2018-04-28,"Emory Univ Hospital, Valet Parking, 1364 Clifton Rd, Atlanta 30322",2018-04-27,21:00,NA,Emory University
1801507,"Theft by Taking (All Other, Value Over $500)",2018-04-27,"N Decatur Rd at Dowman Dr, Atlanta 30322",2018-04-27,13:30,NA,Emory University
1801505,"Arrest: Criminal Trespass, Individual (Entry After Notice Prohibiting)",2018-04-27,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-04-27,12:11,NA,Emory University
1801496,"Criminal Trespass, Property Damage",2018-04-26,"Emory Conference Center Hotel, South Parking Deck, 1615 Clifton Rd, Atlanta  30322",2018-04-26,13:47,NA,Emory University
1801490,Harassing Communications,2018-04-26,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-04-26,15:10,NA,Emory University
1801482,Terroristic Threats,2018-04-26,"Emory Univ, 201 Dowman Dr, Atlanta 30322",NA,NA,NA,Emory University
1801473,Entering an Auto,2018-04-25,"Emory Clinic A, Valet Parking, 1365-A Clifton Rd, Atlanta 30322",2018-04-25,14:17,NA,Emory University
1801438,"Criminal Trespass, Property Damage",2018-04-24,"Peavine Surface Lot, 29 Eagle Row, Atlanta 30322",2018-04-23,14:00,NA,Emory University
1801433,Theft of Lost or Mislaid Property (Value Over $500),2018-04-23,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2018-04-23,00:00,NA,Emory University
1801417,Entering an Auto,2018-04-21,"Children's Healthcare of Atlanta-Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",2018-04-21,07:15,NA,Emory University
1801405,Arrest: Possession of Less Than One Ounce of Marijuana,2018-04-20,"Fraternity House, 10 Eagle Row, Atlanta 30322",2018-04-20,23:20,NA,Emory University
1801384,Arrest: Public Drunkenness,2018-04-20,"400 block Peavine Creek Dr, Atlanta 30322",2018-04-20,03:07,NA,Emory University
1801378,Simple Battery (Dating Violence),2018-04-19,"Turman Hall, 640 Means Dr, Atlanta 30322",2017-10-13,00:00,NA,Emory University
1801375,Theft by Conversion (Value Over $500),2018-04-19,"Barnes and Noble Bookstore, Oxford Road Bldg, 1390 Oxford Rd, Atlanta 30322",2018-03-05,10:12,NA,Emory University
1801363,Arrest: Disorderly Conduct,2018-04-19,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-04-19,04:51,NA,Emory University
1801351,Theft of Lost or Mislaid Property (Valued $500 or Less),2018-04-18,"Michael St, Atlanta 30322",2018-04-18,08:30,NA,Emory University
1801350,"Criminal Damage to Property, Second Degree",2018-04-18,"Emory Clinic, Valet Parking, 1365-A Clifton Rd, Atlanta 30322",2018-04-18,10:39,NA,Emory University
1801349,Computer Invasion of Privacy,2018-04-18,"Claudia Nance Rollins School of Public Health, 401 Rollins Way, Atlanta 30322",NA,NA,NA,Emory University
1801347,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-04-18,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2018-04-05,00:00,NA,Emory University
1801343,Simple Battery,2018-04-18,"S Kilgo Cir, Atlanta 30322",2018-04-18,09:00,NA,Emory University
1801328,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-04-17,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2018-04-10,15:00,NA,Emory University
1801316,Terroristic Threats,2018-04-16,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2018-04-16,12:50,NA,Emory University
