case_number,date_reported,time_reported,incident,location,university,time_occurred,date_occurred
17-144,2017-03-30,16:41,TRESPASS,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
17-141,2017-03-28,12:30,HATE CRIME/ VANDALISM - PROPERTY DAMAGE,Rosen Center,Rollins College,NA,NA
17-137,2017-03-25,09:08,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
17-133,2017-03-24,08:51,LARCENY/ THEFT,Off Campus,Rollins College,NA,NA
17-131,2017-03-23,09:43,TRESPASS,Campus Grounds,Rollins College,NA,NA
17-128,2017-03-21,20:30,HATE CRIME/ VANDALISM - PROPERTY DAMAGE,Gale Hall,Rollins College,NA,NA
17-126,2017-03-20,20:13,FIRE ALARM - NO FIRE,SunTrust Garage,Rollins College,NA,NA
17-125,2017-03-20,10:29,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Elizabeth Hall,Rollins College,NA,NA
17-122,2017-03-20,10:21,FIRE ALARM - NO FIRE,SunTrust Plaza,Rollins College,NA,NA
17-124,2017-03-19,10:24,HARASSMENT,Strong Hall,Rollins College,NA,NA
17-123,2017-03-18,21:40,VANDALISM,SunTrust Garage,Rollins College,NA,NA
17-121,2017-03-17,21:57,FIRE ALARM - NO FIRE,Crummer Hall,Rollins College,NA,NA
17-118,2017-03-12,13:55,LARCENY/ THEFT,Bush Science Center,Rollins College,NA,NA
17-130,2017-03-08,13:43,HARASSMENT,Cornell Social Science/ CSS,Rollins College,NA,NA
17-111,2017-03-07,10:45,"ASSAULT, SIMPLE",Bush Science Center,Rollins College,NA,NA
17-105,2017-03-05,15:06,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
17-104,2017-03-03,09:29,POLICE ASSIST,Off Campus,Rollins College,NA,NA
17-102,2017-03-01,21:54,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
17-100,2017-02-27,12:17,TRESPASS,Campus Grounds,Rollins College,NA,NA
17-099,2017-02-26,18:53,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Campus Center/ CCC/ Skillman,Rollins College,NA,NA
17-094,2017-02-21,00:20,HATE CRIME/ VANDALISM - PROPERTY DAMAGE,Olin Library,Rollins College,NA,NA
17-093,2017-02-20,21:54,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
17-090,2017-02-17,18:49,LARCENY/ THEFT,Cornell Fine Arts Museum/ CFAM,Rollins College,NA,NA
17-091,2017-02-17,18:49,LARCENY/ THEFT,Cornell Fine Arts Museum/ CFAM,Rollins College,NA,NA
17-086,2017-02-15,10:32,LARCENY/ THEFT,Bush Science Center,Rollins College,NA,NA
17-074,2017-02-09,21:50,"REFERRAL, ALCOHOL",McKean Hall,Rollins College,NA,NA
17-075,2017-02-09,21:15,"REFERRAL, ALCOHOL",Cross Hall,Rollins College,NA,NA
17-073,2017-02-09,14:30,CRIMINAL MISCHIEF,SunTrust Garage,Rollins College,NA,NA
17-072,2017-02-09,10:52,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
17-070,2017-02-08,09:54,FIRE ALARM - FIRE,422 W. Fairbanks Ave.,Rollins College,NA,NA
17-068,2017-02-08,06:17,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
17-063,2017-02-06,11:08,"ARREST, DRUG",Sutton Apartments,Rollins College,NA,NA
17-061,2017-02-06,08:21,FALSE ID,Campus Safety Office,Rollins College,NA,NA
17-059,2017-02-05,07:00,"BURGLARY, CONVEYANCE",SunTrust Garage,Rollins College,NA,NA
17-052,2017-02-01,17:25,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
17-050,2017-02-01,13:40,TRESPASS,Bush Science Center,Rollins College,NA,NA
17-047,2017-01-31,20:32,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
17-046,2017-01-31,14:47,FIRE ALARM - NO FIRE,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
17-045,2017-01-31,10:50,"ARREST, DRUG",McKean Hall,Rollins College,NA,NA
17-043,2017-01-31,07:31,FIRE ALARM - NO FIRE,Hauck Hall,Rollins College,NA,NA
17-041,2017-01-31,03:21,"ARREST, ALCOHOL",Campus Grounds,Rollins College,NA,NA
17-038,2017-01-30,13:18,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Alfond Sports Center,Rollins College,NA,NA
17-048,2017-01-30,09:00,HAZING,Off Campus,Rollins College,NA,NA
17-037,2017-01-29,11:15,FIRE ALARM - NO FIRE,Hauck Hall,Rollins College,NA,NA
17-034,2017-01-28,02:50,VANDALISM,Campus Grounds,Rollins College,NA,NA
17-033,2017-01-26,11:05,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
17-028,2017-01-23,19:30,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
17-027,2017-01-23,15:36,FRAUD,Campus Safety Office,Rollins College,NA,NA
17-026,2017-01-23,13:30,FALSE ID,Campus Safety Office,Rollins College,NA,NA
17-023,2017-01-22,14:48,FIRE ALARM - FIRE,"Maryland Housing, 785",Rollins College,NA,NA
17-019,2017-01-20,14:00,LARCENY/ THEFT,Mayflower Hall,Rollins College,NA,NA
17-016,2017-01-19,07:35,DATING VIOLENCE,New England Housing,Rollins College,NA,NA
17-008,2017-01-12,08:20,"REFERRAL, WEAPON",Lyman Hall,Rollins College,NA,NA
17-007,2017-01-11,13:20,SUSPICIOUS PACKAGE,Rosen Center,Rollins College,NA,NA
17-006,2017-01-11,05:06,FIRE ALARM - NO FIRE,Keene Music,Rollins College,NA,NA
17-004,2017-01-09,14:54,FIRE ALARM - NO FIRE,Chase Hall,Rollins College,NA,NA
NA,NA,NA,NA,NA,Rollins College,NA,NA
16-457,2016-12-30,17:05,"ROBBERY, WITH OTHER DANGEROUS WEAPON",SunTrust Garage,Rollins College,NA,NA
16-452,2016-12-15,12:48,FIRE ALARM - NO FIRE,Keene Music,Rollins College,NA,NA
16-449,2016-12-14,11:35,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-446,2016-12-10,16:00,"REFERRAL, DRUG",Pugsley Hall,Rollins College,NA,NA
16-445,2016-12-10,12:42,"REFERRAL, ALCOHOL",Rex Beach Hall,Rollins College,NA,NA
16-442,2016-12-08,07:40,FIRE ALARM - NO FIRE,Rex Beach Classroom,Rollins College,NA,NA
16-440,2016-12-07,03:12,VANDALISM,Ward Hall,Rollins College,NA,NA
16-438,2016-12-03,18:50,VANDALISM,Gale Hall,Rollins College,NA,NA
16-430,2016-11-30,20:34,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
16-429,2016-11-30,17:09,"THEFT, MOTOR VEHICLE-AUTO",SunTrust Garage,Rollins College,NA,NA
16-428,2016-11-29,22:24,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
16-425,2016-11-28,10:15,"BURGLARY, CONVEYANCE",Campus Grounds,Rollins College,NA,NA
16-426,2016-11-28,10:15,"BURGLARY, CONVEYANCE",Campus Grounds,Rollins College,NA,NA
16-420,2016-11-21,09:20,FIRE ALARM - NO FIRE,Chase Hall,Rollins College,NA,NA
16-415,2016-11-18,11:02,"HARASSMENT, SEXUAL OR GENDER-BASED",Ward Hall,Rollins College,NA,NA
16-410,2016-11-13,20:45,INTIMIDATION,McKean Hall,Rollins College,NA,NA
16-408,2016-11-11,18:18,HARASSMENT,Campus Grounds,Rollins College,NA,NA
16-398,2016-11-08,11:09,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Alfond Sports Center,Rollins College,NA,NA
16-397,2016-11-08,02:31,TRESPASS,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
16-395,2016-11-07,08:06,"BURGLARY, CONVEYANCE",Campus Grounds,Rollins College,NA,NA
16-394,2016-11-05,19:32,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
16-393,2016-11-04,13:14,"ASSAULT, SIMPLE",Elizabeth Hall,Rollins College,NA,NA
16-392,2016-11-04,12:00,LARCENY/ THEFT,Baseball/ Alfond Stadium/ Butler Bldg,Rollins College,NA,NA
16-389,2016-11-03,10:01,"HARASSMENT, SEXUAL OR GENDER-BASED",Campus Grounds,Rollins College,NA,NA
16-383,2016-10-30,02:30,POLICE ASSIST,Sutton Apartments,Rollins College,NA,NA
16-380,2016-10-29,10:20,"BURGLARY, CONVEYANCE",NA,Rollins College,NA,NA
16-377,2016-10-28,01:05,TRESPASS,Campus Grounds,Rollins College,NA,NA
16-375,2016-10-24,09:30,"REFERRAL, ALCOHOL",McKean Hall,Rollins College,NA,NA
16-373,2016-10-22,09:59,FRAUD,Campus Grounds,Rollins College,NA,NA
16-370,2016-10-21,09:37,LARCENY/ THEFT,Softball Stadium/ Lake Highland Park,Rollins College,NA,NA
16-368,2016-10-18,18:58,TRESPASS,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
16-369,2016-10-18,08:00,HAZING,Hooker Hall,Rollins College,NA,NA
16-366,2016-10-17,14:26,"HARASSMENT, SEXUAL OR GENDER-BASED",Campus Safety Office,Rollins College,NA,NA
16-365,2016-10-17,12:34,FIRE ALARM - NO FIRE,Holt Hall,Rollins College,NA,NA
16-364,2016-10-15,23:08,POLICE ASSIST,SunTrust Garage,Rollins College,NA,NA
16-362,2016-10-14,14:51,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-361,2016-10-14,11:44,LARCENY/ THEFT,Bush Science Center,Rollins College,NA,NA
16-360,2016-10-13,15:45,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-358,2016-10-13,03:06,POLICE ASSIST,Sutton Apartments,Rollins College,NA,NA
16-352,2016-10-04,19:54,FALSE ID,Campus Safety Office,Rollins College,NA,NA
16-347,2016-10-01,19:10,TRESPASS,SunTrust Garage,Rollins College,NA,NA
16-343,2016-09-29,23:20,TRESPASS,Kathleen W. Rollins Hall,Rollins College,NA,NA
16-342,2016-09-29,21:06,TRESPASS,Ward Hall,Rollins College,NA,NA
16-340,2016-09-29,13:10,"BURGLARY, CONVEYANCE",SunTrust Garage,Rollins College,NA,NA
16-339,2016-09-29,12:30,"BURGLARY, CONVEYANCE",SunTrust Garage,Rollins College,NA,NA
16-336,2016-09-28,16:07,HARASSMENT,Olin Library,Rollins College,NA,NA
16-334,2016-09-28,01:02,"BURGLARY, CONVEYANCE",Campus Grounds,Rollins College,NA,NA
16-331,2016-09-27,13:12,"BURGLARY, CONVEYANCE",Campus Grounds,Rollins College,NA,NA
16-330,2016-09-26,16:16,HARASSMENT,Carnegie Hall,Rollins College,NA,NA
16-329,2016-09-26,08:56,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-323,2016-09-23,01:38,FIRE ALARM - NO FIRE,Strong Hall,Rollins College,NA,NA
16-321,2016-09-22,03:17,LARCENY/ THEFT,Keene Music,Rollins College,NA,NA
16-319,2016-09-20,12:20,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-316,2016-09-19,15:48,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-314,2016-09-16,01:43,"HARASSMENT, SEXUAL OR GENDER-BASED",NA,Rollins College,NA,NA
16-313,2016-09-15,11:22,TRESPASS,Bush Science Center,Rollins College,NA,NA
16-310,2016-09-14,11:15,"THEFT, MOTOR VEHICLE-OTHER",Campus Grounds,Rollins College,NA,NA
16-309,2016-09-14,09:08,LARCENY/ THEFT,Alfond Sports Center,Rollins College,NA,NA
16-305,2016-09-13,14:33,VANDALISM,Campus Grounds,Rollins College,NA,NA
16-304,2016-09-13,09:04,LARCENY/ THEFT,Bush Science Center,Rollins College,NA,NA
16-302,2016-09-12,16:14,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
16-301,2016-09-10,22:55,"ARREST, DRUG",Elizabeth Hall,Rollins College,NA,NA
16-296,2016-09-08,12:27,"BURGLARY, CONVEYANCE",Campus Grounds,Rollins College,NA,NA
16-295,2016-09-07,21:42,"REFERRAL, DRUG",Elizabeth Hall,Rollins College,NA,NA
16-294,2016-09-07,12:53,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Woolson House,Rollins College,NA,NA
16-292,2016-09-06,22:10,HARASSMENT,Campus Grounds,Rollins College,NA,NA
16-288,2016-09-03,17:14,"REFERRAL, ALCOHOL",Campus Grounds,Rollins College,NA,NA
16-287,2016-09-03,15:48,FIRE ALARM - NO FIRE,Fox Hall,Rollins College,NA,NA
16-286,2016-09-03,15:33,"BURGLARY, CONVEYANCE",Campus Grounds,Rollins College,NA,NA
16-285,2016-09-03,13:17,CRIMINAL MISCHIEF,Campus Grounds,Rollins College,NA,NA
16-284,2016-09-02,17:50,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-280,2016-09-01,17:40,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-278,2016-09-01,11:35,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
16-272,2016-08-26,20:00,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-271,2016-08-24,08:59,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-267,2016-08-22,03:55,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-266,2016-08-21,20:55,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-260,2016-08-19,18:10,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-259,2016-08-18,22:15,TRESPASS,McKean Hall,Rollins College,NA,NA
16-258,2016-08-18,20:45,LARCENY/ THEFT,Ward Hall,Rollins College,NA,NA
16-251,2016-08-12,14:55,"BURGLARY, CONVEYANCE",SunTrust Garage,Rollins College,NA,NA
16-246,2016-08-08,11:20,LARCENY/ THEFT,Knowles Memorial Chapel/ KMC,Rollins College,NA,NA
16-244,2016-08-05,02:00,FIRE ALARM - NO FIRE,"Winter Park Plaza, 330",Rollins College,NA,NA
16-239,2016-07-30,01:55,"THEFT, MOTOR VEHICLE-OTHER",Campus Grounds,Rollins College,NA,NA
16-240,2016-07-30,00:00,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-237,2016-07-25,09:23,LARCENY/ THEFT,"Winter Park Plaza, 330",Rollins College,NA,NA
16-231,2016-07-19,16:03,FIRE ALARM - NO FIRE,"Boat House, Alfond",Rollins College,NA,NA
16-229,2016-07-15,22:40,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
16-226,2016-07-10,03:00,DOMESTIC VIOLENCE,"Boat House, Bradley",Rollins College,NA,NA
16-223,2016-06-28,14:00,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Baseball/ Alfond Stadium/ Butler Bldg,Rollins College,NA,NA
16-221,2016-06-24,16:05,LARCENY/ THEFT,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
16-216,2016-06-16,14:38,POLICE ASSIST,"Park Ave, Non-Campus",Rollins College,NA,NA
16-214,2016-06-14,18:45,FRAUD,Rollins Hall,Rollins College,NA,NA
16-213,2016-06-14,07:45,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-211,2016-06-11,04:15,FIRE ALARM - NO FIRE,Alfond Sports Center,Rollins College,NA,NA
16-210,2016-06-09,19:43,FIRE ALARM - NO FIRE,Alfond Sports Center,Rollins College,NA,NA
16-209,2016-06-07,03:30,FIRE ALARM - NO FIRE,Rosen Center,Rollins College,NA,NA
16-207,2016-06-05,22:35,FIRE ALARM - NO FIRE,Rosen Center,Rollins College,NA,NA
16-198,2016-05-26,15:00,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Ward Hall,Rollins College,NA,NA
16-197,2016-05-24,18:36,"THEFT, MOTOR VEHICLE-OTHER",Campus Grounds,Rollins College,NA,NA
16-195,2016-05-20,15:05,TRESPASS,Olin Library,Rollins College,NA,NA
16-194,2016-05-18,12:30,"REFERRAL, DRUG",Ward Hall,Rollins College,NA,NA
16-191,2016-05-16,11:34,FIRE ALARM - NO FIRE,Reeves Lodge,Rollins College,NA,NA
16-188,2016-05-14,21:05,"THEFT, MOTOR VEHICLE-OTHER",Campus Grounds,Rollins College,NA,NA
16-178,2016-05-06,16:55,DATING VIOLENCE,Campus Safety Office,Rollins College,NA,NA
16-176,2016-05-05,15:00,"THEFT, MOTOR VEHICLE-OTHER",Campus Grounds,Rollins College,NA,NA
16-171,2016-05-04,16:37,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
16-169,2016-05-03,01:23,LARCENY/ THEFT,Sutton Apartments,Rollins College,NA,NA
16-167,2016-05-01,16:50,LARCENY/ THEFT,Strong Hall,Rollins College,NA,NA
16-164,2016-04-28,13:12,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-161,2016-04-27,09:10,VANDALISM,Bush Science Center,Rollins College,NA,NA
16-158,2016-04-25,15:55,"THEFT, MOTOR VEHICLE-AUTO",New England Housing,Rollins College,NA,NA
16-155,2016-04-23,20:53,FIRE ALARM - NO FIRE,Sutton Apartments,Rollins College,NA,NA
16-154,2016-04-23,02:07,VANDALISM,SunTrust Garage,Rollins College,NA,NA
16-149,2016-04-20,22:50,"REFERRAL, ALCOHOL",McKean Hall,Rollins College,NA,NA
16-147,2016-04-20,17:57,FIRE ALARM - FIRE,Ward Hall,Rollins College,NA,NA
16-145,2016-04-20,08:40,HATE CRIME/ VANDALISM - PROPERTY DAMAGE,Bush Science Center,Rollins College,NA,NA
16-136,2016-04-13,09:53,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-133,2016-04-11,12:31,"ARREST, DRUG",SunTrust Garage,Rollins College,NA,NA
16-131,2016-04-10,04:15,LARCENY/ THEFT,Hooker Hall,Rollins College,NA,NA
16-128,2016-04-07,16:45,VANDALISM,Campus Grounds,Rollins College,NA,NA
16-127,2016-04-06,16:09,FIRE ALARM - NO FIRE,Rosen Center,Rollins College,NA,NA
16-122,2016-04-03,03:33,TRESPASS,Campus Grounds,Rollins College,NA,NA
16-121,2016-04-02,16:45,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-119,2016-04-01,17:25,"ASSAULT, AGGAVATED WITH HANDS/FISTS/FEET/TEETH",Campus Grounds,Rollins College,NA,NA
16-118,2016-03-31,10:25,"ASSAULT, SIMPLE",Campus Grounds,Rollins College,NA,NA
16-116,2016-03-29,20:47,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
16-114,2016-03-29,15:03,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
16-111,2016-03-25,17:00,LARCENY/ THEFT,Campus Safety Office,Rollins College,NA,NA
16-110,2016-03-24,09:04,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
16-103,2016-03-14,19:20,LARCENY/ THEFT,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
16-100,2016-03-13,07:00,FALSE ID,Campus Grounds,Rollins College,NA,NA
16-099,2016-03-12,16:55,LARCENY/ THEFT,Ward Hall,Rollins College,NA,NA
16-094,2016-02-29,10:43,LARCENY/ THEFT,Elizabeth Hall,Rollins College,NA,NA
16-093,2016-02-27,12:50,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Ward Hall,Rollins College,NA,NA
16-091,2016-02-26,08:27,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
16-090,2016-02-24,11:08,HARASSMENT,Campus Safety Office,Rollins College,NA,NA
16-089,2016-02-23,16:30,LARCENY/ THEFT,"Boat House, Alfond",Rollins College,NA,NA
16-087,2016-02-21,21:21,"REFERRAL, DRUG",Ward Hall,Rollins College,NA,NA
16-086,2016-02-20,15:22,"BURGLARY, CONVEYANCE",SunTrust Garage,Rollins College,NA,NA
16-082,2016-02-17,00:01,LARCENY/ THEFT,Holt Hall,Rollins College,NA,NA
16-083,2016-02-16,23:10,FIRE ALARM - NO FIRE,Holt Hall,Rollins College,NA,NA
16-080,2016-02-15,19:30,LARCENY/ THEFT,Ward Hall,Rollins College,NA,NA
16-079,2016-02-15,16:25,TRESPASS,SunTrust Garage,Rollins College,NA,NA
16-078,2016-02-15,13:00,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Ward Hall,Rollins College,NA,NA
16-077,2016-02-15,11:40,LARCENY/ THEFT,Copeland Tennis Stadium,Rollins College,NA,NA
16-071,2016-02-11,21:45,"REFERRAL, ALCOHOL",Ward Hall,Rollins College,NA,NA
16-070,2016-02-10,09:49,INTIMIDATION,NA,Rollins College,NA,NA
16-069,2016-02-10,09:15,FIRE ALARM - NO FIRE,Olin Lot,Rollins College,NA,NA
16-068,2016-02-09,22:53,FIRE ALARM - NO FIRE,Hooker Hall,Rollins College,NA,NA
16-065,2016-02-09,13:00,VANDALISM,Alfond Pool,Rollins College,NA,NA
16-061,2016-02-07,04:29,FIRE ALARM - NO FIRE,Olin Library,Rollins College,NA,NA
16-060,2016-02-05,10:38,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
16-059,2016-02-05,06:07,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
16-057,2016-02-04,18:45,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-055,2016-02-02,14:34,HARASSMENT,Off Campus,Rollins College,NA,NA
16-050,2016-01-31,22:15,VANDALISM,Sutton Apartments,Rollins College,NA,NA
16-043,2016-01-25,17:00,LARCENY/ THEFT,Ward Hall,Rollins College,NA,NA
16-042,2016-01-25,13:51,LARCENY/ THEFT,Alfond Sports Center,Rollins College,NA,NA
16-041,2016-01-24,05:00,TRESPASS,McKean Hall,Rollins College,NA,NA
16-040,2016-01-23,15:45,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
16-034,2016-01-19,15:11,FIRE ALARM - NO FIRE,Pinehurst Cottage,Rollins College,NA,NA
16-032,2016-01-18,16:50,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
16-028,2016-01-16,00:05,"REFERRAL, ALCOHOL",McKean Hall,Rollins College,NA,NA
16-027,2016-01-15,21:45,"REFERRAL, ALCOHOL",Hooker Hall,Rollins College,NA,NA
16-026,2016-01-15,20:47,"ARREST, DRUG",Hooker Hall,Rollins College,NA,NA
16-025,2016-01-15,20:32,LARCENY/ THEFT,Strong Hall,Rollins College,NA,NA
16-020,2016-01-13,19:38,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
16-018,2016-01-13,17:55,LARCENY/ THEFT,Sutton Apartments,Rollins College,NA,NA
16-016,2016-01-13,14:09,LARCENY/ THEFT,Lawrence Center,Rollins College,NA,NA
16-015,2016-01-12,21:45,"REFERRAL, ALCOHOL",McKean Hall,Rollins College,NA,NA
16-011,2016-01-10,19:30,"ASSAULT, AGGRAVATED WITH KNIFE/ CUTTING INSTRUMENT",SunTrust Garage,Rollins College,NA,NA
16-008,2016-01-09,16:42,VANDALISM,"Boat House, Alfond",Rollins College,NA,NA
16-007,2016-01-07,17:25,HARASSMENT,Holt Hall,Rollins College,NA,NA
16-003,2016-01-05,14:23,HARASSMENT,Lawrence Center,Rollins College,NA,NA
NA,NA,NA,NA,NA,Rollins College,NA,NA
15-502,2015-12-30,15:53,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
15-500,2015-12-26,09:34,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
15-496,2015-12-16,10:04,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
15-492,2015-12-11,09:30,VANDALISM,Holt Ave./ Non-Campus,Rollins College,NA,NA
15-491,2015-12-10,09:02,LARCENY/ THEFT,Rollins Hall,Rollins College,NA,NA
15-490,2015-12-09,03:35,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
15-488,2015-12-07,16:47,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Ward Hall,Rollins College,NA,NA
15-487,2015-12-07,15:36,"REFERRAL, DRUG",Hooker Hall,Rollins College,NA,NA
15-485,2015-12-05,20:40,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
15-483,2015-12-04,16:16,HARASSMENT,Rex Beach Hall,Rollins College,NA,NA
15-482,2015-12-04,11:02,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
15-477,2015-12-02,17:30,"HARASSMENT, SEXUAL OR GENDER-BASED",Bush Science Center,Rollins College,NA,NA
15-476,2015-12-02,13:37,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
15-472,2015-12-01,15:10,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
15-471,2015-11-30,12:20,VANDALISM,Baseball/ Alfond Stadium/ Butler Bldg,Rollins College,NA,NA
15-470,2015-11-28,19:55,VANDALISM,SunTrust Garage,Rollins College,NA,NA
15-469,2015-11-24,11:50,LARCENY/ THEFT,Olin Library,Rollins College,NA,NA
15-468,2015-11-23,15:06,DATING VIOLENCE,Strong Hall,Rollins College,NA,NA
15-463,2015-11-20,01:27,FIRE ALARM - FIRE,Olin Library,Rollins College,NA,NA
15-461,2015-11-19,18:59,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
15-460,2015-11-19,18:00,HARASSMENT,SunTrust Garage,Rollins College,NA,NA
15-459,2015-11-17,14:56,HARASSMENT,NA,Rollins College,NA,NA
15-458,2015-11-16,06:53,FIRE ALARM - NO FIRE,Baseball/ Alfond Stadium/ Butler Bldg,Rollins College,NA,NA
15-457,2015-11-15,16:20,"BURGLARY, FORCIBLE ENTRY",Campus Grounds,Rollins College,NA,NA
15-456,2015-11-15,13:15,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-446,2015-11-12,21:20,"REFERRAL, DRUG",Dinky Dock Park,Rollins College,NA,NA
15-447,2015-11-12,00:00,LARCENY/ THEFT,Keene Music,Rollins College,NA,NA
15-441,2015-11-10,15:50,LARCENY/ THEFT,Pinehurst Cottage,Rollins College,NA,NA
15-440,2015-11-10,12:40,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
15-439,2015-11-09,23:47,"ARREST, DRUG",McKean Hall,Rollins College,NA,NA
15-438,2015-11-09,14:31,LARCENY/ THEFT,Bush Science Center,Rollins College,NA,NA
15-436,2015-11-09,13:45,TRESPASS,Campus Grounds,Rollins College,NA,NA
15-433,2015-11-08,21:12,"REFERRAL, ALCOHOL",McKean Hall,Rollins College,NA,NA
15-431,2015-11-06,15:49,TRESPASS,Campus Grounds,Rollins College,NA,NA
15-430,2015-11-06,13:20,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
15-429,2015-11-06,10:10,VANDALISM,Copeland Tennis Stadium,Rollins College,NA,NA
15-423,2015-11-03,06:08,VANDALISM,Hauck Hall,Rollins College,NA,NA
15-422,2015-11-02,16:18,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Ward Hall,Rollins College,NA,NA
15-419,2015-11-01,23:23,VANDALISM,SunTrust Garage,Rollins College,NA,NA
15-416,2015-10-31,23:56,"REFERRAL, ALCOHOL",Ward Hall,Rollins College,NA,NA
15-415,2015-10-31,16:00,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Ward Hall,Rollins College,NA,NA
15-414,2015-10-31,11:00,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
15-412,2015-10-29,12:25,TRESPASS,Bush Science Center,Rollins College,NA,NA
15-411,2015-10-29,00:15,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",McKean Hall,Rollins College,NA,NA
