Classification,Incident Number,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Traffic / DLS,18UV003655,06/01/2018,0352,06/01/2018,0352,"Winooski Falls Way, Winooski",Closed; non affiliate cited to appear in court for DLS
Larceny - Building,18UV003656,06/01/2018,0447,05/11 - 06/01/2018,Unk,Living and Learning,Open
Fire Alarm,18UV003657,06/01/2018,0545,06/01/2018,0545,Gutterson Field House,Closed
Mental Health Issue / Welfare Check / Safety Escort,18UV003663,06/01/2018,1354,06/01/2018,1354,Jacobs House / Buell St,Closed; affiliate transported to UVM MC for evaluation
Agency Assist / Disturbance,18UV003664,06/01/2018,1735,06/01/2018,1735,"1272 Williston Rd, South Burlington",Closed; assist to South Burlington Police
Agency Assist / Motor Vehicle Complaint,18UV003666,06/01/2018,1816,06/01/2018,1816,"1205 Williston Rd, South Burlington",Closed; assist to South Burlington Police
Citizen Assist / Safety Escort,18UV003668,06/02/2018,0034,06/02/2018,0034,Colchester Ave / Mansfield Ave,Closed
Mental Health Issue / Safety Escort,18UV003669,06/02/2018,0319,06/02/2018,0319,Fleming Museum outside,Closed
Citizen Assist / Welfare Check / Safety Escort,18UV003670,06/02/2018,0625,06/02/2018,0625,Health Science Research Facility Outside,Closed
Medical Assist,18UV003674,06/02/2018,1224,06/02/2018,1224,CCRH,Closed; affiliate transported to UVM MC by UVM Rescue
Agency Assist / Welfare Check,18UV003675,06/02/2018,1415,06/02/2018,1415,"32 Mallets Bay Ave, Winooski",Closed; assist to Winooski Police
Medical Assist,18UV003677,06/02/2018,1659,06/02/2018,1659,Bailey Howe Library outside,Closed; affiliate transported to UVM MC by UVM Rescue
Citizen Assist,18UV003678,06/02/2018,2000,06/02/2018,2000,Christie Wright Patterson,Closed
Traffic / DUI,18UV003688,06/03/2018,0311,06/03/2018,0311,College St / S Prospect St,Closed; non-affiliate cited to appear in court for DUI
Suspicious Event,18UV003689,06/03/2018,0740,06/03/2018,0740,Davis Center,Closed
Domestic Disturbance,18UV003700,06/03/2018,2006,06/03/2018,2006,"East Ave, Burlington",Closed
Unsecured Premise,18UV003704,06/03/2018,2302,06/03/2018,2302,Interfaith Center,Closed
Agency Assist / Welfare Check,18UV003706,06/03/2018,2317,06/03/2018,2317,Maple St / S Prospect St,Closed; assist to So. Burlington Police; non affiliate located
Suspicious Vehicle,18UV003707,06/03/2018,2342,06/03/2018,2342,East Commuter Parking Lot,Closed
Citizen Assist,18UV003708,06/04/2018,0223,06/04/2018,0223,Colchester Ave,Closed
Intrusion Alarm,18UV003710,06/04/2018,0507,06/04/2018,0507,Fleming,Closed
Information / Fraud,18UV003712,06/04/2018,1049,04 - 06/2018,Unk,Unknown off campus location,Closed
Agency Assist,18UV003713,06/04/2018,1141,06/04/2018,1141,UVM Police Services,Closed; assist to the US Marshals Service
Suspicious Event,18UV003714,06/04/2018,1252,06/04/2018,1252,Patrick Gym,Closed
Citizen Assist,18UV003715,06/04/2018,1339,06/04/2018,1339,Marsh Life Science,Closed
Animal Problem,18UV003716,06/04/2018,1917,06/04/2018,1917,East Commuter Lot,Closed
Fire Alarm,18UV003724,06/04/2018,1026,06/04/2018,1026,Wing Davis Wilks,Closed
Building/Room Lockout,18UV003729,06/04/2018,1740,06/04/2018,1740,440 College St,Closed
Suspicious Event,18UV003731,06/05/2018,2209,06/05/2018,2209,Alumni House,Closed
Unsecure Premise,18UV003732,06/05/2018,0045,06/05/2018,0045,Patrick Gym,Closed
Motor Vehicle Complaint,18UV003738,06/06/2018,1124,06/06/2018,0940,East Ave / Williston Rd,Closed
Intrusion Alarm,18UV003744,06/06/2018,1923,09/06/2018,1923,460 S. Prospect St,Closed
Fraud,18UV003745,06/06/2018,1933,06/06/2018,Various,Off Campus Locations,Closed
Unsecured Premise,18UV003755,06/06/2018,2237,06/06/2018,2237,Living & Learning,Closed
Suspicious Event / Agency Assist,18UV003763,06/06/2018,2346,06/06/2018,2346,"East Ave, Burlington",Closed; assist to Burlington Police
Agency Assist / Traffic,18UV003766,06/07/2018,0143,06/07/2018,0143,Williston Rd @ Staples Plaza,Closed; assist to Burlington Police
Larceny / Trespass,18UV003770,06/07/2018,1333,Unk,Unk,Williams Hall,Closed; property recovered
Simple Assault,18UV003772,06/07/2018,1859,06/07/2018,1851,Bailey Howe,Closed; non affiliate trespassed from campus and cited into court for Simple Assault
Citizen Assist,18UV003781,06/08/2018,0828,06/08/2018,0828,Williams Hall Outside,Closed
Motorist Assist,18UV003783,06/08/2018,1829,06/08/2018,1829,"East Ave / Carrigan Dr, Burlington",Closed
Unsecure Premise,18UV003791,06/08/2018,2359,06/08/2018,2359,Living & Learning,Closed
Agency Assist / Traffic Stop,18UV003792,06/09/2018,0007,06/09/2018,0007,"Williston Rd, S Burlington",Closed; assist to South Burlington Police
Welfare Check / Safety Escort,18UV003795,06/09/2018,0239,06/09/2018,0239,Nolan House Outside,Closed
Agency Assist / Attempts to Locate,18UV003798,06/09/2018,0537,06/09/2018,0537,"S Prospect St / Main St, Burlington",Closed; assist to Burlington Police
Agency Assist / Accident - Property Damage,18UV003802,06/09/2018,1417,06/09/2018,1417,"Williston Rd, S Burlington",Closed; assist to South Burlington Police
Agency Assist / Traffic Hazard,18UV003805,06/09/2018,1721,06/09/2018,1721,"Williston Rd / Dorset St, S Burlington",Closed; assist to South Burlington Police
Agency Assist / Welfare Check,18UV003808,06/09/2018,2015,06/09/2018,2015,"Hardy Ave, Burlington",Closed; assist to Burlington Police
Agency Assist / Domestic Assault,18UV003809,06/09/2018,2035,06/09/2018,2035,"Park St, Burlington",Closed; assist to Burlington Police
Agency Assist,18UV003810,06/09/2018,2121,06/09/2018,2121,"Blue Bridge, Winooski",Closed; assist to Winooski Police
Agency Assist / Homicide,18UV003811,06/09/2018,2124,06/09/2018,2124,"Blue Bridge, Burlington",Closed; assist to Burlington Police
Unsecure Premise,18UV003812,06/09/2018,2155,06/09/2018,2155,Redstone Apartments,Closed
Intoxication,18UV003821,06/10/2018,0128,06/10/2018,0128,"Main St, Burlington",Closed; non affiliate accepted at ACT 1 for detox; alcohol ticket issued
Agency Assist,18UV003822,06/10/2018,0132,06/10/2018,0132,"Church St, Burlington",Closed
Intoxication,18UV003823,06/10/2018,0239,06/10/2018,0239,"Main St, Burlington",Closed; non affiliate accepted at ACT 1 for detox
Building/Room Lockout,18UV003826,06/10/2018,0542,06/10/2018,0542,Dana Medical Library,Closed
Animal Problem,18UV003828,06/10/2018,1215,06/10/2018,1215,Centennial Field ; Virtue Field,Closed
Voyeurism,18UV003829,06/10/2018,1254,06/10/2018,1230 - 1254,HSRF,Closed; affiliate cited to appear in court for Voyeurism
Larceny,18UV003837,06/11/2018,1555,2015,Unk,Farrell Hall,Open
Suspicious Behavior,18UV003851,06/12/2018,0333,06/12/2018,0333,Fleming Parking Lot,Closed
ATM Alarm,18UV003853,06/12/2018,0842,06/12/2018,0842,University Health Center,Closed
Citizen Assist,18UV003854,06/12/2018,1318,06/12/2018,1318,UVM Police Services,Closed
Gas Leak,18UV003857,06/12/2018,1411,06/12/2018,1411,Old Mill Outside,Closed; referred to Burlington Fire & Vermont Gas
Animal Problem,18UV003858,06/12/2018,1454,06/12/2018,1454,Interfaith Center Outside,Closed; non substantiated
Larceny,18UV003859,06/12/2018,1808,06/12/2018,Unk,Medical Education Center Outside,Open
Traffic / Driving While Suspended,18UV003861,06/12/2018,1820,06/12/2018,1820,Mansfield Ave / Colchester Ave,Closed; non affiliate cited into court for Driving While Suspended
Unsecured Premise,18UV003864,06/12/2018,2051,06/12/2018,2051,Perkins,Closed
Traffic / DUI,18UV003867,06/12/2018,2152,06/12/2018,2152,North Union St / Hickok Pl,Closed; non affiliate cited into court for DUI
Agency Assist / Welfare Check,18UV003868,06/12/2018,2217,06/12/2018,2217,Bailey Howe Library Outside,Closed; assist to Burlington Police
Agency Assist / Accident,18UV003870,06/13/2018,0029,06/13/2018,0029,"Williston Rd / Kennedy Dr, So. Burlington",Closed; assist to So. Burlington Police
Agency Assist / Trespassing,18UV003871,06/13/2018,0049,06/13/2018,0049,"Williston Rd, So. Burlington",Closed; assist to So. Burlington Police
Agency Assist / Welfare Check,18UV003872,06/13/2018,0111,06/13/2018,0111,"Farrell St, So. Burlington",Closed; assist to So. Burlington Police
Intrusion Alarm,18UV003876,06/13/2018,0628,06/13/2018,0628,Englesby House,Closed
Agency Assist / Motorist Assist,18UV003877,06/13/2018,0837,06/13/2018,0837,"Williston Rd, S Burlington",Closed; assist to South Burlington Police
Suspicious Event,18UV003878,06/13/2018,0851,06/13/2018,0851,"UVM Extension Office, Berlin",Open
Larceny From Motor Vehicle,18UV003882,06/13/2018,1354,06/13/2018,Unk,Wing-Davis-Wilks Lot,Open
Fire Alarm,18UV003884,06/13/2018,1636,06/13/2018,1636,CCRH,Closed
Elevator Alarm,18UV003892,06/14/2018,0210,06/14/2018,0210,Living and Learning,Closed
Ordinance Violation / Safety Escort,18UV003893,06/14/2018,0239,06/14/2018,0239,"S Williams St / Main St, Burlington",Closed
Information / Safety Planning / Citizen Assist,18UV003896,06/14/2018,1010,06/14/2018,1010,Police Services,Closed
Larceny - Bicycle,18UV003897,06/14/2018,1617,05/18 - 06/14/2018,Unk,Wing Davis Wilks Outside,Open
Suspicious Event,18UV003905,06/14/2018,2215,06/14/2018,2215,Davis Center,Closed
DUI,18UV003906,06/15/2018,0021,06/15/2018,0021,"Williston Rd, S Burlington",Closed; non affiliate cited to appear in court for DUI
Agency Assist / Suspicious Vehicle,18UV003913,06/15/2018,1808,06/15/2018,1808,Williston Rd,Closed; assist to So. Burlington Police
Agency Assist / Domestic Disturbance,18UV003915,06/15/2018,2022,06/15/2018,2022,"St. Peter St, Winooski",Closed; assist to Winooski Police
Agency Assist / Mental Health Issue,18UV003919,06/16/2018,0030,06/16/2018,0030,"W. Canal St, Winooski",Closed; assist to Winooski Police
Fire Alarm,18UV003928,06/16/2018,1833,06/16/2018,1833,Christie Hall,Closed
Welfare Check,18UV003929,06/16/2018,1840,06/16/2018,1840,Main St / University Pl,Closed; non affiliate located
Unsecured Premise,18UV003938,06/16/2018,2315,06/16/2018,2315,Patrick Gym,Closed
Agency Assist / Disturbance,18UV003946,06/17/2018,0058,06/17/2018,0058,Church St / Main St,Closed; assist to Burlington Police
Agency Assist / DUI,18UV003947,06/17/2018,0059,06/17/2018,0059,Williston Rd @ Staples Plaza,Closed; assist to So. Burlington Police
Intoxication,18UV003952,06/17/2018,0145,06/17/2018,0145,Wheeler House Outside,Closed; non affiliate detoxed at ACT 1
Agency Assist / Welfare Check,18UV003955,06/17/2018,0215,06/17/2018,0215,"Dorset St, So. Burlington",Closed; assist to So. Burlington Police
Agency Assist / Disturbance,18UV003957,06/17/2018,0232,06/17/2018,0232,Church St / Main St,Closed; assist to Burlington Police
Larceny - Bicycle,18UV003975,06/17/2018,1154,06/17/2018,1154,Christie Hall,Closed; property recovered; report to CSC
911 Hang Up / Alarm,18UV003981,06/17/2018,1526,06/17/2018,1526,Living & Learning,Closed
Agency Assist / Disturbance,18UV003993,06/17/2018,2212,06/17/2018,2212,"W Allen St, Winooski",Closed; assist to Winooski Police
Domestic Disturbance,18UV003997,06/172/018,2318,06/17/2018,2318,University Hgts South 2,Closed
Welfare Check,18UV004004,06/18/2018,0040,06/18/2018,0040,Colchester Ave / Mansfield Ave,Closed; non affiliate located
Citizen Assist,18UV004007,06/18/2018,0157,06/18/2018,0157,Pearl St / Hungerford Ter,Closed
Intrusion Alarm,18UV004014,06/18/2018,1112,06/18/2018,1112,Fleming Museum,Closed
Citizen Assist,18UV004015,06/18/2018,1150,06/18/2018,1150,Bailey Howe Library,Closed
Agency Assist / Background Check,18UV004017,06/18/2018,1444,06/18/2018,1444,UVM Police Services,Closed; assist to US Department of Personnel Management
Intrusion Alarm,18UV004018,06/18/2018,1539,06/18/2018,1539,Fleming Museum,Closed
Unsecure Premixe,18UV004020,06/18/2018,1808,06/18/2018,1808,Billings Library,Closed
Citizen Assist,18UV004028,06/18/2018,2222,06/18/2018,2222,"Training & Compliance Office, Essex",Closed
DUI,18UV004029,06/18/2018,2301,06/18/2018,2301,"S Prospect St / Maple St, Burlington",Closed; non affiliate cited to appear in court for DUI
Blue Light Alarm,18UV004043,06/19/2018,2108,06/19/2018,2108,Delehanty Hall,Closed
Unsecure Premise,18UV004047,06/19/2018,2316,06/19/2018,2316,Patrick Gym,Closed
Unsecure Premise,18UV004048,06/19/2018,2328,06/19/2018,2328,University Heights South,Closed
Welfare Check,18UV004049,06/19/2018,2341,06/19/2018,2341,Spear St / Williston Rd,Closed; non affiliate located
Fire Alarm,18UV004052,06/20/2018,0756,06/20/2018,0756,UVM Outing Club,Closed
Property Damage,18UV004059,06/20/2018,2123,06/20/2018,2123,UVM Parking Garage,Closed
Trespassing,18UV004064,06/21/2018,0342,06/21/2018,0342,Helipad Area,Closed; non affiliate escorted off property
Intrusion Alarm,18UV004066,06/21/2018,0944,06/21/2018,0944,Large Animal Facility,Closed
Fire Alarm,18UV004067,06/21/2018,1048,06/21/2018,1048,Marsh Hall,Closed
Suspicious Event,18UV004081,06/21/2018,2255,06/21/2018,2255,Southwick Parking Lot,Closed
Fire Alarm,18UV004084,06/21/2018,2319,06/21/2018,2319,University Hgts North 2,Closed
Suspicious Event,18UV004088,06/21/2018,2351,06/21/2018,2351,PFG,Closed; non substantiated
Property Damage,18UV004089,06/22/2018,0011,06/22/2018,0011,Catholic Center,Closed
Unsecured Premise,18UV004090,06/22/2018,0030,06/22/2018,0030,Trinity Campus Villa,Closed
Accident - Property Damage,18UV004092,06/22/2018,0727,06/22/2018,0727,Harris Millis Lot,Closed
Fire Alarm,18UV004094,06/22/2018,1005,06/22/2018,1005,Patrick Gym,Closed
Building/Room Lockout,18UV004096,06/22/2018,1716,06/22/2018,1716,Aiken,Closed
Larceny - Building,18UV004106,06/22/2018,2347,06/19 - 06/22/2018,Unk,Discovery / STEM,Closed; unfounded
Agency Assist / BPD Joint Patrol,18UV004108,06/23/2018,0132,06/23/2018,0132,"Church / Main St, Burlington",Closed; assist to Burlington Police
Agency Assist,18UV004109,06/23/2018,0219,06/23/2018,0219,"Williston Rd, S Burlington",Closed; assist to South Burlington Police
Building/Room Lockout,18UV004111,06/23/2018,0441,06/23/2018,0441,University Heights North,Closed
Agency Assist / Motor Vehicle Accident,18UV004112,06/23/2018,0850,06/23/2018,0850,"Main St / Spear St, Burlington",Closed; assist to Burlington Police
Accident - Property Damage,18UV004114,06/23/2018,0936,06/23/2018,0936,UVM Admissions lot,Closed
Fire Alarm,18UV004115,06/23/2018,1243,06/23/2018,1243,Waterman,Closed
Agency Assist / Aggravated Assault / K9 Track,18UV004116,06/23/2018,1316,06/23/2018,1316,"Pine St, Burlington",Closed; assist to Burlington and Milton Police
Welfare Check,18UV004126,06/24/2018,0008,06/24/2018,0008,"Colchester Ave / East Ave bus stop, Burlington",Closed
Agency Assist / BPD Joint Patrol,18UV004128,06/24/2018,0129,06/24/2018,0129,"Church / Main St, Burlington",Closed; assist to Burlington Police
Agency Assist / Intoxication,18UV004135,06/24/2018,2103,06/24/2018,2103,UVM Medical Center,Closed; assist to Burlington Police
Agency Assist / Accident - LSA,18UV004136,06/24/2018,2220,06/24/2018,2220,"Hickok St, Winooski",Closed; assist to Winooski Police
Unsecure Premise,18UV004139,06/25/2018,0107,06/25/2018,0107,Catholic Center,Closed
Unsecure Premise,18UV004140,06/25/2018,0120,06/25/2018,0120,Harris-Millis,Closed
Welfare Check,18UV004141,06/25/2018,0241,06/25/2018,0241,Harris,Closed; affiliate located
Suspicious Event / Property Damage,18UV004142,06/25/2018,0735,Unk,Unk,Catholic Center,Closed
Agency Assist,18UV004145,06/25/2018,0926,06/25/2018,0926,UVM Police Services,Closed; assist to Green Mountain CISM
Larceny,18UV004148,06/25/2018,1714,06/25/2018,1200-1700,Marsh Austin Tupper Outside,Open
Agency Assist / Traffic,18UV004154,06/25/2018,2228,06/25/2018,2228,Main St / Beaumont Ave,Closed; assist to So. Burlington Police
Unsecured Premise,18UV004161,06/25/2018,2349,06/25/2018,2349,Living & Learning,Closed
Agency Assist / Traffic,18UV004165,06/26/2018,0154,06/26/2018,0154,Spear St / PFG Rd,Closed; assist to So. Burlington Police
Vandalism,18UV004171,06/26/2018,1601,Unk,Unk,Blasberg Horticulture Farm,Open
Fire Alarm,18UV004177,06/26/2018,1934,06/26/2018,1934,Perkins,Closed
Agency Assist / Intoxication,18UV004183,06/26/2018,2256,06/26/2018,2256,"East St, Winooski",Closed; assist to Winooski Police
Agency Assist / Mental Health Issue,18UV004184,06/26/2018,2316,06/26/2018,2316,"Dufresne Dr, Winooski",Closed; assist to Winooski Police
Fire Alarm,18UV004187,06/27/2018,1257,06/27/2018,1257,University Hgts North 1,Closed
Fraud,18UV004188,06/27/2018,1308,06/19/2018,Unk,Living & Learning,Open
Intrusion Alarm,18UV004189,06/27/2018,1751,06/27/2018,1751,466 S. Prospect St,Closed
Intrusion Alarm,18UV004213,06/29/2018,0716,06/29/2018,0716,Nolan House,Closed
Agency Assist / Larceny,18UV004215,06/29/2018,0935,06/29/2018,0935,"Hinesburg Rd, S Burlington",Closed; assist to South Burlington Police
Intrusion Alarm,18UV004220,06/29/2018,1748,06/29/2018,1748,Fleming Museum,Closed
Citizen Assist / Safety Escort,18UV004224,06/29/2018,2249,06/29/2018,2249,"Dorset St, S Burlington",Closed
Agency Assist,18UV004230,06/30/2018,0131,06/30/2018,0131,"Church St, Burlington",Closed; assist to Burlington Police
Agency Assist / Domestic Disturbance,18UV004231,06/30/2018,0257,06/30/2018,0257,"Williston Rd, S Burlington",Closed; assist to South Burlington Police
Noise,18UV004233,06/30/2018,0822,06/30/2018,0822,Redstone Lofts Lot,Closed
Building/Room Lockout,18UV004244,07/01/2018,0055,07/01/2018,0055,UVM Campus,Closed
Agency Assist / Search,18UV004245,07/01/2018,0130,07/01/2018,0130,"Twin Oaks Ter, S Burlington",Closed; assist to South Burlington Police
Agency Assist,18UV004247,07/01/2018,0204,07/01/2018,0204,"Church St, Burlington",Closed; assist to Burlington Police
Agency Assist / Elevator Emergency,18UV004248,07/01/2018,0943,07/01/2018,0943,Kalkin Building,Closed; assist to Burlington Fire Department
Noise,18UV004254,07/01/2018,1322,07/01/2018,1322,Redstone Lofts Lot,Closed
Fire Alarm,18UV004255,07/01/2018,1355,07/01/2018,1355,Villa,Closed
Building/Room Lockout,18UV004258,07/01/2018,1516,07/01/2018,1516,Old Mill,Closed
Building/Room Lockout,18UV004259,07/01/2018,1613,07/01/2018,1613,Given,Closed
Fire Alarm,18UV004274,07/02/2018,0042,07/02/2018,0042,Votey,Closed
Agency Assist / Intrusion Alarm,18UV004275,07/02/2018,0147,07/02/2018,0147,"Williston Rd, S Burlington",Closed; assist to South Burlington Police
Agency Assist / Disturbance,18UV004276,07/02/2018,0245,07/02/2018,0245,"Forest St, S Burlington",Closed; assist to South Burlington Police
Fire Alarm,18UV004277,07/02/2018,0254,07/02/2018,0254,Gutterson,Closed
Agency Assist,18UV004278,07/02/2018,0430,07/02/2018,0430,"Summerfield Ave, S Burlington",Closed; assist to South Burlington Police
Agency Assist / Accident,18UV004280,07/02/2018,0830,07/02/2018,0830,Fletcher Pl @ Ira Allen School,Closed; assist to Burlington Police
Accident - Property Damage,18UV004286,07/02/2018,1457,07/02/2018,1457,University Hgts Outside,Closed
Fire Alarm,18UV004288,07/02/2018,1847,07/02/2018,1847,Mercy Hall,Closed
Agency Assist / Intoxication,18UV004289,07/02/2018,1859,07/02/2018,1859,"Williston Rd, So. Burlington",Closed; assist to So. Burlington Police & Fire; non affiliate referred to ACT 1 & Corrections for Detox.
Citizen Assist,18UV004294,07/02/2018,2332,07/02/2018,2332,UVM Police Services,Closed
Unsecured Premise,18UV004297,07/03/2018,0022,07/03/2018,0022,Southwick,Closed
Fire Alarm,18UV004301,07/03/2018,0726,07/03/2018,0726,"UVM Freezer Farm, Flynn Ave",Closed
Intrusion Alarm,18UV004302,07/03/2018,0747,07/03/2018,0747,Fleming,Closed
Medical Assist,18UV004304,07/03/2018,1451,07/03/2018,1451,UVM Student Health Services,Closed; affiliate transported to UVM MC ER
Agency Assist / Accident,18UV004306,07/03/2018,1907,07/03/2018,1907,Main St / W Spring St,Closed; assist to Winooski Police
Motorist Assist,18UV004307,07/03/2018,1943,07/03/2018,1943,Main St / University Pl,Closed
Agency Assist / DUI,18UV004313,07/04/2018,0055,07/04/2018,0055,College St / S Prospect St,Closed; assist to So. Burlington Police
Property Damage,18UV004318,07/04/2018,0806,Unk,Unk,Catholic Center Outside,Closed
Intrusion Alarm,18UV004320,07/04/2018,1103,07/04/2018,1103,Fleming,Closed
Suspicious Event,18UV004323,07/04/2018,2018,Unk,Unk,Hamilton Hall,Closed
Noise / Alarm,18UV004332,07/05/2018,0220,07/05/2018,0220,Redstone Lofts Parking Lot,Closed
Suspicious Event,18UV004336,07/05/2018,1440,07/05/2018,1420,MAT outside,Closed
Agency Assist / Domestic Disturbance,18UV004340,07/05/2018,1845,07/05/2018,1845,"N Union St, Burlington",Closed; assist to Burlington Police
DUI / Driving License Suspended,18UV004349,07/06/2018,0211,07/06/2018,0211," E Allen St, Winooski",Closed; non affiliate cited to appear in court for DUI and Driving License Suspended
Fire Alarm,18UV004350,07/06/2018,0359,07/06/2018,0359,Redstone Apartments,Closed
Suspicious Event / Trespass,18UV004353,07/06/2018,0638,07/06/2018,0638,Billings,Closed
Motorist Assist,18UV004358,07/07/2018,0043,07/07/2018,0043,"Williston Rd, S Burlington",Closed
Agency Assist,18UV004360,07/07/2018,0130,07/07/2018,0130,"Church St, Burlington",Closed; assist to Burlington Police
DUI,18UV004361,07/07/2018,0152,07/07/2018,0152,"Dorset St, S Burlington",Closed; non affiliate cited to appear in court for DUI
Building/Room Lockout,18UV004362,07/07/2018,0714,07/07/2018,0714,Southwick Building,Closed
Building/Room Lockout,18UV004364,07/07/2018,0744,07/07/2018,0744,Main Campus,Closed
Suspicious Event,18UV004371,07/07/2018,1159,07/07/2018,1159,Bailey Howe Library / Davis Center,Closed
Vehicle Jumpstart/Lockout,18UV004372,07/07/2018,1208,07/07/2018,1208,McAuley Lot,Closed
Blue Light Alarm,18UV004378,07/07/2018,1909,07/07/2018,1909,Southwick Outside,Closed
Agency Assist,18UV004379,07/07/2018,1937,07/07/2018,1937,"East Ave, Burlington",Closed; assist to Burlington Police
Agency Assist / Noise  / Alcohol Offense,18UV004382,07/07/2018,2251,07/07/2018,2251,"Spear St, S Burlington",Closed; report to CSC
Larceny from  Motor Vehicle,18UV004383,07/07/2018,2316,07/07/2018,2040 - 2316,Hunt Hall Lot,Closed
Agency Assist,18UV004384,07/08/2018,0122,07/08/2018,0122,"Church St, Burlington",Closed
Intrusion Alarm,18UV004386,07/08/2018,0953,07/08/2018,0953,"Training and Compliance Office, Essex",Closed
Motor Vehicle Complaint,18UV004388,07/08/2018,1847,07/08/2018,1847,Redstone Lofts,Closed
Accident - Leaving the Scene,18UV004394,07/09/2018,1200,07/09/2018,1200,University Hgts,Closed
Agency Assist / Background Check,18UV004397,07/09/2018,1356,07/09/2018,1356,UVM Police Services,Closed; assist to U.S. Office of Personnel Mgmt
Agency Assist / Background Check,18UV004398,07/09/2018,1400,07/09/2018,1400,UVM Police Services,Closed; assist to Illinois State Bar Admissions
Agency Assist / Background Check,18UV004399,07/09/2018,1413,07/09/2018,1413,UVM Police Services,"Closed; assist to Seattle, WA Police Dept."
Suspicious Event,18UV004407,07/09/2018,2024,07/09/2018,2024,Davis Hall Parking Lot,Closed
Suspicious Behavior,18UV004412,07/09/2018,2255,07/09/2018,2255,Simpson Hall Dining,Closed
Citizen Assist,18UV004414,07/09/2018,2319,07/09/2018,2319,Redstone Lofts Parking Lot,Closed
Fire Alarm / Odor Investigation,18UV004420,07/10/2018,0944,07/10/2018,0944,Votey & Kalkin Hall,Closed
Intrusion Alarm,18UV004423,07/10/2018,1751,07/10/2018,1751,Fleming,Closed
Unsecured Premise,18UV004428,07/10/2018,2316,07/10/2018,2316,Virtue Field Announcers Booth,Closed
Agency Assist / Trespassing,18UV004430,07/11/2018,0203,07/11/2018,0203,"Dorset St, So. Burlington",Closed; assist to So. Burlington Police
Larceny,18UV004434,07/11/2018,1046,Unk,Unk,Given,Open
Larceny / Vandalism,18UV004435,07/11/2018,1051,Unk,Unk,PFG,Open
Citizen Assist,18UV004436,07/11/2018,1156,07/11/2018,1156,Perkins Outside,Closed
Larceny,18UV004438,07/11/2018,2029,0710-/11/2018,2200-1700,Living & Learning,Open
Suspicious Vehicle,18UV004441,07/12/2018,0009,07/12/2018,0009,Interfaith Center Parking Lot,Closed
Suspicious Behavior,18UV004444,07/12/2018,0118,07/12/2018,0118,"Williston Rd, So. Burlington",Closed
Fire Alarm,18UV004446,07/12/2018,0702,07/12/2018,0702,Patrick Gym,Closed
Disturbance,18UV004451,07/12/2018,1627,07/12/2018,1627,Given Lot,Closed
Unsecure Premise,18UV004452,07/12/2018,2103,07/12/2018,2103,Mann Hall,Closed
Motorist Assist,18UV004454,07/12/2018,2205,07/12/2018,2205,"Spear St, S Burlington",Closed
Blue Light Alarm,18UV004466,07/13/2018,2036,07/13/2018,2036,Stafford Building,Closed
Intrusion Alarm,18UV004470,07/14/2018,0416,07/14/2018,0416,466 S Prospect St,Closed
Blue Light Alarm,18UV004471,07/14/2018,0425,07/14/2018,0425,Davis Center Outside,Closed
Building/Room Lockout,18UV004473,07/14/2018,1449,07/14/2018,1449,Marsh-Austin-Tupper,Closed
Medical Assist,18UV004474,07/14/2018,1450,07/14/2018,1450,Virture Field,Closed; non-affiliate transported to UVMMC by UVM Rescue
Medical Assist,18UV004476,07/14/2018,1750,07/14/2018,1750,Virtue Field,Closed; non-affiliate transported to UVMMC by UVM Rescue
Blue Light Alarm,18UV004479,07/14/2018,2301,07/14/2018,2301,16 Colchester Ave,Closed
Agency Assist,18UV004484,07/15/2018,0133,07/15/2018,0133,"Church St, Burlington",Closed; assist to Burlington Police
Building/Room Lockout,18UV004488,07/15/2018,1531,07/15/2018,1531,Harris Hall,Closed
Larceny,18UV004496,07/16/2018,1257,07/13/2018,Unk,Living & Learning,Open
Property Damage,18UV004503,07/16/2018,1607,07/12/2018,Unk,University Hgts North 2,Closed
Blue Light Alarm,18UV004504,07/16/2018,1624,07/16/2018,1624,Terrill Hall Outside,Closed
Intrusion Alarm,18UV004505,07/16/2018,1630,07/16/2018,1630,466 S Prospect St,Closed
Fire Alarm,18UV004507,07/16/2018,2039,07/16/2018,2039,Simpson Hall,Closed
Unsecured Premise,18UV004510,07/16/2018,2149,07/16/2018,2149,PFG,Closed
Citizen Assist,18UV004516,07/17/2018,1033,07/17/2018,1033,Votey,Closed
Citizen Assist,18UV004518,07/17/2018,1252,07/17/2018,1252,UVM Horse Barn,Closed
Unsecured Premise,18UV004524,07/17/2018,2236,07/17/2018,2236,PFG,Closed
Traffic / Driving While Suspended,18UV004525,07/17/2018,2252,07/17/2018,2252,"Grove St / Chase St, Burlington",Closed; non affiliate cited into court for Driving While Suspended
Welfare Check,18UV004531,07/18/2018,0628,07/18/2018,0628,"Training & Compliance Outside, Ryan St, Essex",Closed
Agency Assist,18UV004533,07/18/2018,0951,07/18/2018,0951,UVM MC Construction Area,Closed; assist to Burlington Fire & Rescue
Property Damage,18UV004536,07/18/2018,1458,07/17/2018,0700-1500,284 East Ave Parking Lot,Closed
Suspicious Event,18UV004543,07/18/2018,2214,07/18/2018,2214,Trinity Campus Villa,Closed
Agency Assist / Trespassing,18UV004548,07/19/2018,0516,07/19/2018,0516,"Williston Rd / Exit 14W, So. Burlington",Closed; assist to So. Burlington Police
