year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,rape,unit_id,control_of_institution,level_of_institution,total_price_oncampus_oos,total_price_oncampus_is,total_price_oncampus_id,total_price_offcampus_id,total_price_offcampus_is,total_price_offcampus_oos,total_price_offcampus_id_wfam,total_price_offcampus_is_wfam,total_price_offcampus_oos_wfam,frac_admitted_total,fulltime_retention_rate,undergraduate_enrollment,fulltime_undergraduate_enrollment,frac_total_black,frac_total_hispanic_latino,frac_total_asian,frac_total_white,frac_undergrad_asian,frac_undergrad_white,frac_undergrad_hispanic_latino,frac_undergrad_black,frac_ftime_undergrad_instate,frac_ftime_undergrad_outofstate,frac_ftime_undergrad_foreign_countries,total_enrollment,fulltime_enrollment,graduation_rate_total_cohort,frac_ftime_undergrad_award_any_financial_aid,frac_ftime_undergrad_award_student_loans,frac_core_revenues_tuition_fees,frac_core_revenues_state_apro,frac_core_revenues_local_apro,frac_core_revenues_gov_contracts,frac_core_revenues_priv_gifts_grants,frac_core_revenues_invest_return,frac_core_revenues_other,endowment_assests,state_abbreviation,degreegranting_status,longitude,latitude,calendar_system,sat_math_25,sat_math_75,sat_reading_75,sat_reading_25,student_to_faculty_ratio
2019,Monmouth University,3,36,7,30,3,36,0,0.0410958904109589,0,185572,Private not-for-profit,4-year,59054,59054,59054,54092,54092,54092,44854,44854,44854,0.77,81,4450,4301,0.06,0.13,0.03,0.69,0.03,0.7,0.14,0.05,0.76,0.22,0.01,5953,4912,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.006447,40.280066,Semester,520,620,620,530,12
2014,Murray State University,7,75,29,99,17,75,0,0,0,157401,Public,4-year,32134,19414,19414,19414,19414,32134,11502,11502,24222,0.8,72,9444,7370,0.07,0.02,0.01,0.8,0.01,0.82,0.02,0.07,0.62,0.35,0.03,11207,8080,52,0.99,0.56,0.43,0.31,0,0.18,0.01,0.02,0.05,7744,KY,1,-88.323493,36.61241,Semester,460,560,550,430,16
2015,Murray State University,13,37,28,101,15,37,0,0,0,157401,Public,4-year,33139,20035,20035,20035,20035,33139,11829,11829,24933,0.91,72,9268,7162,0.07,0.02,0.01,0.79,0.01,0.81,0.02,0.07,0.6,0.36,0.04,10998,7913,49,0.99,0.55,0.44,0.29,0,0.17,0.01,0.01,0.09,7385,KY,1,-88.323493,36.61241,Semester,470,570,590,480,15
2016,Murray State University,14,46,23,70,8,46,0,0,1,157401,Public,4-year,36052,21772,21772,21772,21772,36052,13184,13184,27464,0.85,74,8877,6980,0.06,0.02,0.01,0.8,0.01,0.81,0.02,0.06,0.59,0.39,0.02,10486,7640,49,0.94,0.55,0.38,0.24,0,0.14,0.01,0.01,0.22,7332,KY,1,-88.323629,36.612419,Semester,463,560,595,480,15
2017,Murray State University,18,25,23,83,7,25,0,0,5,157401,Public,4-year,37870,22870,22870,23532,23532,38532,14626,14626,29626,0.87,77,8559,6584,0.06,0.02,0.01,0.81,0.01,0.82,0.02,0.06,0.62,0.36,0.01,10012,7118,49,0.97,0.57,0.4,0.26,0,0.15,0.01,0.02,0.17,9232,KY,1,-88.323629,36.612419,Semester,510,630,560,470,15
2018,Murray State University,16,14,16,46,13,14,0,0.3013698630136986,5,157401,Public,4-year,38928,23472,23472,24067,24067,39523,14877,14877,30333,0.81,79,8056,6236,0.06,0.02,0.01,0.81,0.01,0.82,0.02,0.06,0.66,0.33,0.01,9454,6770,55,0.99,0.51,0.4,0.27,0,0.17,0.01,0.02,0.13,10847,KY,1,-88.323629,36.612419,Semester,510,600,613,518,15
2019,Murray State University,11,12,31,62,9,12,0,0,6,157401,Public,4-year,39318,23694,23694,25388,25388,41012,14998,14998,30622,0.82,79,8139,6190,0.06,0.02,0.01,0.8,0.01,0.81,0.02,0.06,0.63,0.35,0.01,9556,6718,55,NA,NA,0.37,0.28,0,0.18,0.01,0.03,0.12,11764,NA,NA,-88.323629,36.612419,Semester,505,620,630,530,15
2014,North Carolina Central University,5,25,61,91,34,25,0,0,2,199157,Public,4-year,30283,18868,18868,19268,19268,30683,9736,9736,21151,0.43,77,5917,5035,0.76,0.03,0.01,0.11,0.01,0.06,0.03,0.81,0.86,0.14,0,7687,6224,47,0.98,0.85,0.24,0.47,0,0.23,0,0.03,0.03,3524,NC,1,-78.898602,35.974237,Semester,410,480,480,400,15
2015,North Carolina Central University,8,17,79,96,25,17,0,0,4,199157,Public,4-year,32036,19998,19998,20398,20398,32436,10866,10866,22904,0.66,80,6168,5247,0.75,0.03,0.01,0.11,0.01,0.07,0.04,0.79,0.87,0.12,0,8011,6522,42,0.97,0.85,0.23,0.5,0,0.24,0,0.02,0.02,3962,NC,1,-78.898602,35.974237,Semester,410,470,470,400,16
2016,North Carolina Central University,10,29,97,77,37,29,0,0,7,199157,Public,4-year,33993,21535,21535,21935,21935,34393,12299,12299,24757,0.67,81,6283,5342,0.75,0.05,0.01,0.11,0.01,0.07,0.05,0.79,0.79,0.2,0,8094,6648,43,0.97,0.85,0.24,0.48,0,0.25,0.01,0,0.03,3561,NC,1,-78.898602,35.974237,Semester,410,470,470,400,16
2017,North Carolina Central University,11,25,120,59,56,25,0,0,3,199157,Public,4-year,34905,22198,22198,22598,22598,35305,12746,12746,25453,0.83,77,6355,5363,0.75,0.05,0.01,0.11,0.01,0.07,0.06,0.79,0.85,0.15,0,8097,6634,44,0.97,0.87,0.26,0.46,0,0.23,0.01,0.02,0.03,4351,NC,1,-78.898602,35.974237,Semester,450,510,520,450,16
2018,North Carolina Central University,17,18,105,66,22,18,0,0,8,199157,Public,4-year,37126,24419,24419,24819,24819,37526,14569,14569,27276,0.47,82,6434,5328,0.75,0.06,0.01,0.1,0.01,0.06,0.06,0.78,0.75,0.21,0,8207,6564,46,0.93,0.81,0.25,0.45,0,0.24,0,0.03,0.03,4757,NC,1,-78.898602,35.974237,Semester,450,520,530,450,16
2019,North Carolina Central University,19,25,95,57,20,25,1,0,10,199157,Public,4-year,37173,24466,24466,24866,24866,37573,14639,14639,27346,0.68,76,6101,5012,0.74,0.06,0.01,0.11,0.01,0.06,0.07,0.78,0.78,0.2,0,8011,6287,49,NA,NA,0.24,0.43,0,0.24,0,0.02,0.07,5241,NA,NA,-78.898602,35.974237,Semester,440,520,530,450,16
2014,North Carolina State University at Raleigh,NA,NA,NA,NA,NA,NA,NA,0,NA,199193,Public,4-year,38209,22954,22954,22954,22954,38209,16710,16710,31965,0.52,93,24473,21402,0.07,0.04,0.05,0.67,0.06,0.73,0.04,0.07,0.84,0.14,0.03,33989,26965,75,0.7,0.45,0.2,0.38,0,0.18,0.11,0.02,0.11,29258,NC,1,-78.674517,35.785111,Semester,600,680,650,560,16
2015,North Carolina State University at Raleigh,16,89,126,260,4,89,8,0.136986301369863,0,199193,Public,4-year,38749,22398,22398,22398,22398,38749,12087,12087,28438,0.5,93,24111,21023,0.06,0.04,0.05,0.66,0.05,0.73,0.05,0.06,0.85,0.12,0.03,34015,26767,75,0.69,0.43,0.21,0.37,0,0.18,0.12,0.02,0.11,32673,NC,1,-78.674517,35.785111,Semester,590,680,650,570,15
2016,North Carolina State University at Raleigh,43,86,136,230,6,86,26,0,4,199193,Public,4-year,40558,23039,23039,23039,23039,40558,16479,16479,33998,0.48,93,23827,20951,0.06,0.04,0.05,0.66,0.06,0.72,0.05,0.06,0.84,0.11,0.05,33755,26776,77,0.69,0.4,0.22,0.38,0,0.18,0.12,0,0.11,33408,NC,1,-78.674517,35.785111,Semester,600,690,660,570,13
2017,North Carolina State University at Raleigh,39,73,130,239,5,73,20,0,1,199193,Public,4-year,42048,23700,23700,23700,23700,42048,17082,17082,35430,0.51,94,24150,21384,0.06,0.05,0.06,0.63,0.06,0.69,0.05,0.06,0.85,0.11,0.04,34432,27415,79,0.7,0.47,0.22,0.36,0,0.18,0.12,0.03,0.11,37652,NC,1,-78.674517,35.785111,Semester,620,710,680,610,13
2018,North Carolina State University at Raleigh,38,30,174,191,3,30,30,0,2,199193,Public,4-year,43320,23977,23977,23977,23977,43320,17263,17263,36606,0.47,94,25199,22317,0.06,0.05,0.06,0.62,0.07,0.67,0.06,0.06,0.85,0.11,0.03,35479,28368,81,0.68,0.43,0.22,0.35,0,0.17,0.11,0.03,0.11,42285,NC,1,-78.674517,35.785111,Semester,630,710,680,620,14
2019,North Carolina State University at Raleigh,56,60,176,188,8,60,9,0,0,199193,Public,4-year,44378,24259,24259,24259,24259,44378,17545,17545,37664,0.45,94,25973,22820,0.06,0.06,0.07,0.62,0.08,0.67,0.06,0.06,0.87,0.1,0.03,36304,28791,82,NA,NA,0.22,0.33,0,0.19,0.11,0.03,0.12,44684,NA,NA,-78.674517,35.785111,Semester,630,730,690,620,14
2014,Ohio State University-Main Campus,20,174,221,964,20,174,0,0,10,204796,Public,4-year,42285,25785,25785,25785,25785,42285,15879,15879,32379,0.53,94,44741,40613,0.05,0.04,0.06,0.69,0.06,0.72,0.03,0.06,0.7,0.23,0.08,58322,50624,83,0.86,0.42,0.27,0.15,0,0.17,0.13,0.22,0.06,63187,OH,1,-83.009001,39.998389,Semester,620,730,660,540,18
2015,Ohio State University-Main Campus,25,103,291,974,22,103,0,0,14,204796,Public,4-year,42907,25579,25579,25579,25579,42907,16347,16347,33675,0.49,94,45289,41117,0.05,0.04,0.06,0.68,0.06,0.71,0.04,0.06,0.69,0.25,0.05,58663,50978,83,0.88,0.41,0.33,0.17,0,0.2,0.17,0.07,0.06,63395,OH,1,-83.009001,39.998389,Semester,610,720,670,560,19
2016,Ohio State University-Main Campus,32,163,273,954,29,163,0,0,17,204796,Public,4-year,44039,25847,25847,25847,25847,44039,16203,16203,34395,0.54,94,45831,41862,0.05,0.04,0.06,0.67,0.06,0.69,0.04,0.06,0.67,0.23,0.11,59482,51817,84,0.8,0.38,0.37,0.19,0,0.2,0.18,0,0.06,63772,OH,1,-83.009001,39.998389,Semester,620,740,670,540,19
2017,Ohio State University-Main Campus,51,204,380,955,27,204,0,0.12602739726027398,40,204796,Public,4-year,46141,27037,27037,26125,26125,45229,16845,16845,35949,0.48,94,45946,42003,0.06,0.04,0.06,0.66,0.07,0.68,0.04,0.06,0.69,0.23,0.08,59837,52057,83,0.82,0.37,0.28,0.14,0,0.16,0.15,0.19,0.07,71864,OH,1,-83.014853,39.999324,Semester,650,750,700,610,19
2018,Ohio State University-Main Campus,71,265,427,776,48,265,1,0.10136986301369863,50,204796,Public,4-year,47383,27367,27367,26433,26433,46449,17023,17023,37039,0.52,95,46820,42831,0.06,0.05,0.07,0.64,0.07,0.67,0.04,0.06,0.66,0.23,0.12,61170,53129,84,0.79,0.37,0.3,0.15,0,0.17,0.16,0.15,0.07,87581,OH,1,-83.014853,39.999324,Semester,650,760,690,590,19
2019,Ohio State University-Main Campus,164,467,554,715,57,467,16,0,130,204796,Public,4-year,48889,27912,27912,26880,26880,47857,17122,17122,38099,0.54,94,46818,42776,0.06,0.05,0.07,0.64,0.08,0.65,0.05,0.07,0.67,0.25,0.08,61391,53025,86,NA,NA,0.33,0.16,0,0.19,0.16,0.08,0.07,86494,NA,NA,-83.014853,39.999324,Semester,650,770,690,600,19
2014,Ohio University-Main Campus,13,264,409,154,20,264,43,0,8,204857,Public,4-year,33822,24858,24858,25912,25912,34876,17672,17672,26636,0.74,80,23571,17019,0.05,0.03,0.01,0.8,0.01,0.83,0.03,0.05,0.86,0.12,0.02,29217,19869,67,0.92,0.66,0.49,0.22,0,0.1,0.03,0.05,0.11,19096,OH,1,-82.101064,39.326799,Semester,490,600,600,490,18
2015,Ohio University-Main Campus,28,269,528,208,18,269,29,0,10,204857,Public,4-year,35458,26494,26494,27564,27564,36528,19184,19184,28148,0.74,79,23368,17717,0.05,0.03,0.01,0.8,0.01,0.83,0.03,0.05,0.85,0.14,0.01,29012,20529,67,0.93,0.64,0.5,0.24,0,0.1,0.03,0,0.13,18443,OH,1,-82.101064,39.326799,Semester,500,610,600,490,18
2016,Ohio University-Main Campus,21,269,490,213,14,269,14,0,13,204857,Public,4-year,36120,26656,26656,27748,27748,37212,17962,17962,27426,0.75,82,23585,17866,0.06,0.03,0.01,0.8,0.01,0.83,0.03,0.05,0.87,0.12,0.01,29509,20815,64,0.94,0.67,0.52,0.24,0,0.1,0.03,-0.01,0.12,17161,OH,1,-82.100985,39.326798,Semester,500,600,600,490,18
2017,Ohio University-Main Campus,21,205,554,139,17,205,18,0,16,204857,Public,4-year,36706,27242,27242,28256,28256,37720,18134,18134,27598,0.74,80,23167,17695,0.06,0.03,0.02,0.79,0.01,0.83,0.03,0.06,0.87,0.12,0.01,29369,20805,64,0.94,0.66,0.48,0.21,0,0.09,0.02,0.07,0.13,18945,OH,1,-82.100985,39.326798,Semester,530,620,640,550,17
2018,Ohio University-Main Campus,22,125,360,96,8,125,8,0,17,204857,Public,4-year,38450,28986,28986,28986,28986,38450,18562,18562,28026,0.78,81,22309,17046,0.06,0.03,0.02,0.79,0.01,0.82,0.03,0.06,0.86,0.13,0.01,28480,20184,64,0.94,0.64,0.51,0.23,0,0.1,0.02,0.05,0.1,20398,OH,1,-82.100985,39.326798,Semester,530,630,640,540,17
2019,Ohio University-Main Campus,27,171,149,120,6,171,12,0.06027397260273973,17,204857,Public,4-year,39774,29980,29980,29980,29980,39774,18532,18532,28326,0.82,82,20989,16209,0.06,0.04,0.02,0.79,0.01,0.82,0.03,0.06,0.87,0.12,0.01,27367,19320,65,NA,NA,0.5,0.24,0,0.11,0.02,0.05,0.09,21603,NA,NA,-82.100985,39.326798,Semester,520,620,640,530,15
2014,Prairie View A & M University,4,5,22,40,52,5,0,0,0,227526,Public,4-year,32463,20996,20996,20458,20458,31925,12511,12511,23978,0.39,67,6905,6313,0.84,0.03,0.03,0.05,0.02,0.04,0.03,0.86,0.93,0.07,0,8429,6895,38,0.96,0.79,0.18,0.24,0,0.19,0.02,0.12,0.24,9548,TX,1,-95.992066,30.094591,Semester,390,480,460,370,18
2015,Prairie View A & M University,5,2,15,44,29,2,0,0,0,227526,Public,4-year,34543,22016,22016,20940,20940,33467,12831,12831,25358,0.86,66,6925,6305,0.84,0.06,0.03,0.03,0.03,0.03,0.06,0.86,0.93,0.07,0.01,8315,6875,34,0.96,0.74,0.2,0.23,0,0.19,0.02,-0.01,0.38,9197,TX,1,-95.992066,30.094591,Semester,390,470,460,380,18
2016,Prairie View A & M University,5,39,89,46,28,39,0,0,0,227526,Public,4-year,35988,22669,22669,21270,21270,34589,13148,13148,26467,0.85,69,7417,6817,0.83,0.07,0.03,0.03,0.03,0.02,0.07,0.85,0.93,0.06,0,8782,7443,31,0.95,0.74,0.17,0.23,0,0.2,0.01,0.03,0.36,9298,TX,1,-95.989475,30.092425,Semester,380,470,470,370,18
2017,Prairie View A & M University,8,5,52,34,28,5,0,0,0,227526,Public,4-year,37279,23750,23750,22703,22703,36232,14582,14582,28111,0.79,71,7975,7341,0.82,0.09,0.02,0.02,0.02,0.02,0.09,0.83,0.92,0.08,0,9219,7881,35,0.95,0.75,0.14,0.21,0,0.18,0.01,0.07,0.39,9435,TX,1,-95.989475,30.092425,Semester,430,520,530,440,20
2018,Prairie View A & M University,8,17,97,75,12,17,1,0,0,227526,Public,4-year,39157,24847,24847,23277,23277,37587,15156,15156,29466,0.74,74,8524,7953,0.83,0.09,0.02,0.02,0.02,0.02,0.09,0.84,0.89,0.11,0,9516,8427,35,0.91,0.74,0.17,0.21,0,0.2,0.01,0.05,0.36,9672,TX,1,-95.989475,30.092425,Semester,440,520,530,450,19
2019,Prairie View A & M University,15,22,113,76,36,22,0,0,0,227526,Public,4-year,40276,25408,25408,23904,23904,38772,14836,14836,29704,0.8,66,8109,7501,0.83,0.09,0.02,0.02,0.02,0.01,0.09,0.84,0.87,0.13,0,8940,7887,36,NA,NA,0.19,0.25,0,0.26,0.01,0.02,0.26,9358,NA,NA,-95.989475,30.092425,Semester,430,520,520,440,18
2014,Rollins College,NA,NA,NA,NA,NA,NA,NA,0,NA,136950,Private not-for-profit,4-year,62493,62493,62493,56356,56356,56356,46796,46796,46796,0.57,83,2670,2452,0.06,0.15,0.03,0.63,0.03,0.62,0.16,0.06,0.45,0.43,0.12,3207,2696,71,0.85,0.44,NA,NA,NA,NA,NA,NA,NA,NA,FL,1,-81.348716,28.591992,Semester,NA,NA,NA,NA,10
2015,Rollins College,2,5,13,45,13,5,0,0,0,136950,Private not-for-profit,4-year,64804,64804,64804,61556,61556,61556,48606,48606,48606,0.6,89,2687,2480,0.06,0.16,0.03,0.6,0.03,0.61,0.16,0.05,0.46,0.44,0.09,3260,2765,71,0.88,0.41,NA,NA,NA,NA,NA,NA,NA,NA,FL,1,-81.348716,28.591992,Semester,NA,NA,NA,NA,10
2016,Rollins College,4,8,11,53,22,8,0,0,0,136950,Private not-for-profit,4-year,67110,67110,67110,65470,65470,65470,50212,50212,50212,0.61,83,2642,2450,0.05,0.16,0.03,0.57,0.03,0.59,0.17,0.05,0.53,0.38,0.09,3240,2827,72,0.91,0.43,NA,NA,NA,NA,NA,NA,NA,NA,FL,1,-81.348716,28.591992,Semester,NA,NA,NA,NA,10
2017,Rollins College,3,9,6,31,11,9,0,0.14246575342465753,1,136950,Private not-for-profit,4-year,67775,67775,67775,65045,65045,65045,51455,51455,51455,0.64,83,2612,2453,0.05,0.18,0.03,0.55,0.03,0.56,0.19,0.05,0.56,0.34,0.1,3278,2850,75,0.92,0.4,NA,NA,NA,NA,NA,NA,NA,NA,FL,1,-81.349239,28.592787,Semester,NA,NA,NA,NA,11
2018,Rollins College,5,3,18,50,7,3,0,0,2,136950,Private not-for-profit,4-year,67862,67862,67862,61942,61942,61942,52152,52152,52152,0.67,86,2571,2433,0.05,0.19,0.03,0.55,0.03,0.55,0.2,0.05,0.57,0.34,0.08,3127,2784,74,0.95,0.39,NA,NA,NA,NA,NA,NA,NA,NA,FL,1,-81.349239,28.592787,Semester,NA,NA,NA,NA,10
2019,Rollins College,7,5,21,42,5,5,0,0,1,136950,Private not-for-profit,4-year,70026,70026,70026,63816,63816,63816,54116,54116,54116,0.58,87,2598,2482,0.05,0.19,0.03,0.55,0.03,0.54,0.2,0.05,0.52,0.37,0.11,3127,2760,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.349239,28.592787,Semester,NA,NA,NA,NA,11
2014,Rutgers University-New Brunswick,20,72,129,587,94,72,0,0,0,186380,Public,4-year,44711,29933,29933,35077,35077,49855,17294,17294,32072,0.6,92,34544,32411,0.08,0.11,0.22,0.43,0.26,0.43,0.12,0.07,0.83,0.06,0.1,48378,40970,81,0.69,0.52,0.27,0.3,0,0.24,0.07,0.04,0.07,16300,NJ,1,-74.45051,40.503796,Semester,570,700,640,520,16
2015,Rutgers University-New Brunswick,29,44,104,543,76,44,1,0.0684931506849315,0,186380,Public,4-year,45788,30398,30398,36434,36434,51824,18344,18344,33734,0.58,93,35484,33392,0.08,0.12,0.22,0.42,0.26,0.41,0.13,0.07,0.83,0.07,0.1,49428,42129,80,0.69,0.53,0.28,0.29,0,0.25,0.07,0.02,0.1,14988,NJ,1,-74.45051,40.503796,Semester,580,700,640,530,15
2016,Rutgers University-New Brunswick,20,102,195,548,67,102,0,0,0,186380,Public,4-year,46646,30995,30995,36669,36669,52320,18735,18735,34386,0.57,93,36168,34020,0.08,0.12,0.23,0.41,0.26,0.4,0.13,0.08,0.82,0.07,0.1,50146,42749,80,0.69,0.51,0.28,0.3,0,0.24,0.07,0.01,0.12,18015,NJ,1,-74.446251,40.498769,Semester,580,700,650,530,15
2017,Rutgers University-New Brunswick,28,131,254,431,87,131,0,0,1,186380,Public,4-year,47518,31577,31577,37511,37511,53452,19125,19125,35066,0.58,94,35641,33677,0.08,0.12,0.23,0.4,0.27,0.39,0.13,0.07,0.82,0.07,0.11,49577,42194,80,0.69,0.5,0.27,0.29,0,0.22,0.08,0.05,0.09,20218,NJ,1,-74.446251,40.498769,Semester,600,720,680,590,15
2018,Rutgers University-New Brunswick,20,98,240,421,62,98,0,0,2,186380,Public,4-year,48751,32443,32443,32681,32681,48989,22109,22109,38417,0.6,93,36039,34052,0.08,0.12,0.24,0.39,0.27,0.38,0.13,0.07,0.83,0.07,0.09,50254,42753,80,0.71,0.51,0.26,0.26,0,0.23,0.05,0.04,0.16,20853,NJ,1,-74.446251,40.498769,Semester,600,730,680,590,16
2019,Rutgers University-New Brunswick,17,70,346,379,77,70,0,0,1,186380,Public,4-year,50239,33457,33457,39232,39232,56014,22798,22798,39580,0.61,93,36158,34285,0.07,0.12,0.25,0.37,0.29,0.36,0.13,0.06,0.79,0.07,0.13,50173,42823,84,NA,NA,0.26,0.27,0,0.23,0.08,0.04,0.13,23099,NA,NA,-74.446251,40.498769,Semester,620,750,680,590,16
2014,San Diego State University,13,85,30,99,19,85,0,0,13,122409,Public,4-year,37318,26158,26158,22988,22988,34148,11457,11457,22617,0.34,88,28394,25096,0.03,0.29,0.12,0.35,0.13,0.34,0.31,0.04,0.83,0.11,0.06,33483,28141,66,0.66,0.36,0.4,0.3,0,0.17,0.04,0,0.09,6886,CA,1,-117.071228,32.77525,Semester,510,620,600,490,28
2015,San Diego State University,14,107,19,114,12,107,0,0,9,122409,Public,4-year,38611,27451,27451,23480,23480,34640,11671,11671,22831,0.34,89,29253,26010,0.04,0.29,0.13,0.34,0.14,0.34,0.31,0.04,0.82,0.12,0.07,34254,28983,68,0.62,0.33,0.4,0.3,0,0.17,0.05,0,0.09,7047,CA,1,-117.071228,32.77525,Semester,510,630,600,500,28
2016,San Diego State University,9,60,27,172,76,60,0,0,4,122409,Public,4-year,37754,26594,26594,24248,24248,35408,11829,11829,22989,0.35,89,29860,26790,0.04,0.3,0.13,0.34,0.14,0.33,0.31,0.04,0.8,0.14,0.07,34688,29756,73,0.59,0.32,0.39,0.29,0,0.15,0.03,0.01,0.14,7267,CA,1,-117.071228,32.77525,Semester,510,620,600,490,29
2017,San Diego State University,7,73,40,278,86,73,0,0,1,122409,Public,4-year,40104,28224,28224,25444,25444,37324,12306,12306,24186,0.35,89,30249,27040,0.04,0.3,0.13,0.34,0.13,0.33,0.31,0.04,0.78,0.15,0.06,35135,30070,74,0.6,0.31,0.37,0.32,0,0.15,0.03,0.01,0.13,8616,CA,1,-117.071228,32.77525,Semester,540,650,640,550,28
2018,San Diego State University,11,124,54,322,62,124,1,0.5726027397260274,6,122409,Public,4-year,41170,29318,29318,26380,26380,38232,12476,12476,24328,0.35,89,30586,27453,0.04,0.31,0.13,0.34,0.13,0.33,0.31,0.04,0.8,0.16,0.04,35303,30451,74,0.6,0.3,0.31,0.41,0,0.13,0.03,0.01,0.12,9551,CA,1,-117.071228,32.77525,Semester,550,660,650,560,27
2019,San Diego State University,16,91,57,297,94,91,1,0.14520547945205478,8,122409,Public,4-year,42402,30522,30522,26754,26754,38634,12822,12822,24702,0.34,89,30848,27638,0.04,0.31,0.13,0.34,0.13,0.34,0.32,0.04,0.81,0.17,0.03,35544,30544,73,NA,NA,0.33,0.36,0,0.14,0.03,0.02,0.12,9545,NA,NA,-117.071228,32.77525,Semester,550,670,650,560,27
2014,Southern Methodist University,10,225,42,153,15,225,0,0,0,228246,Private not-for-profit,4-year,63985,63985,63985,58040,58040,58040,49540,49540,49540,0.52,89,6391,6193,0.06,0.1,0.06,0.6,0.07,0.66,0.12,0.05,0.38,0.55,0.07,11272,8742,77,0.73,0.25,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-96.784855,32.845254,Semester,620,710,690,600,11
2015,Southern Methodist University,7,124,49,156,6,124,0,0,0,228246,Private not-for-profit,4-year,67165,67165,67165,60290,60290,60290,51790,51790,51790,0.49,90,6411,6160,0.06,0.11,0.06,0.59,0.07,0.65,0.11,0.05,0.37,0.56,0.07,11643,8860,79,0.73,0.24,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-96.784855,32.845254,Semester,620,720,690,600,11
2016,Southern Methodist University,22,183,67,157,25,183,0,0,0,228246,Private not-for-profit,4-year,69883,69883,69883,62458,62458,62458,53758,53758,53758,0.49,91,6521,6296,0.06,0.1,0.06,0.58,0.07,0.65,0.11,0.05,0.38,0.55,0.06,11739,9009,79,0.79,0.26,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-96.784855,32.845254,Semester,620,710,700,600,11
2017,Southern Methodist University,17,247,49,126,13,247,0,0,0,228246,Private not-for-profit,4-year,72408,72408,72408,64598,64598,64598,55898,55898,55898,0.49,91,6452,6240,0.06,0.11,0.06,0.57,0.06,0.65,0.11,0.05,0.35,0.57,0.07,11789,9053,81,0.77,0.25,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-96.784855,32.845254,Semester,640,730,710,630,11
2018,Southern Methodist University,20,150,52,163,19,150,0,0,0,228246,Private not-for-profit,4-year,74737,74737,74737,66592,66592,66592,57892,57892,57892,0.51,91,6479,6273,0.06,0.12,0.07,0.57,0.07,0.64,0.12,0.05,0.39,0.56,0.05,11649,8895,78,0.82,0.22,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-96.783365,32.843612,Semester,650,750,710,630,11
2019,Southern Methodist University,15,114,41,130,30,114,0,0,0,228246,Private not-for-profit,4-year,76710,76710,76710,68660,68660,68660,59960,59960,59960,0.47,91,6710,6519,0.06,0.12,0.07,0.58,0.07,0.64,0.12,0.04,0.37,0.57,0.05,11824,9153,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-96.783365,32.843612,Semester,660,760,720,640,11
2014,SUNY at Albany,1,48,5,197,11,48,0,0,1,196060,Public,4-year,34673,23033,23033,21137,21137,32777,11387,11387,23027,0.56,81,12929,12191,0.12,0.12,0.07,0.53,0.08,0.51,0.14,0.15,0.86,0.07,0.07,17273,14409,66,0.79,0.59,0.13,0.25,0,0.36,0.21,0,0.05,3165,NY,1,-73.825014,42.686917,Semester,520,600,580,490,18
2015,SUNY at Albany,3,108,10,140,13,108,0,0,0,196060,Public,4-year,37283,24163,24163,21831,21831,34951,12081,12081,25201,0.56,82,12907,12223,0.14,0.13,0.07,0.51,0.08,0.48,0.15,0.16,0.89,0.07,0.04,17178,14441,68,0.81,0.63,0.23,0.41,0,0.29,0.06,0,0.01,3502,NY,1,-73.825014,42.686917,Semester,510,590,580,490,18
2016,SUNY at Albany,5,93,13,125,22,93,0,0,3,196060,Public,4-year,40190,25110,25110,22259,22259,37339,12509,12509,27589,0.54,84,13139,12421,0.14,0.14,0.07,0.5,0.08,0.47,0.16,0.17,0.9,0.06,0.04,17373,14520,66,0.82,0.64,0.24,0.41,0,0.28,0.05,0,0.01,3786,NY,1,-73.825014,42.686917,Semester,500,590,580,490,18
2017,SUNY at Albany,7,59,3,133,13,59,0,0,3,196060,Public,4-year,40562,25682,25682,22313,22313,37193,12563,12563,27443,0.54,83,13508,12740,0.16,0.14,0.07,0.47,0.08,0.45,0.17,0.18,0.91,0.05,0.04,17743,14849,65,0.83,0.59,0.24,0.39,0,0.27,0.04,0,0.06,4114,NY,1,-73.824662,42.685489,Semester,530,610,650,550,19
2018,SUNY at Albany,11,47,4,133,23,47,0,0,6,196060,Public,4-year,43574,26734,26734,22881,22881,39721,13131,13131,29971,0.52,81,13598,12899,0.16,0.15,0.07,0.46,0.08,0.44,0.17,0.19,0.92,0.04,0.04,17944,15056,64,0.85,0.63,0.23,0.42,0,0.29,0.04,0,0.02,4453,NY,1,-73.824662,42.685489,Semester,550,630,630,550,19
